timestamp,power_draw_w
1763884625,190.16
1763884626,190.62
1763884627,190.21
1763884629,189.43
1763884630,189.56
1763884631,189.61
1763884632,189.73
1763884633,189.79
1763884634,189.57
1763884635,190.05
1763884636,190.11
1763884637,190.29
1763884638,190.10
1763884639,190.10
1763884640,189.99
1763884641,190.18
1763884642,190.46
1763884643,190.18
1763884644,190.02
1763884645,190.09
1763884646,189.78
1763884647,190.01
1763884648,189.99
1763884649,189.98
1763884650,189.84
1763884651,189.52
1763884652,190.12
1763884653,190.08
1763884654,189.79
1763884655,189.98
1763884657,189.74
1763884658,189.80
1763884659,189.78
1763884660,190.01
1763884661,190.18
1763884662,189.93
1763884663,190.24
1763884664,190.03
1763884665,189.76
1763884666,189.68
1763884667,189.44
1763884668,189.58
1763884669,189.94
1763884670,189.96
1763884671,189.81
1763884672,189.51
1763884673,189.67
1763884674,189.84
1763884675,189.68
1763884676,189.66
1763884677,189.38
1763884678,189.39
1763884679,189.43
1763884680,190.18
1763884681,190.10
1763884682,189.99
1763884684,189.59
1763884685,189.59
1763884686,189.84
1763884687,189.65
1763884688,190.13
1763884689,189.46
1763884690,189.17
1763884691,189.71
1763884692,189.43
1763884693,189.32
1763884694,189.64
1763884695,189.61
1763884696,189.56
1763884697,189.03
1763884698,189.55
1763884699,189.45
1763884700,189.34
1763884701,189.71
1763884702,189.85
1763884703,189.44
1763884704,189.37
1763884705,189.29
1763884706,188.87
1763884707,188.92
1763884708,189.43
1763884709,189.08
1763884711,188.70
1763884712,188.40
1763884713,188.72
1763884714,188.91
1763884715,188.25
1763884716,188.64
1763884717,188.63
1763884718,188.80
1763884719,189.10
1763884720,189.62
1763884721,189.39
1763884722,188.70
1763884723,189.57
