timestamp,power_draw_w
1763889915,177.23
1763889916,177.12
1763889917,177.18
1763889918,177.24
1763889919,177.46
1763889920,177.44
1763889921,177.30
1763889923,177.25
1763889924,177.27
1763889925,177.48
1763889926,177.49
1763889927,177.44
1763889928,177.54
1763889929,177.66
1763889930,177.48
1763889931,177.58
1763889932,177.61
1763889933,177.43
1763889934,177.37
1763889935,177.48
1763889936,177.39
1763889937,177.43
1763889938,177.70
1763889939,177.48
1763889940,177.42
1763889941,177.55
1763889942,177.54
1763889944,177.67
1763889945,177.42
1763889946,177.14
1763889947,177.39
1763889948,177.50
1763889949,177.27
1763889950,177.33
1763889951,177.57
1763889952,177.51
1763889953,177.55
1763889954,177.57
1763889955,177.38
1763889956,177.25
1763889957,177.38
1763889958,177.48
1763889959,177.31
1763889960,177.44
1763889961,177.52
1763889962,177.36
1763889963,177.34
1763889964,177.46
1763889965,177.52
1763889966,177.57
1763889967,177.50
1763889968,177.40
1763889970,177.40
1763889971,177.17
1763889972,177.39
1763889973,177.49
1763889974,177.38
1763889975,177.43
1763889976,177.27
1763889977,177.23
1763889979,177.31
1763889980,177.49
1763889981,177.64
1763889982,177.50
1763889983,177.35
1763889984,177.45
1763889985,177.56
1763889986,177.26
1763889987,177.55
1763889989,177.54
1763889990,177.59
1763889991,177.44
1763889992,177.66
1763889993,177.76
1763889994,177.55
1763889995,177.14
1763889996,177.18
1763889998,177.29
1763889999,177.56
1763890000,177.58
1763890001,177.65
1763890002,177.50
1763890003,177.55
1763890004,177.59
1763890005,177.39
1763890006,177.45
1763890007,177.27
1763890009,177.21
1763890010,177.05
1763890011,177.08
1763890012,176.90
1763890013,176.89
1763890014,177.15
1763890015,177.22
1763890016,177.36
1763890018,177.50
1763890019,177.53
1763890020,177.45
1763890021,177.13
1763890022,177.20
1763890023,177.32
1763890024,177.30
1763890025,177.08
1763890026,177.16
1763890028,176.93
1763890029,176.98
1763890030,176.92
1763890031,177.21
1763890032,177.26
1763890033,177.18
1763890034,177.07
1763890036,177.24
1763890037,177.34
1763890038,177.01
1763890039,177.07
1763890040,176.87
1763890041,177.09
1763890042,176.88
1763890044,177.01
1763890045,177.05
1763890046,177.13
1763890047,177.38
1763890048,177.21
1763890049,177.28
1763890050,177.17
1763890052,176.93
1763890053,177.08
1763890054,177.40
1763890055,177.28
1763890056,177.36
1763890057,177.22
1763890059,177.43
1763890060,177.15
1763890061,177.51
1763890062,177.22
1763890063,177.35
1763890065,177.56
1763890066,177.15
1763890067,177.15
1763890068,177.21
1763890069,177.34
1763890070,177.80
1763890072,177.79
1763890073,177.81
1763890074,177.67
1763890075,177.82
1763890076,177.56
1763890077,177.58
1763890079,177.64
1763890080,177.77
1763890081,178.08
1763890082,177.52
1763890083,177.53
1763890084,177.53
1763890085,177.36
1763890087,177.17
1763890088,177.15
1763890089,177.43
1763890090,177.28
1763890091,177.37
1763890092,177.15
1763890094,177.52
1763890095,177.23
1763890096,177.34
1763890097,177.86
1763890098,177.59
1763890099,177.48
1763890100,177.47
1763890102,177.93
1763890103,177.88
1763890104,177.95
1763890105,178.09
1763890106,177.94
1763890107,177.68
1763890109,177.60
1763890110,177.72
1763890111,177.57
1763890112,177.75
1763890113,177.79
1763890114,177.57
1763890116,177.66
1763890117,177.36
1763890118,177.42
1763890119,177.39
1763890120,177.10
1763890121,177.27
1763890123,177.70
1763890124,177.41
1763890125,177.28
1763890126,177.20
1763890127,177.09
1763890128,177.35
1763890130,177.23
1763890131,177.23
1763890132,176.94
1763890133,177.15
1763890134,177.30
1763890135,177.49
1763890136,177.52
1763890138,177.73
1763890139,178.01
1763890140,178.32
1763890141,177.95
1763890142,178.01
1763890143,177.70
1763890144,177.65
1763890146,177.66
1763890147,177.92
1763890148,176.93
1763890149,177.37
1763890150,177.82
1763890152,177.38
1763890153,177.03
1763890154,177.21
1763890155,176.97
1763890156,177.48
1763890157,177.28
1763890159,177.31
1763890160,176.97
1763890161,177.40
1763890162,177.60
1763890163,177.54
1763890165,177.40
1763890166,177.38
1763890167,177.39
1763890168,177.41
1763890169,177.67
1763890170,177.65
1763890171,177.46
1763890173,177.59
1763890174,177.18
1763890175,177.22
1763890176,177.06
1763890177,177.16
1763890179,177.19
1763890180,177.28
1763890181,177.08
1763890182,177.05
1763890183,177.12
1763890184,176.99
1763890186,177.51
1763890187,177.82
1763890188,177.31
1763890189,177.46
1763890190,178.11
1763890192,177.81
1763890193,177.51
1763890194,177.31
1763890195,177.89
1763890196,177.37
1763890198,177.68
1763890199,177.70
1763890200,177.36
1763890201,177.89
1763890203,177.73
1763890204,178.12
1763890205,178.12
1763890206,177.65
1763890208,177.65
1763890209,178.18
