timestamp,power_draw_w
1763817293,181.49
1763817294,181.38
1763817295,181.40
1763817296,181.82
1763817298,181.76
1763817299,181.40
1763817300,181.11
1763817301,181.12
1763817302,181.27
1763817303,181.01
1763817304,180.99
1763817305,181.13
1763817306,181.17
1763817307,180.71
1763817308,180.57
1763817309,180.87
1763817310,180.79
1763817311,180.71
1763817312,180.87
1763817313,180.87
1763817314,180.77
1763817315,180.69
1763817316,180.96
1763817317,180.98
1763817318,180.84
1763817319,180.86
1763817320,181.12
1763817321,181.16
1763817322,180.99
1763817323,180.92
1763817325,181.01
1763817326,180.43
1763817327,180.26
1763817328,179.98
1763817329,180.91
1763817330,180.99
1763817331,180.92
1763817332,181.00
1763817333,181.17
1763817334,180.96
1763817335,181.14
1763817336,180.82
1763817337,181.28
1763817338,180.58
1763817339,180.75
1763817340,180.35
1763817341,180.46
1763817342,180.43
1763817343,180.51
1763817344,180.27
1763817345,180.66
1763817346,180.86
1763817347,180.69
1763817349,180.41
1763817350,180.84
1763817351,180.73
1763817352,180.90
1763817353,181.00
1763817354,180.71
1763817355,181.55
1763817356,181.13
1763817357,181.95
1763817358,181.86
1763817359,181.57
1763817360,181.67
1763817361,181.28
1763817362,181.64
1763817363,181.19
1763817364,181.25
1763817365,181.07
1763817366,181.07
1763817367,181.08
1763817368,181.16
1763817369,181.09
1763817370,180.88
1763817371,181.01
1763817372,181.17
1763817373,181.16
1763817374,181.49
1763817375,181.63
1763817377,181.73
1763817378,181.32
1763817379,181.03
1763817380,180.87
1763817381,140.44
1763817382,251.20
1763817383,256.23
1763817384,193.69
1763817385,193.67
1763817386,193.67
1763817387,193.70
1763817388,193.96
1763817389,193.63
1763817390,193.29
1763817391,193.52
1763817392,193.71
1763817393,194.23
1763817394,194.28
1763817395,194.08
1763817396,193.94
1763817397,194.08
1763817398,194.30
1763817399,193.96
1763817400,193.93
1763817401,194.02
1763817402,193.58
1763817404,193.82
1763817405,193.80
1763817406,193.76
1763817407,194.29
1763817408,194.11
1763817409,193.82
1763817410,193.29
1763817411,193.20
1763817412,194.04
1763817413,194.02
1763817414,193.99
1763817415,193.42
1763817416,193.99
1763817417,193.83
1763817418,193.69
1763817419,193.62
1763817420,193.59
1763817421,193.68
1763817422,193.79
1763817423,193.68
1763817424,193.57
1763817425,193.11
1763817426,193.50
1763817427,193.75
1763817428,193.43
1763817429,193.33
1763817431,193.66
1763817432,193.01
1763817433,192.96
1763817434,193.18
1763817435,193.87
1763817436,193.68
1763817437,193.57
1763817438,193.35
1763817439,192.86
1763817440,192.35
1763817441,192.40
1763817442,191.81
1763817443,192.01
1763817444,191.97
1763817445,191.63
1763817446,191.97
1763817447,191.85
1763817448,192.04
1763817449,192.20
1763817450,192.24
1763817451,192.51
1763817452,192.37
1763817454,192.79
1763817455,192.72
1763817456,192.01
1763817457,192.96
1763817458,193.62
1763817459,193.55
1763817460,193.39
1763817461,193.31
1763817462,193.83
1763817463,193.82
1763817464,193.55
1763817465,193.06
1763817466,193.35
1763817467,193.33
1763817468,193.58
1763817469,193.30
