timestamp,gpu_util_percent,memory_util_percent
1764202565,0,0
1764202567,0,0
1764202569,0,0
1764202570,0,0
1764202571,0,0
1764202572,0,0
1764202573,0,0
1764202574,0,0
1764202575,0,0
1764202576,0,0
1764202577,0,0
1764202578,0,0
1764202579,0,0
1764202580,0,0
1764202581,0,0
1764202582,0,0
1764202583,0,0
1764202584,0,0
1764202585,0,0
1764202586,0,0
1764202587,0,0
1764202588,0,0
1764202590,0,0
1764202591,0,0
1764202592,0,0
1764202593,0,0
1764202594,0,0
1764202595,0,0
1764202596,0,0
1764202597,0,0
1764202598,0,0
1764202599,0,0
1764202600,0,0
1764202601,0,0
1764202602,0,0
1764202603,0,0
1764202604,0,0
1764202605,0,0
1764202606,6,0
1764202607,3,0
1764202608,7,0
1764202609,8,0
1764202610,42,28
1764202611,95,78
1764202612,91,75
1764202613,90,75
1764202614,90,76
1764202615,90,75
1764202616,90,75
1764202617,89,75
1764202618,92,77
1764202619,94,77
1764202620,94,77
1764202621,91,75
1764202622,90,75
1764202623,93,77
1764202624,91,76
1764202625,90,75
1764202626,89,75
1764202627,90,75
1764202629,92,76
1764202630,93,76
1764202631,95,77
1764202632,92,76
1764202633,94,77
1764202634,95,77
1764202635,93,76
1764202636,91,76
1764202637,90,75
1764202638,90,75
1764202639,90,75
1764202640,90,75
1764202641,90,75
1764202642,90,75
1764202643,93,77
1764202644,94,77
1764202645,95,77
1764202646,95,77
1764202647,93,77
1764202648,94,76
1764202649,95,77
1764202650,95,77
1764202651,92,75
1764202652,91,76
1764202653,90,75
1764202654,90,75
1764202655,91,74
1764202656,91,76
1764202657,90,74
1764202658,90,75
1764202659,90,75
1764202660,89,74
1764202661,90,75
1764202662,90,74
1764202663,90,75
1764202664,90,75
1764202665,89,74
1764202666,93,77
1764202668,93,76
1764202669,94,76
1764202670,90,75
1764202671,91,76
1764202672,93,76
1764202673,93,76
1764202674,95,77
1764202675,94,76
1764202676,91,75
1764202677,87,72
1764202678,94,76
1764202679,95,77
1764202680,94,77
1764202681,91,74
1764202682,91,76
1764202683,90,74
1764202684,90,75
1764202685,92,75
1764202686,91,75
1764202687,90,75
1764202688,90,75
1764202689,90,75
1764202690,89,74
1764202691,90,75
1764202692,89,74
1764202693,89,74
1764202694,90,74
1764202695,89,74
1764202696,90,75
1764202697,93,77
1764202698,94,76
1764202699,95,77
1764202700,89,74
1764202701,91,75
1764202702,93,77
1764202703,93,76
1764202704,95,77
1764202706,94,76
1764202707,91,74
1764202708,91,76
1764202709,95,77
1764202710,95,77
1764202711,93,76
1764202712,91,74
1764202713,91,76
1764202714,89,74
1764202715,90,74
1764202716,93,76
1764202717,91,75
1764202718,90,75
1764202719,89,74
1764202720,89,74
1764202721,90,75
1764202722,90,75
1764202723,93,76
1764202724,90,75
1764202725,90,74
1764202726,92,76
1764202727,93,76
1764202728,95,77
1764202729,93,76
1764202730,91,75
1764202731,94,76
1764202732,95,77
1764202733,94,76
1764202734,91,74
1764202735,91,76
1764202736,90,75
1764202737,90,75
1764202738,90,75
1764202739,91,76
1764202740,90,75
1764202741,90,75
1764202742,89,74
1764202743,90,74
1764202744,89,74
1764202746,89,74
1764202747,91,75
1764202748,90,74
1764202749,90,75
1764202750,90,75
1764202751,89,74
1764202752,92,76
1764202753,93,77
1764202754,93,75
1764202755,90,75
1764202756,90,74
1764202757,92,76
1764202758,93,76
1764202759,93,76
1764202760,95,77
1764202761,95,77
1764202762,92,75
1764202763,93,76
1764202764,95,77
1764202765,95,77
1764202766,93,76
1764202767,91,75
1764202768,91,76
1764202769,90,74
1764202770,90,74
1764202771,92,75
1764202772,91,75
1764202773,91,75
1764202774,90,74
1764202775,90,74
1764202776,90,75
1764202777,90,74
1764202778,90,75
1764202779,90,74
1764202780,90,74
1764202781,90,75
1764202782,90,75
1764202783,92,76
1764202785,94,77
1764202786,90,75
1764202787,89,74
1764202788,90,75
1764202789,93,77
1764202790,93,76
1764202791,94,76
1764202792,95,77
1764202793,95,77
1764202794,91,75
1764202795,93,77
1764202796,93,76
1764202797,95,77
1764202798,95,77
1764202799,95,77
1764202800,92,75
1764202801,93,76
1764202802,92,74
1764202803,93,75
1764202804,95,77
1764202805,95,77
1764202806,93,75
1764202807,91,74
1764202808,91,76
1764202809,94,76
1764202810,95,76
1764202811,95,77
1764202812,94,76
1764202813,92,74
1764202814,91,74
1764202815,91,75
1764202816,93,75
1764202817,93,76
1764202818,95,77
1764202819,95,76
1764202820,93,76
1764202821,92,74
1764202822,91,74
1764202824,91,75
1764202825,93,76
1764202826,95,77
1764202827,94,76
1764202828,95,75
1764202829,93,76
1764202830,92,75
1764202831,90,74
1764202832,91,75
1764202833,93,75
1764202834,94,76
1764202835,95,77
1764202836,95,76
1764202837,93,76
1764202838,92,75
1764202839,91,74
1764202840,93,76
1764202841,90,74
1764202842,90,73
1764202843,89,73
1764202844,90,73
1764202845,90,73
1764202846,91,72
1764202847,90,73
1764202848,90,73
1764202849,90,72
1764202850,91,73
1764202851,95,74
1764202852,95,75
1764202853,92,73
1764202854,91,73
1764202855,93,74
1764202856,95,75
1764202857,93,74
1764202858,93,75
1764202859,89,73
1764202860,90,73
1764202861,90,72
1764202863,93,74
1764202864,91,73
1764202865,90,73
1764202866,90,73
1764202867,91,73
1764202868,91,72
1764202869,95,74
1764202870,89,73
1764202871,90,72
1764202872,91,73
1764202873,93,74
1764202874,95,75
1764202875,94,74
1764202876,93,75
1764202877,90,73
1764202878,95,75
1764202879,95,75
1764202880,94,74
1764202881,93,75
1764202882,90,73
1764202883,90,73
1764202884,90,73
1764202885,93,74
1764202886,93,75
1764202887,89,73
1764202888,90,73
1764202889,90,73
1764202890,91,74
1764202891,91,72
1764202892,90,73
1764202893,89,73
1764202894,90,73
1764202895,91,73
1764202896,91,72
1764202897,95,75
1764202898,95,75
1764202899,100,74
1764202901,100,73
1764202902,100,75
