timestamp,gpu_util_percent,memory_util_percent
1764188721,0,0
1764188723,0,0
1764188725,0,0
1764188727,0,0
1764188729,0,0
1764188731,0,0
1764188732,0,0
1764188734,0,0
1764188736,0,0
1764188737,0,0
1764188738,0,0
1764188739,0,0
1764188740,0,0
1764188741,5,1
1764188742,68,42
1764188743,62,38
1764188744,61,38
1764188745,58,36
1764188746,43,24
1764188747,15,10
1764188748,63,39
1764188749,62,38
1764188750,59,37
1764188751,63,39
1764188752,22,13
1764188753,61,38
1764188754,62,38
1764188755,63,39
1764188756,62,38
1764188757,61,38
1764188758,17,13
1764188759,62,38
1764188760,60,37
1764188761,59,37
1764188763,62,38
1764188764,28,21
1764188765,61,38
1764188766,63,39
1764188767,63,39
1764188768,62,39
1764188769,11,7
1764188770,61,38
1764188771,60,37
1764188772,62,38
1764188773,63,39
1764188774,62,39
1764188775,25,19
1764188776,62,38
1764188777,60,37
1764188778,60,37
1764188779,60,37
1764188780,24,18
1764188781,47,29
1764188782,57,35
1764188783,62,38
1764188784,63,39
1764188785,62,39
1764188786,5,3
1764188787,63,39
1764188788,62,38
1764188789,50,31
1764188790,62,39
1764188791,10,7
1764188792,48,30
1764188793,49,30
1764188794,62,38
1764188795,62,38
1764188796,62,39
1764188797,28,20
1764188798,63,39
1764188799,62,38
1764188800,62,38
1764188802,62,38
1764188803,25,18
1764188804,61,38
1764188805,61,38
1764188806,62,38
1764188807,62,38
1764188808,63,39
1764188809,30,19
1764188810,62,39
1764188811,61,38
1764188812,64,39
1764188813,59,36
1764188814,28,21
1764188815,61,38
1764188816,63,39
1764188817,61,38
1764188818,63,39
1764188819,11,7
1764188820,47,29
1764188821,62,38
1764188822,61,38
1764188823,61,37
1764188824,61,38
1764188825,28,21
1764188826,62,38
1764188827,62,38
1764188828,62,38
1764188829,61,38
1764188830,31,18
1764188831,61,38
1764188832,62,38
1764188833,51,31
1764188834,60,37
1764188835,60,37
1764188836,27,20
1764188837,63,38
1764188838,63,39
1764188839,63,38
1764188840,63,39
1764188842,14,9
1764188843,63,39
1764188844,57,35
1764188845,61,38
1764188846,63,39
1764188847,62,38
1764188848,22,16
1764188849,62,38
1764188850,63,39
1764188851,63,39
1764188852,51,32
1764188853,37,23
1764188854,49,30
1764188855,63,39
1764188856,63,39
1764188857,62,38
1764188858,61,38
1764188859,25,18
1764188860,56,34
1764188861,62,38
1764188862,62,38
1764188863,59,37
1764188864,20,15
1764188865,51,31
1764188866,62,38
1764188867,61,37
1764188868,62,38
1764188869,63,39
1764188870,2,1
1764188871,60,37
1764188872,63,39
1764188873,63,39
1764188874,63,39
1764188875,28,21
1764188876,63,38
1764188877,60,37
1764188878,62,38
1764188879,62,38
1764188881,43,26
1764188882,51,31
1764188883,62,38
1764188884,52,32
1764188885,50,31
1764188886,51,32
1764188887,13,10
1764188888,62,38
1764188889,63,38
1764188890,60,37
1764188891,62,38
1764188892,63,38
1764188893,26,18
1764188894,64,39
1764188895,62,38
1764188896,61,38
1764188897,60,37
1764188898,28,20
1764188899,61,37
1764188900,63,39
1764188901,62,38
1764188902,62,38
1764188903,43,26
1764188904,53,33
1764188905,63,38
1764188906,62,38
1764188907,62,38
1764188908,63,39
1764188909,25,18
1764188910,62,38
1764188911,63,38
1764188912,62,38
1764188913,62,38
1764188914,9,7
1764188915,62,38
1764188916,61,37
1764188917,62,38
1764188918,63,39
1764188919,62,38
1764188921,4,3
1764188922,64,39
1764188923,62,38
1764188924,63,39
1764188925,62,38
1764188926,27,20
1764188927,52,32
1764188928,62,38
1764188929,52,32
1764188930,51,32
1764188931,63,38
1764188932,28,21
1764188933,53,32
1764188934,52,32
1764188935,50,31
1764188936,49,30
1764188937,62,38
1764188938,26,19
1764188939,49,30
1764188940,50,31
1764188941,62,38
1764188942,52,32
1764188943,62,38
1764188944,11,8
1764188945,63,38
1764188946,60,37
1764188947,62,38
1764188948,62,38
1764188949,26,19
1764188950,62,38
1764188951,62,38
1764188952,62,38
1764188953,62,38
1764188954,62,38
1764188955,62,38
1764188956,62,38
1764188957,60,37
1764188958,62,38
1764188960,64,39
1764188961,28,21
1764188962,62,38
1764188963,60,37
1764188964,62,38
1764188965,62,38
1764188966,25,18
1764188967,61,37
1764188968,62,38
1764188969,62,38
1764188970,62,38
1764188971,63,39
1764188972,19,11
1764188973,62,38
1764188974,63,39
1764188975,62,38
1764188976,63,38
1764188977,27,20
1764188978,49,30
1764188979,62,38
1764188980,49,30
1764188981,62,38
1764188982,63,38
1764188983,15,11
1764188984,63,39
1764188985,64,39
1764188986,62,38
1764188987,63,39
1764188988,28,21
1764188989,62,38
1764188990,63,39
1764188991,52,32
1764188992,63,39
1764188993,58,36
1764188994,62,38
1764188995,63,38
1764188996,63,38
1764188997,63,38
1764188999,63,38
1764189000,27,20
1764189001,61,37
1764189002,63,38
1764189003,62,38
1764189004,63,38
1764189005,11,8
1764189006,61,37
1764189007,61,37
1764189008,63,38
1764189009,63,38
1764189010,62,38
1764189011,12,7
1764189012,62,38
1764189013,63,39
1764189014,63,39
1764189015,63,39
1764189016,26,19
1764189017,61,37
1764189018,64,39
1764189019,64,39
1764189020,63,38
1764189021,42,25
1764189022,56,35
1764189023,62,38
1764189024,61,37
1764189025,56,34
1764189026,64,39
1764189027,28,21
1764189028,62,38
1764189029,62,38
1764189030,62,38
1764189031,60,37
1764189032,51,31
1764189033,62,38
1764189034,62,38
1764189035,62,38
1764189036,60,37
1764189037,60,37
1764189039,28,21
1764189040,52,32
1764189041,64,39
