timestamp,power_draw_w
1764189406,75.60
1764189408,75.56
1764189410,84.38
1764189411,87.09
1764189412,200.95
1764189413,227.69
1764189414,221.25
1764189415,228.32
1764189416,200.11
1764189417,176.25
1764189418,229.56
1764189419,225.08
1764189420,228.94
1764189421,228.34
1764189422,170.42
1764189423,202.50
1764189424,229.45
1764189425,231.48
1764189426,231.59
1764189427,205.17
1764189428,185.62
1764189429,231.52
1764189430,225.96
1764189431,234.42
1764189432,232.38
1764189433,168.15
1764189434,232.57
1764189435,233.36
1764189436,234.04
1764189437,233.02
1764189438,194.94
1764189439,201.73
1764189440,236.09
1764189441,235.12
1764189443,234.53
1764189444,217.64
1764189445,178.38
1764189446,235.58
1764189447,235.11
1764189448,231.81
1764189449,235.66
1764189450,184.41
1764189451,216.68
1764189452,234.49
1764189453,234.83
1764189454,235.01
1764189455,207.18
1764189456,189.37
1764189457,232.69
1764189458,233.62
1764189459,233.36
1764189460,233.38
1764189461,168.06
1764189462,225.10
1764189463,235.44
1764189464,234.19
1764189465,233.40
1764189466,195.10
1764189467,198.87
1764189468,235.84
1764189469,236.35
1764189470,234.98
1764189471,218.74
1764189472,176.91
1764189473,235.31
1764189474,235.52
1764189475,234.41
1764189476,234.21
1764189477,183.80
1764189478,218.37
1764189479,236.26
1764189480,231.68
1764189481,232.10
1764189483,208.90
1764189484,191.20
1764189485,235.35
1764189486,236.02
1764189487,236.38
1764189488,236.32
1764189489,170.08
1764189490,236.46
1764189491,236.76
1764189492,236.02
1764189493,236.76
1764189494,191.76
1764189495,197.34
1764189496,215.35
1764189497,227.37
1764189498,236.53
1764189499,233.07
1764189500,171.03
1764189501,225.01
1764189502,236.40
1764189503,237.14
1764189504,236.85
1764189505,203.42
1764189506,204.68
1764189507,236.82
1764189508,237.09
1764189509,238.03
1764189510,219.07
1764189511,182.09
1764189512,237.46
1764189513,235.02
1764189514,235.42
1764189515,236.21
1764189516,185.44
1764189517,221.68
1764189518,239.07
1764189519,238.82
1764189520,232.27
1764189522,208.25
1764189523,196.42
1764189524,235.41
1764189525,236.73
1764189526,237.43
1764189527,237.92
1764189528,170.81
1764189529,234.91
1764189530,230.19
1764189531,236.91
1764189532,239.28
1764189533,196.86
1764189534,204.87
1764189535,237.18
1764189536,237.51
1764189537,239.13
1764189538,222.67
1764189539,176.26
1764189540,235.67
1764189541,236.60
1764189542,237.28
1764189543,236.82
1764189544,192.63
1764189545,217.01
1764189546,239.36
1764189547,239.24
1764189548,239.42
1764189549,208.53
1764189550,193.71
1764189551,237.67
1764189552,239.64
1764189553,240.56
1764189554,240.16
1764189555,171.87
1764189556,238.55
1764189557,238.16
1764189558,238.58
1764189559,238.72
1764189560,192.88
1764189562,206.87
1764189563,238.45
1764189564,238.08
1764189565,231.14
1764189566,218.45
1764189567,169.93
1764189568,237.42
1764189569,239.61
1764189570,241.57
1764189571,239.82
1764189572,191.92
1764189573,204.68
1764189574,226.24
1764189575,239.26
1764189576,240.57
1764189577,222.85
1764189578,178.84
1764189579,237.28
1764189580,238.73
1764189581,238.23
1764189582,238.43
1764189583,190.13
1764189584,220.43
1764189585,240.17
1764189586,239.71
1764189587,240.43
1764189588,208.97
1764189589,198.44
1764189590,238.84
1764189591,239.06
1764189592,237.18
1764189593,219.50
1764189594,179.16
1764189595,215.66
1764189596,240.98
1764189597,240.05
1764189598,240.34
1764189599,210.91
1764189600,201.55
1764189602,241.09
1764189603,239.57
1764189604,240.09
1764189605,231.97
1764189606,165.69
1764189607,218.16
1764189608,218.73
1764189609,218.70
1764189610,219.99
1764189611,239.82
1764189612,173.19
1764189613,239.18
1764189614,239.95
1764189615,239.12
1764189616,241.27
1764189617,199.25
1764189618,201.63
1764189619,235.40
1764189620,240.05
1764189621,241.03
1764189622,225.95
1764189623,173.93
1764189624,240.31
1764189625,239.72
1764189626,239.72
1764189627,239.43
1764189628,182.97
1764189629,217.73
1764189630,240.53
1764189631,240.07
1764189632,240.81
1764189633,211.51
1764189634,196.60
1764189635,240.33
1764189636,240.72
1764189637,241.46
1764189638,224.87
1764189639,172.48
1764189640,230.25
1764189642,239.33
1764189643,239.03
1764189644,239.59
1764189645,205.60
1764189646,201.99
1764189647,239.77
1764189648,239.63
1764189649,239.29
1764189650,231.60
1764189651,181.56
1764189652,239.65
1764189653,240.24
1764189654,240.23
1764189655,239.21
1764189656,185.62
1764189657,217.91
1764189658,239.05
1764189659,239.39
1764189660,239.67
1764189661,212.88
1764189662,188.12
1764189663,241.02
1764189664,237.98
1764189665,242.67
1764189666,241.04
1764189667,171.74
1764189668,238.88
1764189669,231.47
1764189670,240.91
1764189671,240.35
1764189672,203.94
1764189673,190.47
1764189674,235.28
1764189675,240.75
1764189676,238.07
1764189677,240.73
1764189678,173.17
1764189679,233.12
1764189680,237.99
1764189682,239.32
1764189683,240.95
1764189684,202.55
1764189685,204.51
1764189686,241.42
1764189687,240.85
1764189688,240.40
1764189689,224.47
1764189690,181.37
1764189691,238.21
1764189692,218.66
1764189693,238.55
1764189694,240.35
1764189695,194.34
1764189696,212.46
1764189697,239.16
1764189698,238.13
1764189699,239.85
1764189700,216.37
1764189701,181.84
1764189702,240.43
1764189703,241.90
1764189704,241.12
1764189705,239.01
1764189706,175.33
1764189707,229.10
1764189708,239.08
1764189709,239.70
1764189710,239.50
1764189711,204.51
1764189712,196.31
1764189713,238.60
1764189714,238.63
1764189715,238.94
1764189716,239.99
1764189717,169.29
1764189718,225.83
1764189719,240.27
1764189721,240.01
1764189722,240.89
1764189723,203.94
1764189724,201.48
1764189725,236.77
1764189726,241.07
1764189727,229.05
1764189728,230.26
1764189729,174.34
1764189730,236.47
1764189731,240.01
1764189732,232.97
1764189733,237.95
1764189734,205.15
1764189735,203.07
1764189736,238.23
1764189737,239.66
1764189738,240.15
1764189739,230.71
1764189740,173.54
1764189741,238.10
1764189742,238.56
1764189743,240.23
1764189744,240.82
1764189745,186.99
1764189746,218.02
1764189747,240.49
1764189748,236.14
1764189749,238.46
1764189750,214.13
1764189751,190.05
1764189752,237.18
1764189753,240.46
1764189754,239.84
1764189755,239.94
1764189756,177.21
1764189757,233.14
1764189758,235.96
1764189759,233.02
1764189761,235.94
1764189762,208.29
1764189763,189.25
1764189764,238.59
1764189765,238.83
1764189766,238.61
1764189767,238.24
1764189768,175.08
1764189769,233.51
1764189770,236.89
1764189771,232.88
1764189772,229.44
1764189773,207.50
1764189774,181.10
1764189775,227.83
1764189776,239.88
1764189777,239.23
1764189778,239.59
1764189779,193.84
1764189780,204.27
1764189781,239.88
1764189782,240.03
1764189783,239.84
1764189784,221.60
1764189785,188.65
1764189786,239.43
1764189787,239.54
1764189788,239.80
1764189789,239.85
1764189790,177.08
1764189791,227.41
1764189792,240.11
1764189793,240.81
1764189794,240.86
1764189795,204.87
1764189796,208.11
1764189797,239.16
1764189798,239.26
1764189799,239.08
1764189801,223.28
1764189802,179.17
1764189803,239.45
1764189804,239.05
1764189805,239.92
1764189806,237.07
1764189807,190.92
1764189808,212.83
1764189809,239.62
1764189810,238.64
1764189811,240.02
1764189812,210.28
1764189813,194.41
1764189814,238.46
1764189815,238.41
1764189816,239.99
1764189817,239.15
1764189818,174.25
1764189819,234.41
1764189820,238.41
1764189821,240.81
1764189822,241.50
1764189823,202.52
1764189824,211.11
1764189825,240.09
1764189826,241.06
1764189827,240.18
1764189828,218.99
1764189829,189.88
1764189830,239.50
1764189831,240.88
1764189832,240.16
1764189833,241.29
1764189834,175.15
1764189835,238.09
1764189836,239.06
1764189837,240.15
1764189838,240.40
1764189839,202.15
1764189841,207.96
1764189842,227.49
1764189843,218.81
1764189844,232.16
1764189845,242.28
1764189846,183.77
1764189847,218.26
1764189848,241.52
1764189849,239.32
1764189850,240.83
1764189851,210.04
1764189852,199.85
1764189853,239.41
1764189854,239.47
1764189855,239.43
1764189856,224.18
1764189857,174.80
1764189858,222.32
1764189859,237.42
1764189860,240.78
1764189861,240.22
1764189862,211.57
1764189863,202.41
1764189864,235.51
1764189865,235.03
1764189866,237.54
1764189867,241.64
1764189868,175.03
1764189869,240.07
1764189870,239.55
1764189871,241.21
1764189872,241.11
1764189873,197.82
1764189874,206.69
1764189875,240.16
1764189876,240.65
1764189877,240.55
1764189878,217.07
1764189879,184.61
1764189881,232.79
1764189882,230.02
1764189883,239.38
1764189884,239.59
1764189885,198.09
1764189886,211.17
1764189887,239.74
1764189888,238.95
1764189889,240.74
1764189890,220.73
1764189891,193.94
1764189892,240.03
1764189893,239.22
1764189894,239.56
1764189895,239.20
1764189896,173.90
1764189897,216.68
1764189898,218.47
1764189899,219.04
1764189900,218.77
1764189901,228.84
1764189902,191.40
1764189903,218.97
1764189904,225.86
1764189905,231.81
1764189906,241.04
1764189907,223.58
1764189908,186.87
1764189909,240.41
1764189910,241.43
1764189911,240.60
1764189912,240.34
1764189913,179.94
1764189914,227.34
1764189915,233.62
1764189916,240.77
1764189917,240.46
1764189918,210.20
1764189920,198.48
1764189921,241.13
1764189922,239.73
1764189923,237.86
1764189924,238.95
1764189925,174.66
1764189926,238.48
1764189927,241.01
1764189928,241.03
1764189929,238.69
1764189930,194.50
1764189931,209.35
1764189932,240.90
1764189933,240.69
1764189934,241.18
1764189935,219.49
1764189936,178.04
1764189937,235.25
1764189938,241.66
1764189939,242.64
1764189940,241.99
1764189941,189.43
1764189942,222.99
1764189943,241.14
1764189944,234.31
1764189945,234.98
1764189946,214.21
1764189947,188.52
1764189948,239.93
1764189949,240.79
1764189950,232.37
1764189951,241.22
1764189952,186.03
1764189953,228.80
1764189954,239.56
1764189955,239.87
1764189956,237.16
1764189957,207.02
1764189958,187.47
1764189960,229.69
1764189961,224.73
1764189962,241.17
1764189963,241.49
1764189964,193.20
1764189965,214.18
1764189966,241.85
1764189967,241.47
1764189968,241.11
1764189969,216.82
1764189970,197.54
1764189971,238.64
1764189972,241.07
1764189973,241.40
1764189974,241.74
1764189975,172.31
1764189976,232.16
1764189977,234.08
1764189978,240.89
1764189979,241.98
1764189980,207.39
1764189981,207.76
1764189982,238.10
1764189983,238.80
1764189984,241.55
1764189985,228.13
1764189986,178.73
1764189987,241.48
1764189988,242.36
1764189989,240.88
1764189990,241.24
1764189991,189.22
1764189992,218.23
1764189993,240.82
1764189994,241.32
1764189995,240.89
1764189996,209.09
1764189997,198.27
1764189998,238.49
1764190000,236.63
1764190001,220.06
1764190002,232.03
1764190003,192.18
1764190004,201.50
1764190005,218.47
1764190006,218.75
1764190007,234.98
1764190008,241.08
1764190009,177.14
1764190010,219.85
1764190011,240.62
1764190012,241.16
1764190013,240.04
1764190014,210.95
1764190015,196.67
1764190016,241.05
1764190017,241.09
1764190018,241.39
1764190019,240.13
1764190020,172.37
1764190021,227.57
1764190022,223.78
1764190023,240.53
1764190024,238.31
1764190025,211.82
1764190026,198.87
1764190027,241.64
1764190028,240.27
1764190029,242.81
1764190030,237.66
1764190031,173.88
1764190032,240.46
1764190033,240.59
1764190034,240.65
1764190035,240.28
1764190036,194.67
1764190037,216.29
1764190038,240.63
1764190040,239.39
1764190041,239.49
1764190042,217.71
1764190043,191.27
1764190044,233.60
1764190045,235.52
1764190046,242.29
1764190047,237.79
1764190048,178.57
1764190049,228.77
1764190050,240.84
1764190051,241.33
1764190052,242.16
1764190053,207.41
1764190054,195.36
1764190055,240.79
1764190056,236.93
1764190057,235.48
1764190058,237.73
1764190059,175.30
1764190060,241.50
1764190061,242.22
1764190062,242.46
1764190063,242.62
1764190064,198.72
1764190065,212.11
1764190066,241.60
1764190067,241.75
1764190068,242.60
1764190069,219.97
1764190070,191.33
1764190071,241.65
1764190072,240.76
1764190073,240.70
1764190074,240.45
1764190075,174.11
1764190076,231.26
1764190077,238.92
1764190078,240.62
1764190080,240.51
1764190081,208.36
1764190082,194.31
1764190083,227.59
1764190084,240.02
1764190085,239.02
1764190086,242.19
1764190087,177.85
1764190088,222.46
1764190089,240.42
1764190090,240.08
1764190091,237.83
1764190092,212.75
1764190093,183.34
1764190094,227.36
1764190095,227.42
1764190096,238.18
1764190097,242.99
1764190098,200.69
1764190099,205.29
1764190100,241.72
1764190101,241.78
1764190102,241.12
1764190103,221.59
1764190104,189.75
1764190105,242.53
1764190106,241.15
1764190107,239.58
1764190108,239.58
1764190109,181.04
1764190110,216.68
1764190111,234.11
1764190112,232.49
1764190113,241.36
1764190114,220.59
1764190115,194.21
1764190116,240.20
1764190117,240.34
1764190119,239.73
1764190120,240.51
1764190121,174.79
1764190122,231.67
1764190123,241.83
1764190124,241.79
1764190125,237.81
1764190126,207.43
1764190127,209.80
1764190128,241.54
1764190129,240.67
1764190130,240.76
1764190131,222.48
1764190132,182.95
1764190133,241.13
1764190134,239.95
1764190135,240.07
1764190136,240.56
1764190137,189.88
1764190138,223.23
1764190139,239.47
1764190140,237.04
1764190141,242.25
1764190142,213.07
1764190143,196.87
1764190144,232.20
1764190145,240.98
1764190146,242.09
1764190147,241.94
1764190148,175.94
1764190149,232.19
1764190150,241.27
1764190151,232.09
1764190152,237.75
1764190153,211.78
1764190154,193.70
1764190155,224.49
1764190156,240.04
1764190157,240.02
1764190159,239.72
1764190160,181.89
1764190161,222.77
1764190162,240.51
1764190163,240.31
1764190164,240.88
1764190165,211.68
1764190166,204.46
1764190167,238.16
1764190168,242.20
1764190169,242.12
1764190170,232.24
1764190171,172.29
1764190172,218.52
1764190173,219.02
1764190174,219.92
1764190175,236.49
1764190176,232.92
1764190177,170.61
1764190178,236.74
1764190179,242.51
1764190180,242.50
1764190181,239.62
1764190182,194.09
1764190183,204.37
1764190184,240.71
1764190185,240.57
1764190186,241.27
1764190187,223.31
1764190188,185.73
1764190189,241.61
1764190190,240.47
1764190191,241.26
1764190192,240.23
1764190193,175.30
1764190194,230.67
1764190195,240.86
1764190196,241.13
1764190197,241.34
1764190199,207.06
1764190200,202.03
1764190201,241.90
1764190202,241.52
1764190203,241.27
1764190204,233.12
