timestamp,gpu_temp_c,memory_temp_c
1764191815,64,N/A
1764191817,64,N/A
1764191819,64,N/A
1764191820,65,N/A
1764191821,70,N/A
1764191822,71,N/A
1764191823,71,N/A
1764191824,72,N/A
1764191825,70,N/A
1764191826,72,N/A
1764191827,73,N/A
1764191828,73,N/A
1764191829,74,N/A
1764191830,74,N/A
1764191831,73,N/A
1764191832,74,N/A
1764191833,75,N/A
1764191834,75,N/A
1764191835,75,N/A
1764191836,73,N/A
1764191837,75,N/A
1764191838,76,N/A
1764191839,76,N/A
1764191840,76,N/A
1764191841,74,N/A
1764191842,76,N/A
1764191843,77,N/A
1764191844,77,N/A
1764191846,77,N/A
1764191847,77,N/A
1764191848,76,N/A
1764191849,77,N/A
1764191850,77,N/A
1764191851,78,N/A
1764191852,78,N/A
1764191853,76,N/A
1764191854,78,N/A
1764191855,78,N/A
1764191856,78,N/A
1764191857,78,N/A
1764191858,76,N/A
1764191859,78,N/A
1764191860,79,N/A
1764191861,79,N/A
1764191862,79,N/A
1764191863,79,N/A
1764191864,76,N/A
1764191865,79,N/A
1764191866,79,N/A
1764191867,79,N/A
1764191868,79,N/A
1764191869,77,N/A
1764191870,79,N/A
1764191871,79,N/A
1764191872,79,N/A
1764191873,79,N/A
1764191874,77,N/A
1764191875,79,N/A
1764191876,79,N/A
1764191877,80,N/A
1764191878,80,N/A
1764191879,80,N/A
1764191880,76,N/A
1764191881,80,N/A
1764191882,80,N/A
1764191883,80,N/A
1764191885,80,N/A
1764191886,78,N/A
1764191887,80,N/A
1764191888,80,N/A
1764191889,80,N/A
1764191890,80,N/A
1764191891,80,N/A
1764191892,79,N/A
1764191893,80,N/A
1764191894,80,N/A
1764191895,80,N/A
1764191896,81,N/A
1764191897,78,N/A
1764191898,80,N/A
1764191899,80,N/A
1764191900,80,N/A
1764191901,81,N/A
1764191902,78,N/A
1764191903,80,N/A
1764191904,80,N/A
1764191905,81,N/A
1764191906,81,N/A
1764191907,81,N/A
1764191908,77,N/A
1764191909,80,N/A
1764191910,81,N/A
1764191911,81,N/A
1764191912,81,N/A
1764191913,79,N/A
1764191914,81,N/A
1764191915,81,N/A
1764191916,81,N/A
1764191917,81,N/A
1764191918,79,N/A
1764191919,80,N/A
1764191920,81,N/A
1764191921,81,N/A
1764191922,81,N/A
1764191923,81,N/A
1764191925,79,N/A
1764191926,81,N/A
1764191927,81,N/A
1764191928,81,N/A
1764191929,81,N/A
1764191930,79,N/A
1764191931,81,N/A
1764191932,81,N/A
1764191933,81,N/A
1764191934,81,N/A
1764191935,81,N/A
1764191936,78,N/A
1764191937,81,N/A
1764191938,81,N/A
1764191939,81,N/A
1764191940,81,N/A
1764191941,79,N/A
1764191942,81,N/A
1764191943,81,N/A
1764191944,81,N/A
1764191945,81,N/A
1764191946,79,N/A
1764191947,81,N/A
1764191948,81,N/A
1764191949,81,N/A
1764191950,81,N/A
1764191951,82,N/A
1764191952,78,N/A
1764191953,81,N/A
1764191954,81,N/A
1764191955,81,N/A
1764191956,81,N/A
1764191957,79,N/A
1764191958,81,N/A
1764191959,81,N/A
1764191960,81,N/A
1764191961,81,N/A
1764191962,79,N/A
1764191963,80,N/A
1764191965,81,N/A
1764191966,81,N/A
1764191967,81,N/A
1764191968,81,N/A
1764191969,77,N/A
1764191970,80,N/A
1764191971,80,N/A
1764191972,81,N/A
1764191973,80,N/A
1764191974,78,N/A
1764191975,80,N/A
1764191976,80,N/A
1764191977,80,N/A
1764191978,80,N/A
1764191979,80,N/A
1764191980,79,N/A
1764191981,80,N/A
1764191982,80,N/A
1764191983,80,N/A
1764191984,80,N/A
1764191985,78,N/A
1764191986,80,N/A
1764191987,80,N/A
1764191988,80,N/A
1764191989,80,N/A
1764191990,78,N/A
1764191991,79,N/A
1764191992,80,N/A
1764191993,80,N/A
1764191994,80,N/A
1764191995,80,N/A
1764191996,78,N/A
1764191997,79,N/A
1764191998,80,N/A
1764191999,80,N/A
1764192000,79,N/A
1764192001,77,N/A
1764192002,79,N/A
1764192003,79,N/A
1764192005,80,N/A
1764192006,79,N/A
1764192007,77,N/A
1764192008,78,N/A
1764192009,79,N/A
1764192010,79,N/A
1764192011,79,N/A
1764192012,79,N/A
1764192013,77,N/A
1764192014,79,N/A
1764192015,79,N/A
1764192016,79,N/A
1764192017,79,N/A
1764192018,77,N/A
1764192019,79,N/A
1764192020,79,N/A
1764192021,79,N/A
1764192022,79,N/A
1764192023,77,N/A
1764192024,79,N/A
1764192025,79,N/A
1764192026,79,N/A
1764192027,79,N/A
1764192028,79,N/A
1764192029,78,N/A
1764192030,79,N/A
1764192031,79,N/A
1764192032,79,N/A
1764192033,79,N/A
1764192034,77,N/A
1764192035,79,N/A
1764192036,79,N/A
1764192037,79,N/A
1764192038,79,N/A
1764192039,77,N/A
1764192041,78,N/A
1764192042,79,N/A
1764192043,79,N/A
1764192044,79,N/A
1764192045,79,N/A
1764192046,76,N/A
1764192047,79,N/A
1764192048,79,N/A
1764192049,79,N/A
1764192050,79,N/A
1764192051,77,N/A
1764192052,79,N/A
1764192053,79,N/A
1764192054,79,N/A
1764192055,79,N/A
1764192056,77,N/A
1764192057,78,N/A
1764192058,79,N/A
1764192059,79,N/A
1764192060,79,N/A
1764192061,79,N/A
1764192062,76,N/A
1764192063,79,N/A
1764192064,79,N/A
1764192065,79,N/A
1764192066,79,N/A
1764192067,77,N/A
1764192068,79,N/A
1764192069,79,N/A
1764192070,79,N/A
1764192071,79,N/A
1764192072,77,N/A
1764192073,78,N/A
1764192074,79,N/A
1764192075,79,N/A
1764192076,79,N/A
1764192077,79,N/A
1764192078,75,N/A
1764192080,79,N/A
1764192081,79,N/A
1764192082,79,N/A
1764192083,79,N/A
1764192084,77,N/A
1764192085,79,N/A
1764192086,79,N/A
1764192087,79,N/A
1764192088,79,N/A
1764192089,77,N/A
1764192090,78,N/A
1764192091,79,N/A
1764192092,79,N/A
1764192093,79,N/A
1764192094,79,N/A
1764192095,77,N/A
1764192096,79,N/A
1764192097,79,N/A
1764192098,79,N/A
1764192099,79,N/A
1764192100,77,N/A
1764192101,78,N/A
1764192102,79,N/A
1764192103,79,N/A
1764192104,78,N/A
1764192105,78,N/A
1764192106,77,N/A
1764192107,78,N/A
1764192108,79,N/A
1764192109,79,N/A
1764192110,79,N/A
1764192111,76,N/A
1764192112,78,N/A
1764192113,79,N/A
1764192114,79,N/A
1764192115,79,N/A
1764192116,79,N/A
1764192117,76,N/A
1764192118,79,N/A
1764192120,79,N/A
1764192121,79,N/A
1764192122,79,N/A
1764192123,77,N/A
1764192124,79,N/A
1764192125,79,N/A
1764192126,79,N/A
1764192127,79,N/A
1764192128,79,N/A
1764192129,78,N/A
1764192130,79,N/A
1764192131,79,N/A
1764192132,79,N/A
1764192133,79,N/A
1764192134,77,N/A
1764192135,79,N/A
1764192136,79,N/A
1764192137,79,N/A
1764192138,79,N/A
1764192139,77,N/A
1764192140,79,N/A
1764192141,79,N/A
1764192142,79,N/A
1764192143,79,N/A
1764192144,79,N/A
1764192145,76,N/A
1764192146,79,N/A
1764192147,79,N/A
1764192148,79,N/A
1764192149,79,N/A
1764192150,77,N/A
1764192151,79,N/A
1764192152,79,N/A
1764192153,80,N/A
1764192154,79,N/A
1764192155,78,N/A
1764192156,78,N/A
1764192157,79,N/A
1764192158,79,N/A
1764192160,79,N/A
1764192161,79,N/A
1764192162,77,N/A
1764192163,79,N/A
1764192164,79,N/A
1764192165,80,N/A
1764192166,80,N/A
1764192167,78,N/A
1764192168,79,N/A
1764192169,79,N/A
1764192170,79,N/A
1764192171,80,N/A
1764192172,80,N/A
1764192173,78,N/A
1764192174,79,N/A
1764192175,80,N/A
1764192176,80,N/A
1764192177,80,N/A
1764192178,78,N/A
1764192179,79,N/A
1764192180,80,N/A
1764192181,80,N/A
1764192182,80,N/A
1764192183,78,N/A
1764192184,79,N/A
1764192185,80,N/A
1764192186,80,N/A
1764192187,80,N/A
1764192188,79,N/A
1764192189,79,N/A
1764192190,80,N/A
1764192191,80,N/A
1764192192,80,N/A
1764192193,80,N/A
1764192194,77,N/A
1764192195,79,N/A
1764192196,80,N/A
1764192197,80,N/A
1764192199,80,N/A
1764192200,78,N/A
1764192201,79,N/A
1764192202,79,N/A
1764192203,80,N/A
1764192204,80,N/A
1764192205,79,N/A
1764192206,79,N/A
1764192207,80,N/A
1764192208,79,N/A
1764192209,80,N/A
1764192210,80,N/A
1764192211,78,N/A
1764192212,79,N/A
1764192213,80,N/A
1764192214,80,N/A
1764192215,80,N/A
1764192216,78,N/A
1764192217,79,N/A
1764192218,80,N/A
