timestamp,gpu_temp_c,memory_temp_c
1764701633,64,N/A
1764701635,64,N/A
1764701637,64,N/A
1764701639,65,N/A
1764701640,65,N/A
1764701641,74,N/A
1764701642,75,N/A
1764701643,76,N/A
1764701644,77,N/A
1764701645,78,N/A
1764701646,78,N/A
1764701647,79,N/A
1764701648,78,N/A
1764701649,79,N/A
1764701650,79,N/A
1764701651,80,N/A
1764701652,80,N/A
1764701653,81,N/A
1764701654,82,N/A
1764701655,82,N/A
1764701656,82,N/A
1764701657,82,N/A
1764701658,83,N/A
1764701659,83,N/A
1764701660,83,N/A
1764701661,83,N/A
1764701662,83,N/A
1764701663,84,N/A
1764701664,82,N/A
1764701665,83,N/A
1764701666,83,N/A
1764701667,83,N/A
1764701668,84,N/A
1764701670,84,N/A
1764701671,83,N/A
1764701672,83,N/A
1764701673,83,N/A
1764701674,83,N/A
1764701675,83,N/A
1764701676,84,N/A
1764701677,83,N/A
1764701678,83,N/A
1764701679,83,N/A
1764701680,84,N/A
1764701681,83,N/A
1764701682,83,N/A
1764701683,84,N/A
1764701684,83,N/A
1764701685,83,N/A
1764701686,83,N/A
1764701687,83,N/A
1764701688,83,N/A
1764701689,83,N/A
1764701690,83,N/A
1764701691,83,N/A
1764701692,83,N/A
1764701693,83,N/A
1764701694,83,N/A
1764701695,84,N/A
1764701696,83,N/A
1764701697,83,N/A
1764701698,83,N/A
1764701699,84,N/A
1764701700,83,N/A
1764701701,83,N/A
1764701702,84,N/A
1764701703,84,N/A
1764701704,83,N/A
1764701705,81,N/A
1764701706,83,N/A
1764701707,84,N/A
1764701709,84,N/A
1764701710,84,N/A
1764701711,84,N/A
1764701712,84,N/A
1764701713,83,N/A
1764701714,84,N/A
1764701715,84,N/A
1764701716,84,N/A
1764701717,84,N/A
1764701718,84,N/A
1764701719,84,N/A
1764701720,84,N/A
1764701721,84,N/A
1764701722,83,N/A
1764701723,83,N/A
1764701724,83,N/A
1764701725,82,N/A
1764701726,81,N/A
1764701727,81,N/A
1764701728,81,N/A
1764701729,81,N/A
1764701730,81,N/A
1764701731,80,N/A
1764701732,80,N/A
1764701733,80,N/A
1764701734,80,N/A
1764701735,80,N/A
1764701736,80,N/A
1764701737,80,N/A
1764701738,80,N/A
1764701739,79,N/A
1764701740,79,N/A
1764701741,79,N/A
1764701742,79,N/A
1764701743,79,N/A
