timestamp,gpu_temp_c,memory_temp_c
1764796968,72,N/A
1764796969,72,N/A
1764796970,72,N/A
1764796971,72,N/A
1764796972,73,N/A
1764796973,73,N/A
1764796974,73,N/A
1764796975,73,N/A
1764796976,73,N/A
1764796977,73,N/A
1764796978,73,N/A
1764796979,73,N/A
1764796980,74,N/A
1764796981,74,N/A
1764796982,74,N/A
1764796983,74,N/A
1764796984,73,N/A
1764796985,73,N/A
1764796986,74,N/A
1764796987,74,N/A
1764796988,74,N/A
1764796989,74,N/A
1764796990,74,N/A
1764796991,74,N/A
1764796992,74,N/A
1764796993,74,N/A
1764796994,74,N/A
1764796995,75,N/A
1764796996,75,N/A
1764796997,75,N/A
1764796998,74,N/A
1764796999,74,N/A
1764797000,75,N/A
1764797002,75,N/A
1764797003,75,N/A
1764797004,75,N/A
1764797005,75,N/A
1764797006,75,N/A
1764797007,75,N/A
1764797008,75,N/A
1764797009,75,N/A
1764797010,75,N/A
1764797011,75,N/A
1764797012,75,N/A
1764797013,75,N/A
1764797014,75,N/A
1764797015,75,N/A
1764797016,75,N/A
1764797017,75,N/A
1764797018,75,N/A
1764797019,75,N/A
1764797020,75,N/A
1764797021,75,N/A
1764797022,75,N/A
1764797023,76,N/A
1764797024,76,N/A
1764797025,76,N/A
1764797026,76,N/A
1764797027,75,N/A
1764797028,75,N/A
1764797029,76,N/A
1764797030,76,N/A
1764797031,76,N/A
1764797032,76,N/A
1764797033,76,N/A
1764797034,76,N/A
1764797035,76,N/A
1764797036,76,N/A
1764797037,76,N/A
1764797038,76,N/A
1764797039,76,N/A
1764797040,76,N/A
1764797042,76,N/A
1764797043,75,N/A
