timestamp,power_draw_w
1764797435,179.46
1764797436,175.79
1764797437,175.72
1764797438,176.01
1764797439,182.21
1764797440,190.46
1764797441,192.28
1764797442,192.47
1764797443,192.46
1764797444,191.25
1764797445,192.17
1764797446,192.91
1764797447,193.02
1764797448,191.78
1764797449,191.57
1764797450,191.12
1764797451,182.98
1764797452,181.10
1764797453,192.42
1764797454,190.07
1764797455,191.69
1764797456,193.98
1764797458,194.70
1764797459,195.35
1764797460,195.06
1764797461,193.82
1764797462,194.08
1764797463,194.01
1764797464,193.48
1764797465,194.49
1764797466,187.20
1764797467,183.63
1764797468,193.51
1764797469,194.02
1764797470,194.30
1764797471,194.64
1764797472,189.11
1764797473,195.29
1764797474,194.84
1764797475,194.60
1764797476,194.72
1764797477,196.74
1764797478,196.11
1764797479,197.02
1764797480,184.54
1764797481,187.19
1764797482,197.97
1764797483,197.31
1764797484,196.38
1764797485,196.15
1764797486,196.16
1764797487,196.55
1764797488,196.23
1764797489,197.19
1764797490,196.55
1764797491,197.39
1764797492,196.44
1764797493,195.66
1764797494,185.30
1764797495,189.34
1764797496,194.56
1764797498,198.07
1764797499,198.26
1764797500,196.52
1764797501,196.67
1764797502,196.61
1764797503,191.54
1764797504,194.78
1764797505,197.79
1764797506,196.69
1764797507,197.01
1764797508,191.00
1764797509,185.16
1764797510,189.93
1764797511,193.37
1764797512,197.14
1764797513,196.95
1764797514,197.96
1764797515,197.89
1764797516,198.62
1764797517,198.62
1764797518,198.28
1764797519,198.99
1764797520,196.48
1764797521,195.66
1764797522,188.51
1764797523,185.39
1764797524,191.03
1764797525,197.79
1764797526,195.13
1764797527,197.75
1764797528,197.73
1764797529,197.33
1764797530,195.81
1764797531,198.57
1764797532,197.87
1764797533,198.88
1764797534,193.75
1764797536,191.94
1764797537,189.47
1764797538,186.56
1764797539,197.19
1764797540,198.66
1764797541,199.38
1764797542,199.34
1764797543,199.41
1764797544,198.18
1764797545,197.90
1764797546,198.12
1764797547,199.50
1764797548,199.55
1764797549,198.12
1764797550,199.18
1764797551,188.37
1764797552,188.10
1764797553,199.39
1764797554,199.22
1764797555,199.18
1764797556,199.51
1764797557,199.36
1764797558,199.77
1764797559,198.13
1764797560,198.41
1764797561,199.21
1764797562,199.32
1764797563,197.70
1764797564,193.62
1764797565,186.16
1764797566,185.27
1764797567,196.81
1764797568,199.24
1764797569,199.49
1764797570,198.85
1764797571,198.85
1764797572,199.00
1764797573,199.76
1764797574,199.82
1764797576,199.16
1764797577,199.71
1764797578,199.75
1764797579,192.79
1764797580,186.69
1764797581,194.55
1764797582,197.29
1764797583,199.12
1764797584,199.59
1764797585,199.79
1764797586,199.41
1764797587,198.01
1764797588,198.37
1764797589,198.49
1764797590,197.79
1764797591,198.00
1764797592,197.93
1764797593,189.17
1764797594,187.74
1764797595,199.43
1764797596,199.82
1764797597,199.76
1764797598,191.76
1764797599,197.06
1764797600,195.15
1764797601,196.68
1764797602,197.23
1764797603,197.39
1764797604,197.29
1764797605,194.06
1764797606,192.33
1764797607,184.68
1764797608,189.07
1764797609,196.31
1764797610,196.58
1764797611,197.59
1764797612,195.81
1764797613,195.05
1764797614,195.34
1764797616,196.10
1764797617,195.61
1764797618,195.59
1764797619,195.48
1764797620,195.95
1764797621,194.80
1764797622,185.18
1764797623,189.15
1764797624,196.32
1764797625,196.26
1764797626,196.12
1764797627,195.74
1764797628,196.43
1764797629,197.26
1764797630,189.41
1764797631,197.48
1764797632,197.56
1764797633,197.63
1764797634,197.92
1764797635,192.62
1764797636,184.90
1764797637,181.12
