timestamp,power_draw_w
1764835278,87.89
1764835279,83.90
1764835280,87.87
1764835281,90.04
1764835282,90.16
1764835283,88.56
1764835285,86.26
1764835286,91.04
1764835287,91.44
1764835288,91.46
1764835289,91.34
1764835290,91.38
1764835291,91.40
1764835292,91.39
1764835293,91.37
1764835294,84.88
1764835295,85.68
1764835296,91.31
1764835297,91.66
1764835298,91.73
1764835299,91.61
1764835300,91.72
1764835301,91.68
1764835302,91.48
1764835303,91.29
1764835304,91.63
1764835305,90.56
1764835306,88.38
1764835307,87.76
1764835308,85.91
1764835310,83.54
1764835311,84.31
1764835312,87.83
1764835313,87.00
1764835314,87.08
1764835315,86.92
1764835316,86.47
1764835317,86.81
1764835318,87.22
1764835320,87.19
1764835321,87.20
1764835322,87.13
1764835323,87.64
1764835324,88.31
1764835325,88.36
1764835326,88.45
1764835327,88.64
1764835328,88.42
1764835329,88.48
1764835331,88.40
1764835332,88.36
1764835333,84.62
1764835334,84.21
1764835335,85.69
1764835336,87.87
1764835337,89.27
1764835338,87.91
1764835339,87.51
1764835341,87.75
1764835342,87.76
1764835343,86.91
1764835344,86.94
1764835345,85.69
1764835346,86.10
1764835347,86.54
1764835349,87.36
1764835350,86.26
1764835351,85.33
1764835352,86.09
1764835353,85.86
1764835354,86.04
1764835356,87.36
1764835357,86.01
1764835358,87.06
1764835359,87.00
1764835360,86.16
1764835361,85.98
1764835363,85.77
1764835364,85.96
1764835365,85.49
1764835366,83.07
1764835367,84.04
1764835368,84.03
1764835369,83.97
1764835371,86.58
1764835372,86.38
1764835373,86.51
1764835374,87.43
1764835375,86.85
1764835376,87.02
1764835378,86.30
1764835379,85.77
1764835380,87.61
1764835381,87.61
1764835382,88.25
1764835384,87.08
1764835385,87.70
1764835386,86.25
1764835387,85.91
1764835388,86.03
1764835389,85.64
1764835391,86.74
1764835392,87.20
1764835393,86.77
1764835394,86.48
1764835395,86.34
1764835397,86.31
1764835398,85.71
1764835399,85.70
1764835400,85.95
1764835401,86.49
1764835403,85.54
1764835404,84.15
1764835405,83.86
1764835406,83.64
1764835407,84.14
1764835409,85.79
1764835410,85.41
1764835411,85.08
1764835412,85.46
1764835414,84.88
1764835415,84.89
1764835416,85.37
1764835418,85.53
1764835419,84.89
1764835420,85.39
1764835421,85.65
1764835423,85.45
1764835424,85.22
1764835425,85.35
1764835426,85.24
1764835428,85.18
1764835429,85.39
1764835430,85.69
1764835431,85.17
1764835433,85.11
1764835434,85.11
1764835435,85.59
1764835436,86.11
1764835438,85.15
1764835439,85.25
1764835440,85.34
1764835441,85.38
1764835443,85.45
1764835444,85.22
1764835445,85.43
1764835446,85.53
1764835448,85.45
1764835449,86.09
1764835450,86.14
1764835451,85.62
1764835453,85.56
1764835454,85.47
1764835455,85.59
1764835456,85.43
1764835458,85.78
1764835459,85.54
1764835460,85.41
1764835462,83.65
1764835463,84.00
1764835464,83.72
1764835465,83.61
1764835467,83.79
1764835468,83.75
1764835469,84.89
1764835471,85.49
1764835472,85.55
1764835473,85.55
1764835474,85.65
1764835476,85.85
1764835477,86.24
1764835478,85.78
1764835479,85.51
1764835481,85.63
1764835482,85.60
1764835483,85.68
1764835484,85.62
1764835485,86.01
1764835487,86.00
1764835488,86.39
1764835489,86.49
1764835490,85.83
1764835492,85.24
1764835493,84.85
1764835494,85.38
1764835495,85.95
1764835496,86.17
1764835498,86.35
1764835499,85.64
1764835500,85.80
1764835501,86.05
1764835503,85.42
1764835504,85.34
1764835505,85.02
1764835507,85.05
1764835508,85.34
1764835509,85.31
1764835510,85.07
1764835512,85.09
1764835513,85.12
1764835514,85.20
1764835516,85.50
1764835517,85.67
1764835518,85.77
1764835519,85.86
1764835520,86.07
1764835522,86.21
1764835523,85.77
1764835524,85.72
1764835526,85.69
1764835527,84.33
1764835528,83.97
1764835529,84.00
1764835531,83.99
1764835532,84.43
1764835533,84.06
1764835534,84.73
1764835536,87.40
1764835537,86.87
1764835538,86.73
1764835539,86.47
1764835541,85.91
1764835542,86.48
1764835543,86.28
1764835545,86.71
1764835546,86.42
1764835547,86.10
1764835548,86.07
1764835550,86.07
1764835551,86.25
1764835552,86.04
1764835553,86.29
1764835555,86.15
1764835556,87.97
1764835557,86.55
1764835559,85.92
1764835560,85.92
1764835561,86.35
1764835562,86.40
1764835564,87.53
1764835565,86.85
1764835566,87.40
1764835567,86.51
1764835569,85.76
1764835570,85.91
1764835571,86.18
1764835573,86.02
1764835574,85.69
1764835575,85.76
1764835576,85.89
1764835578,85.68
1764835579,86.39
1764835580,86.02
1764835581,85.99
1764835583,83.95
1764835584,84.08
1764835585,84.29
1764835587,84.32
1764835588,84.31
1764835589,84.07
1764835590,85.04
1764835591,86.59
1764835593,85.88
1764835594,85.73
1764835595,86.21
1764835596,86.52
1764835598,86.80
1764835599,86.16
1764835600,86.36
1764835601,86.56
1764835603,86.03
1764835604,85.89
1764835605,86.49
1764835606,86.65
1764835608,86.68
1764835609,86.40
1764835610,85.76
1764835611,85.56
1764835613,85.53
1764835614,85.43
1764835615,85.64
1764835617,86.34
1764835618,86.27
1764835619,86.35
1764835620,86.51
1764835622,86.03
1764835623,86.39
1764835624,86.82
1764835625,86.12
1764835627,86.39
1764835628,86.11
1764835629,86.58
1764835630,86.56
1764835632,86.75
1764835633,87.01
1764835634,86.46
1764835636,86.52
1764835637,87.36
1764835638,86.68
1764835639,87.06
1764835641,86.36
1764835642,86.41
1764835643,85.43
1764835644,84.93
1764835646,84.44
1764835647,84.93
1764835648,84.55
1764835649,84.65
1764835650,84.57
1764835652,85.18
1764835653,86.29
1764835654,86.30
1764835656,86.33
1764835657,86.67
1764835658,86.85
1764835659,86.80
1764835661,86.54
1764835662,86.48
1764835663,86.84
1764835664,86.49
1764835666,86.66
1764835667,86.28
1764835668,86.08
1764835669,86.21
1764835671,86.77
1764835672,86.47
1764835673,87.10
1764835675,86.36
1764835676,86.16
1764835677,86.68
1764835678,86.93
1764835680,86.58
1764835681,86.61
1764835682,86.62
1764835683,86.57
1764835684,86.35
1764835686,87.40
1764835687,88.15
1764835688,88.03
1764835689,88.61
1764835690,89.81
1764835692,89.16
1764835693,89.87
1764835694,89.69
1764835695,88.92
1764835696,86.43
1764835697,85.44
1764835699,85.44
1764835700,85.48
1764835701,85.49
1764835702,87.74
1764835703,87.03
1764835705,86.63
1764835706,86.62
1764835707,86.68
1764835708,86.63
1764835710,86.69
1764835711,86.79
1764835712,86.79
1764835713,86.81
1764835715,87.11
1764835716,86.76
1764835717,86.60
1764835718,86.68
1764835720,86.99
1764835721,87.08
1764835722,86.74
1764835723,87.37
1764835725,86.90
1764835726,86.90
1764835727,86.96
1764835728,86.85
1764835730,86.70
1764835731,86.96
1764835732,86.79
1764835734,86.87
1764835735,86.88
1764835736,86.83
1764835737,87.15
1764835739,87.53
1764835740,87.69
1764835741,87.25
1764835742,86.69
1764835744,86.85
1764835745,86.81
1764835746,86.78
1764835747,86.56
1764835749,86.56
1764835750,87.01
1764835751,86.95
1764835752,86.76
1764835754,86.60
1764835755,86.49
1764835756,85.07
1764835758,84.84
1764835759,85.47
1764835760,85.11
1764835761,85.49
1764835763,85.04
1764835764,86.16
1764835765,88.73
1764835766,89.12
1764835767,87.58
1764835769,87.91
1764835770,87.94
1764835771,87.58
1764835772,87.90
1764835773,88.75
1764835774,87.97
1764835776,87.98
1764835777,88.37
1764835778,87.60
1764835779,87.92
1764835780,88.25
1764835781,87.97
1764835783,87.18
1764835784,87.93
1764835785,89.02
1764835786,87.98
1764835787,87.46
1764835788,87.68
1764835790,89.46
1764835791,87.40
1764835792,87.04
1764835793,86.68
1764835795,86.63
1764835796,86.63
1764835797,86.69
1764835798,86.39
1764835800,86.34
1764835801,86.57
1764835802,86.55
1764835804,86.45
1764835805,84.73
1764835806,85.14
1764835807,84.85
1764835809,84.83
1764835810,84.94
1764835811,84.77
1764835812,84.86
1764835814,84.78
1764835815,84.38
1764835816,74.39
1764835820,74.96
1764835822,75.21
1764835824,73.86
1764835827,83.84
1764835830,75.21
1764835832,74.94
1764835835,84.06
1764835836,84.19
1764835837,86.85
1764835838,86.66
1764835840,86.35
1764835841,86.44
1764835842,86.69
1764835843,86.94
1764835845,86.55
1764835846,87.03
1764835847,88.47
1764835848,87.46
1764835850,86.55
1764835851,87.10
1764835852,86.83
1764835853,86.61
1764835855,86.39
1764835856,86.84
1764835857,86.84
1764835859,87.69
1764835860,86.92
1764835861,86.41
1764835862,86.54
1764835864,86.57
1764835865,86.54
1764835866,86.34
1764835867,86.49
1764835869,86.58
1764835870,86.76
1764835871,87.00
1764835872,87.02
1764835874,86.60
1764835875,86.60
1764835876,86.36
1764835877,86.42
1764835879,86.86
1764835880,87.27
1764835881,86.36
1764835882,86.26
1764835884,85.98
1764835885,86.03
1764835886,86.17
1764835888,86.34
1764835889,86.30
1764835890,84.63
1764835892,84.81
1764835893,84.85
1764835894,84.90
1764835895,85.28
1764835897,84.80
1764835898,85.35
1764835899,84.88
1764835900,86.75
1764835901,87.27
1764835903,87.21
1764835904,86.86
1764835905,86.78
1764835907,86.99
1764835908,87.34
1764835909,86.87
1764835910,86.53
1764835912,86.70
1764835913,86.95
1764835914,86.81
1764835915,86.74
1764835917,86.84
1764835918,86.81
1764835919,86.85
1764835921,86.90
1764835922,87.52
1764835923,87.64
1764835924,86.61
1764835925,86.24
1764835927,86.88
1764835928,86.62
1764835929,86.75
1764835930,86.64
1764835932,86.69
1764835933,87.02
1764835934,87.16
1764835935,87.48
1764835937,86.99
1764835938,86.85
1764835939,86.96
1764835941,87.25
1764835942,86.94
1764835943,87.48
1764835944,87.62
1764835946,86.89
1764835947,86.55
1764835948,86.92
1764835949,87.11
1764835951,87.16
1764835952,86.44
1764835953,85.43
1764835954,85.39
1764835956,85.53
1764835957,85.59
1764835958,86.33
1764835959,88.00
1764835960,88.96
1764835961,88.52
1764835962,88.72
1764835964,89.22
1764835965,88.73
1764835966,87.95
1764835967,87.97
1764835968,87.28
1764835969,88.00
1764835971,87.69
1764835972,87.47
1764835973,88.17
1764835974,87.34
1764835975,87.23
1764835977,87.19
1764835978,87.22
1764835979,87.62
1764835980,86.98
1764835982,87.19
1764835983,87.43
1764835984,87.76
1764835985,87.57
1764835987,87.58
1764835988,87.46
1764835989,87.29
1764835990,87.39
1764835992,87.36
1764835993,86.90
1764835994,87.52
1764835995,87.17
1764835997,87.16
1764835998,87.11
1764835999,87.15
1764836001,87.21
1764836002,87.04
1764836003,87.92
1764836004,86.22
1764836006,85.38
1764836007,85.34
1764836008,85.80
1764836009,85.43
1764836011,85.72
1764836012,85.51
1764836013,87.54
1764836014,87.86
1764836016,87.75
1764836017,87.35
1764836018,87.25
1764836020,87.02
1764836021,87.19
1764836022,87.90
1764836023,87.12
1764836025,87.20
1764836026,87.03
1764836027,87.71
1764836028,87.48
1764836030,87.29
1764836031,86.99
1764836032,87.54
1764836034,87.14
1764836035,87.20
1764836036,87.58
1764836037,88.00
1764836039,87.45
1764836040,87.25
1764836041,87.30
1764836042,87.16
1764836044,87.11
1764836045,87.38
1764836046,87.38
1764836048,87.48
1764836049,87.39
1764836050,87.44
1764836051,87.15
1764836053,87.18
1764836054,87.32
1764836055,87.47
1764836056,87.22
1764836058,87.11
1764836059,87.39
1764836060,87.21
1764836062,87.22
1764836063,87.14
