timestamp,gpu_temp_c,memory_temp_c
1765359256,72,N/A
1765359258,71,N/A
1765359260,71,N/A
1765359262,70,N/A
1765359263,70,N/A
1765359265,71,N/A
1765359266,71,N/A
1765359267,78,N/A
1765359268,80,N/A
1765359269,80,N/A
1765359270,80,N/A
1765359271,81,N/A
1765359272,81,N/A
1765359273,82,N/A
1765359274,82,N/A
1765359275,83,N/A
1765359276,83,N/A
1765359277,83,N/A
1765359278,82,N/A
1765359279,82,N/A
1765359280,82,N/A
1765359281,83,N/A
1765359282,83,N/A
1765359283,83,N/A
1765359284,83,N/A
1765359285,82,N/A
1765359286,84,N/A
1765359287,83,N/A
1765359288,83,N/A
1765359289,83,N/A
1765359290,83,N/A
1765359291,83,N/A
1765359292,84,N/A
1765359293,84,N/A
1765359294,85,N/A
1765359295,83,N/A
1765359296,83,N/A
1765359297,83,N/A
1765359298,84,N/A
1765359299,84,N/A
1765359300,85,N/A
1765359302,83,N/A
1765359303,83,N/A
1765359304,83,N/A
1765359305,83,N/A
1765359306,83,N/A
1765359307,84,N/A
1765359308,85,N/A
1765359309,84,N/A
1765359310,83,N/A
1765359311,84,N/A
1765359312,83,N/A
1765359313,83,N/A
1765359314,84,N/A
1765359315,85,N/A
1765359316,84,N/A
1765359317,83,N/A
1765359318,82,N/A
1765359319,82,N/A
1765359320,82,N/A
1765359321,82,N/A
1765359322,82,N/A
1765359323,82,N/A
1765359324,81,N/A
1765359325,82,N/A
1765359326,81,N/A
1765359327,81,N/A
1765359328,81,N/A
1765359329,81,N/A
1765359330,81,N/A
1765359331,81,N/A
1765359332,81,N/A
1765359333,81,N/A
1765359334,81,N/A
1765359335,81,N/A
1765359336,81,N/A
1765359337,81,N/A
1765359338,81,N/A
1765359339,81,N/A
1765359340,81,N/A
1765359342,81,N/A
1765359343,81,N/A
1765359344,81,N/A
1765359345,81,N/A
1765359346,80,N/A
1765359347,80,N/A
1765359348,80,N/A
1765359349,80,N/A
1765359350,80,N/A
1765359351,80,N/A
1765359352,80,N/A
1765359353,80,N/A
1765359354,80,N/A
1765359355,80,N/A
1765359356,80,N/A
1765359357,80,N/A
1765359358,80,N/A
1765359359,80,N/A
1765359360,80,N/A
1765359361,80,N/A
1765359362,80,N/A
1765359363,80,N/A
1765359364,80,N/A
1765359365,80,N/A
1765359366,80,N/A
1765359367,80,N/A
1765359368,80,N/A
