timestamp,power_draw_w
1765683774,75.93
1765683775,75.11
1765683777,75.98
1765683779,73.30
1765683781,75.54
1765683783,72.98
1765683785,72.93
1765683787,75.44
1765683789,72.91
1765683790,81.33
1765683791,81.67
1765683792,82.15
1765683793,82.25
1765683794,84.42
1765683795,83.03
1765683796,120.01
1765683797,280.00
1765683798,279.14
1765683799,285.23
1765683800,280.38
1765683801,278.34
1765683802,278.83
1765683803,274.37
1765683804,280.70
1765683806,282.75
1765683807,283.38
1765683808,279.78
1765683809,280.77
1765683810,285.78
1765683811,279.45
1765683812,279.92
1765683813,282.47
1765683814,277.45
1765683815,278.97
1765683816,279.42
1765683817,277.04
1765683818,283.04
1765683819,280.33
1765683820,280.50
1765683821,283.53
1765683822,280.87
1765683823,283.08
1765683824,284.55
1765683825,283.94
1765683826,286.51
1765683827,280.45
1765683828,286.41
1765683829,283.95
1765683830,280.95
1765683831,285.36
1765683832,281.63
1765683833,282.84
1765683834,280.47
1765683835,283.69
1765683836,282.36
1765683837,281.33
1765683838,281.70
1765683839,281.91
1765683840,284.98
1765683841,282.46
1765683842,288.01
1765683843,282.66
1765683844,284.18
1765683846,287.21
1765683847,285.25
1765683848,284.83
1765683849,284.72
1765683850,285.69
1765683851,281.68
1765683852,287.94
1765683853,284.16
1765683854,280.95
1765683855,285.66
1765683856,285.28
1765683857,285.45
1765683858,285.01
1765683859,289.15
1765683860,284.76
1765683861,285.89
1765683862,286.87
1765683863,286.47
1765683864,285.38
1765683865,286.20
1765683866,287.18
1765683867,285.92
1765683868,286.74
1765683869,288.81
1765683870,287.06
1765683871,289.85
1765683872,287.87
1765683873,285.93
1765683874,288.88
1765683875,287.54
1765683876,287.60
1765683877,290.18
1765683878,287.72
1765683879,286.71
1765683880,288.54
1765683881,289.08
1765683882,285.79
1765683883,292.09
1765683884,288.23
1765683886,286.31
1765683887,291.93
1765683888,289.14
1765683889,287.14
1765683890,286.95
1765683891,287.53
1765683892,286.54
1765683893,285.51
1765683894,288.50
1765683895,288.49
1765683896,287.79
1765683897,288.80
1765683898,286.37
1765683899,285.86
1765683900,288.12
1765683901,287.40
1765683902,289.94
1765683903,288.99
1765683904,288.51
1765683905,287.58
1765683906,288.44
1765683907,288.98
1765683908,288.85
1765683909,289.87
1765683910,288.35
1765683911,287.66
1765683912,288.91
1765683913,288.49
1765683914,286.31
1765683915,288.41
1765683916,288.72
1765683917,284.82
1765683918,290.69
1765683919,290.56
1765683920,285.09
1765683921,289.06
1765683922,288.59
1765683923,284.78
1765683924,287.02
1765683926,287.18
1765683927,287.30
1765683928,287.15
1765683929,290.10
1765683930,288.67
1765683931,288.11
1765683932,291.86
1765683933,286.88
1765683934,291.39
1765683935,288.00
1765683936,286.05
1765683937,294.35
1765683938,289.08
1765683939,287.83
1765683940,293.34
1765683941,288.32
1765683942,289.31
1765683943,291.66
1765683944,289.03
1765683945,288.46
1765683946,289.49
1765683947,290.83
1765683948,287.22
1765683949,286.87
1765683950,290.97
1765683951,286.81
1765683952,287.94
1765683953,288.42
1765683954,288.58
1765683955,290.23
1765683956,286.79
1765683957,290.97
1765683958,289.18
1765683959,287.93
1765683960,291.20
1765683961,288.29
1765683962,288.33
1765683963,289.17
1765683964,288.63
1765683966,290.98
1765683967,288.70
1765683968,287.86
1765683969,291.42
1765683970,289.11
1765683971,286.90
1765683972,290.40
1765683973,289.36
1765683974,289.28
1765683975,293.42
1765683976,288.76
1765683977,287.86
1765683978,291.03
1765683979,290.07
1765683980,288.86
1765683981,286.84
1765683982,290.00
1765683983,287.57
1765683984,287.87
1765683985,290.69
1765683986,286.79
1765683987,289.08
1765683988,291.44
1765683989,285.89
1765683990,287.29
1765683991,289.42
1765683992,289.89
1765683993,293.52
1765683994,289.13
1765683995,288.30
1765683996,292.62
1765683997,290.44
1765683998,289.13
1765683999,290.92
1765684000,288.63
1765684001,291.86
1765684002,291.28
1765684003,289.97
1765684004,289.71
1765684005,288.50
1765684007,291.95
1765684008,288.20
1765684009,287.27
1765684010,292.49
1765684011,288.54
1765684012,287.02
1765684013,290.25
1765684014,288.80
1765684015,287.29
1765684016,287.59
1765684017,290.51
1765684018,287.38
1765684019,292.61
1765684020,289.61
1765684021,289.57
1765684022,290.40
1765684023,291.39
1765684024,291.55
1765684025,291.60
1765684026,289.61
1765684027,289.90
1765684028,292.30
1765684029,292.05
1765684030,289.01
1765684031,292.32
1765684032,290.87
1765684033,288.93
1765684034,289.63
1765684035,290.65
1765684036,288.93
1765684037,289.36
1765684038,291.09
1765684039,289.05
1765684040,288.29
1765684041,291.98
1765684042,288.25
1765684043,288.98
1765684044,290.87
1765684045,288.04
1765684047,290.86
1765684048,289.61
1765684049,288.30
1765684050,288.16
1765684051,290.04
1765684052,290.68
1765684053,292.66
1765684054,287.21
1765684055,290.99
1765684056,289.66
1765684057,291.60
1765684058,292.41
1765684059,291.58
1765684060,292.30
1765684061,291.17
1765684062,291.97
1765684063,289.87
1765684064,292.17
1765684065,289.93
1765684066,291.08
1765684067,289.47
1765684068,292.91
1765684069,289.70
1765684070,291.43
1765684071,292.55
1765684072,287.45
1765684073,290.43
1765684074,292.10
1765684075,290.23
1765684076,287.67
1765684077,291.41
1765684078,292.07
1765684079,287.91
1765684080,289.77
1765684081,288.25
1765684082,287.46
1765684083,287.77
1765684084,289.09
1765684085,287.04
1765684087,288.94
1765684088,287.43
1765684089,287.05
1765684090,291.32
1765684091,289.68
1765684092,286.76
1765684093,282.02
1765684094,292.80
1765684095,287.15
1765684096,288.57
1765684097,283.43
1765684098,283.04
1765684099,286.49
