timestamp,gpu_util_percent,memory_util_percent
1765740842,2,1
1765740843,2,1
1765740845,13,7
1765740846,11,6
1765740847,11,6
1765740848,11,6
1765740849,10,5
1765740850,12,6
1765740851,10,5
1765740852,10,5
1765740853,11,5
1765740854,12,6
1765740855,11,6
1765740856,11,6
1765740857,12,6
1765740858,11,6
1765740859,2,1
1765740860,2,1
1765740861,12,6
1765740862,11,6
1765740863,11,6
1765740864,11,6
1765740865,11,5
1765740866,11,6
1765740867,10,5
1765740868,10,5
1765740869,11,6
1765740870,11,6
1765740871,11,6
1765740872,11,6
1765740873,12,6
1765740874,11,6
1765740875,2,1
1765740876,2,1
1765740877,13,7
1765740878,11,5
1765740879,12,6
1765740880,12,6
1765740881,12,6
1765740882,14,7
1765740884,14,7
1765740885,13,7
1765740886,24,7
1765740887,33,8
1765740888,29,7
1765740889,31,7
1765740890,32,7
1765740891,74,60
1765740892,91,76
1765740893,93,70
1765740894,97,72
1765740895,94,70
1765740896,92,68
1765740897,96,71
1765740898,96,71
1765740899,93,70
1765740900,97,72
1765740901,96,71
1765740902,96,71
1765740903,94,71
1765740904,95,70
1765740905,92,75
1765740906,90,75
1765740907,93,70
1765740908,94,71
1765740909,94,69
1765740910,97,72
1765740911,96,71
1765740912,94,71
1765740913,96,71
1765740914,96,72
1765740915,93,70
1765740916,93,70
1765740917,96,71
1765740918,94,77
1765740919,94,77
1765740920,93,69
1765740921,97,72
1765740922,96,71
1765740924,93,70
1765740925,93,70
1765740926,96,71
1765740927,95,71
1765740928,91,67
1765740929,97,71
1765740930,96,72
1765740931,93,68
1765740932,96,71
1765740933,89,74
1765740934,90,74
1765740935,96,72
1765740936,92,70
1765740937,96,71
1765740938,96,71
1765740939,93,70
1765740940,93,70
1765740941,96,71
1765740942,96,71
1765740943,93,70
1765740944,96,70
1765740945,96,72
1765740946,95,71
1765740947,89,74
1765740948,93,70
1765740949,96,71
1765740950,95,71
1765740951,93,69
1765740952,97,71
1765740953,96,71
1765740954,93,70
1765740955,96,71
1765740956,96,71
1765740957,96,71
1765740958,93,70
1765740959,96,71
1765740960,94,76
1765740961,92,76
1765740962,86,72
1765740964,91,75
1765740965,92,75
1765740966,87,73
1765740967,87,73
1765740968,91,70
1765740969,96,72
1765740970,95,70
1765740971,92,69
1765740972,93,70
1765740973,96,71
1765740974,96,71
1765740975,93,71
1765740976,96,71
1765740977,95,72
1765740978,93,69
1765740979,96,72
1765740980,89,74
1765740981,90,74
1765740982,96,72
1765740983,96,71
1765740984,93,70
1765740985,96,71
1765740986,95,72
1765740987,95,70
1765740988,96,71
1765740989,96,71
1765740990,93,69
1765740991,96,71
1765740992,96,71
1765740993,93,71
1765740994,94,76
1765740995,97,71
1765740996,96,71
1765740997,93,69
1765740998,96,71
1765740999,93,70
1765741000,97,71
1765741001,97,71
1765741002,93,70
1765741004,93,69
1765741005,96,71
1765741006,96,72
1765741007,97,71
1765741008,89,74
1765741009,88,73
1765741010,97,71
1765741011,96,71
1765741012,95,70
1765741013,93,70
1765741014,96,71
1765741015,95,71
1765741016,96,71
1765741017,96,70
1765741018,93,69
1765741019,93,69
1765741020,97,72
1765741021,93,75
1765741022,94,76
1765741023,96,71
1765741024,96,71
1765741025,94,69
1765741026,96,71
1765741027,93,70
1765741028,95,70
1765741029,95,70
1765741030,93,70
1765741031,97,71
1765741032,91,68
1765741033,96,71
1765741034,96,72
1765741035,92,75
1765741036,89,73
1765741037,93,70
1765741038,96,71
1765741039,96,71
1765741040,93,70
1765741041,96,71
1765741042,96,71
1765741044,93,69
1765741045,96,71
1765741046,97,72
1765741047,93,70
1765741048,96,70
1765741049,95,72
1765741050,92,76
1765741051,93,69
1765741052,96,71
1765741053,96,71
1765741054,93,69
1765741055,96,71
1765741056,90,68
1765741057,95,70
1765741058,94,70
1765741059,93,69
1765741060,96,71
1765741061,94,70
1765741062,93,69
1765741063,88,73
1765741064,90,74
1765741065,95,70
1765741066,94,70
1765741067,91,67
1765741068,96,70
1765741069,95,71
1765741070,96,70
1765741071,95,70
1765741072,92,68
1765741073,96,70
1765741074,95,70
1765741075,95,70
1765741076,93,74
1765741077,88,73
1765741078,96,70
1765741079,95,71
1765741080,96,71
1765741081,96,71
1765741082,96,70
1765741084,94,69
1765741085,96,71
1765741086,92,69
1765741087,96,70
1765741088,92,69
1765741089,96,70
1765741090,95,70
1765741091,90,74
1765741092,95,72
1765741093,95,69
1765741094,95,69
1765741095,96,70
1765741096,92,69
1765741097,96,70
1765741098,95,70
1765741099,92,68
1765741100,96,70
1765741101,92,68
1765741102,96,71
1765741103,95,70
1765741104,89,74
1765741105,90,72
1765741106,88,73
1765741107,92,75
1765741108,91,74
1765741109,91,73
1765741110,94,63
1765741111,94,63
1765741112,96,61
1765741113,97,61
1765741114,95,62
1765741115,96,61
1765741116,97,61
1765741117,96,64
1765741118,96,62
1765741120,97,61
1765741121,96,62
1765741122,97,61
1765741123,97,62
1765741124,97,62
1765741125,96,67
1765741126,95,64
1765741127,97,62
1765741128,97,62
1765741129,96,63
1765741130,97,63
1765741131,97,62
1765741132,97,63
1765741133,94,62
1765741134,94,65
1765741135,93,65
1765741136,96,67
1765741137,96,67
1765741138,89,71
1765741139,94,72
1765741140,97,68
1765741141,96,67
1765741142,96,70
1765741143,96,68
1765741144,95,67
1765741145,96,69
1765741146,96,70
1765741147,96,70
1765741148,96,70
1765741149,93,68
1765741150,93,69
1765741151,93,72
1765741152,93,76
1765741153,95,70
1765741154,94,69
1765741155,96,70
1765741156,96,70
1765741157,92,69
1765741158,96,70
1765741160,96,71
1765741161,94,69
1765741162,96,70
1765741163,93,69
1765741164,96,70
1765741165,93,69
1765741166,90,73
1765741167,94,75
1765741168,95,71
1765741169,96,71
1765741170,96,70
1765741171,93,69
1765741172,96,70
1765741173,92,69
1765741174,93,69
1765741175,96,70
1765741176,92,68
1765741177,96,71
1765741178,93,70
1765741179,75,61
1765741180,92,75
1765741181,91,66
1765741182,95,70
1765741183,93,68
1765741184,96,70
1765741185,92,69
1765741186,96,70
1765741187,96,71
1765741188,94,69
1765741189,96,71
1765741190,96,70
1765741191,93,69
1765741192,96,71
1765741193,89,73
1765741194,92,75
1765741195,96,70
1765741196,92,69
1765741197,92,69
1765741198,97,71
1765741200,96,71
1765741201,94,69
1765741202,97,71
1765741203,92,69
1765741204,96,70
1765741205,96,71
1765741206,94,70
1765741207,89,73
1765741208,94,75
1765741209,93,69
1765741210,96,71
1765741211,92,69
1765741212,96,70
1765741213,96,70
1765741214,94,70
1765741215,96,70
1765741216,95,70
1765741217,93,69
1765741218,96,70
1765741219,92,68
1765741220,96,71
1765741221,93,76
1765741222,89,73
1765741223,96,70
1765741224,96,71
1765741225,93,70
1765741226,96,70
1765741227,92,69
1765741228,93,69
1765741229,96,70
1765741230,94,70
1765741231,96,70
1765741232,95,70
1765741233,93,68
1765741234,94,76
1765741235,87,70
1765741236,100,71
1765741237,100,70
1765741238,100,71
1765741240,100,71
1765741241,100,71
1765741242,100,71
1765741243,100,71
1765741244,100,71
1765741245,100,71
1765741246,100,71
1765741247,100,71
1765741248,100,71
1765741249,7,2
1765741250,2,1
1765741251,0,0
1765741252,7,0
1765741253,0,0
1765741254,0,0
1765741255,88,73
1765741256,92,68
1765741257,96,71
1765741258,95,71
1765741259,95,71
1765741260,93,70
1765741261,96,71
1765741262,96,72
1765741263,94,70
1765741264,96,71
1765741265,92,70
1765741266,92,69
1765741267,96,71
1765741268,92,75
1765741269,92,69
1765741270,96,72
1765741271,96,71
1765741272,93,69
1765741273,96,71
1765741274,96,71
1765741275,95,72
1765741276,93,69
1765741278,96,71
1765741279,95,71
1765741280,96,71
1765741281,96,71
1765741282,90,73
1765741283,94,76
1765741284,96,71
1765741285,95,71
1765741286,93,70
1765741287,96,70
1765741288,94,70
1765741289,96,71
1765741290,95,70
1765741291,93,70
1765741292,96,71
1765741293,96,71
1765741294,92,69
1765741295,96,71
1765741296,91,75
1765741297,95,77
1765741298,96,70
1765741299,96,70
1765741300,93,68
1765741301,96,71
1765741302,93,70
1765741303,96,70
1765741304,94,69
1765741305,93,68
1765741306,96,70
1765741307,95,71
1765741308,96,70
1765741309,93,76
1765741310,91,75
1765741311,96,71
1765741312,94,70
1765741313,92,68
1765741314,96,70
1765741315,93,69
1765741316,96,71
1765741318,95,70
1765741319,94,69
1765741320,96,70
1765741321,93,70
1765741322,94,68
1765741323,96,71
1765741324,87,72
1765741325,96,70
1765741326,92,68
1765741327,96,71
1765741328,95,70
1765741329,94,69
1765741330,96,70
1765741331,95,70
1765741332,94,69
1765741333,96,71
1765741334,93,69
1765741335,96,70
1765741336,92,68
1765741337,93,73
1765741338,88,71
1765741339,93,67
1765741340,96,69
1765741341,96,69
1765741342,95,70
1765741343,96,69
1765741344,92,67
1765741345,96,68
1765741346,92,67
1765741347,95,68
1765741348,96,69
1765741349,92,67
1765741350,96,68
1765741351,91,72
1765741352,96,68
1765741353,92,67
1765741354,96,69
1765741355,95,68
1765741357,93,68
1765741358,95,68
1765741359,93,67
1765741360,95,68
1765741361,92,68
1765741362,96,69
1765741363,93,67
1765741364,95,68
1765741365,89,71
1765741366,92,72
1765741367,96,69
1765741368,93,68
1765741369,96,69
1765741370,95,69
1765741371,96,68
1765741372,93,68
1765741373,97,69
1765741374,95,68
1765741375,96,70
1765741376,93,67
1765741377,93,67
1765741378,95,67
1765741379,91,72
1765741380,94,72
1765741381,95,68
1765741382,96,70
1765741383,96,69
1765741384,93,68
1765741385,95,68
1765741386,94,68
1765741387,94,69
1765741388,95,67
1765741389,96,68
1765741390,95,69
1765741391,95,68
1765741392,90,73
1765741393,91,73
1765741394,92,73
1765741395,91,73
1765741397,89,72
1765741398,93,74
1765741399,88,71
1765741400,93,71
1765741401,92,68
1765741402,97,69
1765741403,94,68
1765741404,96,69
1765741405,95,68
1765741406,96,68
1765741407,96,69
1765741408,96,69
1765741409,94,68
1765741410,96,69
