timestamp,gpu_util_percent,memory_util_percent
1765786267,0,0
1765786268,10,6
1765786269,0,0
1765786271,3,0
1765786272,13,7
1765786273,13,7
1765786274,20,7
1765786275,14,7
1765786276,24,13
1765786277,14,7
1765786278,14,7
1765786279,14,7
1765786280,14,7
1765786281,14,7
1765786282,14,7
1765786283,14,7
1765786284,2,1
1765786285,14,7
1765786286,14,7
1765786287,13,7
1765786288,14,7
1765786289,15,7
1765786290,13,7
1765786291,13,7
1765786292,13,7
1765786294,14,7
1765786295,13,7
1765786296,14,7
1765786297,14,7
1765786298,5,2
1765786299,2,1
1765786300,24,13
1765786301,14,7
1765786302,14,7
1765786303,14,7
1765786304,12,6
1765786305,12,6
1765786306,14,7
1765786307,13,7
1765786308,13,7
1765786309,14,7
1765786310,14,7
1765786311,11,6
1765786312,2,1
1765786313,14,7
1765786314,13,7
1765786315,14,7
1765786316,14,7
1765786317,14,7
1765786318,13,7
1765786319,13,7
1765786320,14,7
1765786321,20,7
1765786322,14,7
1765786323,14,7
1765786324,29,8
1765786325,2,1
1765786326,2,1
1765786327,14,7
1765786328,13,7
1765786329,22,7
1765786330,14,7
1765786331,24,13
1765786332,14,7
1765786334,14,7
1765786335,14,7
1765786336,13,7
1765786337,13,7
1765786338,13,7
1765786339,0,0
1765786340,2,1
1765786341,14,7
1765786342,14,7
1765786343,12,6
1765786344,13,6
1765786345,17,7
1765786346,13,7
1765786347,13,7
1765786348,25,8
1765786349,13,7
1765786350,13,7
1765786351,13,7
1765786352,13,7
1765786353,6,2
1765786354,2,1
1765786355,24,13
1765786356,14,7
1765786357,14,7
1765786358,13,7
1765786359,13,7
1765786360,13,7
1765786361,13,7
1765786362,13,7
1765786363,13,7
1765786364,13,7
1765786365,14,7
1765786366,12,6
1765786368,2,1
1765786369,12,5
1765786370,14,7
1765786371,13,7
1765786372,29,8
1765786373,13,7
1765786374,13,7
1765786375,14,7
1765786376,13,7
1765786377,22,7
1765786378,14,7
1765786379,23,13
1765786380,13,7
1765786381,3,2
1765786382,2,1
1765786383,14,7
1765786384,13,7
1765786385,14,7
1765786386,14,7
1765786387,14,7
1765786388,14,7
1765786389,14,7
1765786390,12,6
1765786391,13,7
1765786392,15,7
1765786393,13,7
1765786394,13,7
1765786395,9,2
1765786396,5,4
1765786397,14,7
1765786398,13,6
1765786399,13,6
1765786400,22,7
1765786401,13,7
1765786402,14,7
1765786403,20,7
1765786404,14,7
1765786405,13,7
1765786407,14,7
1765786408,13,7
1765786409,10,5
1765786410,4,3
1765786411,13,7
1765786412,13,7
1765786413,13,7
1765786414,13,7
1765786415,14,7
1765786416,13,7
1765786417,13,7
1765786418,13,7
1765786419,13,7
1765786420,13,7
1765786421,14,7
1765786422,14,7
1765786423,2,1
1765786424,6,2
1765786425,14,7
1765786426,15,7
1765786427,13,7
1765786428,14,7
1765786429,13,7
1765786430,14,7
1765786431,13,7
1765786432,14,7
1765786433,13,7
1765786434,14,7
1765786435,14,7
1765786436,13,7
1765786437,2,1
1765786438,14,7
1765786439,13,7
1765786440,14,7
1765786441,13,7
1765786442,13,7
1765786443,14,7
1765786444,14,7
1765786445,13,7
1765786447,14,7
1765786448,18,7
1765786449,14,7
1765786450,14,7
1765786451,11,4
1765786452,4,3
1765786453,13,7
1765786454,13,7
1765786455,12,6
1765786456,11,6
1765786457,12,6
1765786458,11,6
1765786459,12,6
1765786460,12,6
1765786461,10,5
1765786462,13,7
1765786463,13,7
1765786464,12,6
1765786465,12,6
1765786466,2,1
1765786467,2,1
