timestamp,power_draw_w
1765844560,78.49
1765844562,78.22
1765844564,85.14
1765844565,85.36
1765844566,85.40
1765844567,85.41
1765844568,85.37
1765844569,85.42
1765844570,85.58
1765844571,85.64
1765844572,85.58
1765844573,85.82
1765844574,85.85
1765844575,18.19
1765844576,6.01
1765844577,5.71
1765844578,5.28
1765844580,5.11
1765844581,5.11
1765844582,5.26
1765844583,5.09
1765844584,5.07
1765844585,5.22
1765844586,5.05
1765844587,5.05
1765844588,5.21
1765844589,4.90
1765844590,5.10
1765844591,5.31
1765844592,5.15
1765844593,5.19
1765844594,5.03
1765844595,5.17
1765844596,5.19
1765844597,5.09
1765844598,5.14
1765844599,5.31
1765844600,5.16
1765844601,26.67
1765844602,84.29
1765844603,84.38
1765844604,84.63
1765844605,108.25
1765844606,263.00
1765844607,271.36
1765844608,271.33
1765844609,272.34
1765844610,269.34
1765844611,272.98
1765844612,274.99
1765844613,273.19
1765844614,273.53
1765844615,274.42
1765844616,272.20
1765844617,277.91
1765844618,275.17
1765844620,276.86
1765844621,277.80
1765844622,272.05
1765844623,275.82
1765844624,273.48
1765844625,274.79
1765844626,277.04
1765844627,277.04
1765844628,275.76
1765844629,277.28
1765844630,274.54
1765844631,279.01
1765844632,277.68
1765844633,279.01
1765844634,278.91
1765844635,280.42
1765844636,278.26
1765844637,280.97
1765844638,281.56
1765844639,283.08
1765844640,279.75
1765844641,282.59
1765844642,281.50
1765844643,283.26
1765844644,281.31
1765844645,282.80
1765844646,282.21
1765844647,282.07
1765844648,284.21
1765844649,284.89
1765844650,285.89
1765844651,286.23
1765844652,284.92
1765844653,287.55
1765844654,285.19
1765844655,284.26
1765844656,286.83
1765844657,287.22
1765844659,284.32
1765844660,287.29
1765844661,286.19
1765844662,284.51
1765844663,287.00
1765844664,284.45
1765844665,286.08
1765844666,286.55
1765844667,285.11
1765844668,286.11
1765844669,284.24
1765844670,285.42
1765844671,287.16
1765844672,285.41
1765844673,287.25
1765844674,286.50
1765844675,285.47
1765844676,285.40
1765844677,286.83
1765844678,285.23
1765844679,285.71
1765844680,285.77
1765844681,286.89
1765844682,285.42
1765844683,286.24
1765844684,285.14
1765844685,286.42
1765844686,285.61
1765844687,287.38
1765844688,286.48
1765844689,284.54
1765844690,286.15
1765844691,283.79
1765844692,285.31
1765844693,284.99
1765844694,286.67
1765844695,286.68
1765844696,289.37
1765844698,288.50
1765844699,286.51
1765844700,288.63
1765844701,286.63
1765844702,286.80
1765844703,286.32
1765844704,287.48
1765844705,283.27
1765844706,286.25
1765844707,286.26
1765844708,285.20
1765844709,281.41
1765844710,285.50
1765844711,284.01
1765844712,282.52
1765844713,279.25
1765844714,285.39
1765844715,281.65
1765844716,281.83
1765844717,282.59
1765844718,281.36
1765844719,281.18
1765844720,281.89
1765844721,280.93
1765844722,279.04
1765844723,281.75
1765844724,282.32
1765844725,279.72
1765844726,281.52
1765844727,279.90
1765844728,281.85
1765844729,281.31
1765844730,275.45
1765844731,279.65
1765844732,280.46
1765844733,274.34
1765844734,281.40
1765844735,278.25
1765844736,282.40
1765844738,269.08
1765844739,278.38
1765844740,276.67
1765844741,278.05
1765844742,281.73
1765844743,280.90
1765844744,279.92
1765844745,275.58
1765844746,279.52
1765844747,283.78
1765844748,281.41
1765844749,274.33
1765844750,279.05
1765844751,279.29
