timestamp,gpu_temp_c,memory_temp_c
1766481240,67,N/A
1766481241,67,N/A
1766481242,67,N/A
1766481243,67,N/A
1766481245,67,N/A
1766481246,67,N/A
1766481247,67,N/A
1766481248,67,N/A
1766481249,67,N/A
1766481250,67,N/A
1766481251,67,N/A
1766481252,67,N/A
1766481253,68,N/A
1766481254,67,N/A
1766481255,68,N/A
1766481256,68,N/A
1766481257,67,N/A
1766481258,68,N/A
1766481259,68,N/A
1766481260,68,N/A
1766481261,68,N/A
1766481262,68,N/A
1766481263,68,N/A
1766481264,68,N/A
1766481265,68,N/A
1766481266,68,N/A
1766481267,68,N/A
1766481268,68,N/A
1766481269,68,N/A
1766481270,68,N/A
1766481271,68,N/A
1766481272,68,N/A
1766481273,68,N/A
1766481274,68,N/A
1766481275,68,N/A
1766481276,68,N/A
1766481277,68,N/A
1766481278,68,N/A
1766481279,68,N/A
1766481280,68,N/A
1766481281,68,N/A
1766481282,68,N/A
1766481284,68,N/A
1766481285,69,N/A
1766481286,69,N/A
1766481287,69,N/A
1766481288,69,N/A
1766481289,73,N/A
1766481290,75,N/A
1766481291,77,N/A
1766481292,77,N/A
1766481293,78,N/A
1766481294,77,N/A
1766481295,78,N/A
1766481296,79,N/A
1766481297,79,N/A
1766481298,79,N/A
1766481299,79,N/A
1766481300,80,N/A
1766481301,80,N/A
1766481302,80,N/A
1766481303,80,N/A
1766481304,81,N/A
1766481305,80,N/A
1766481306,81,N/A
1766481307,82,N/A
1766481308,82,N/A
1766481309,82,N/A
1766481310,82,N/A
1766481311,81,N/A
1766481312,82,N/A
1766481313,83,N/A
1766481314,82,N/A
1766481315,82,N/A
1766481316,82,N/A
1766481317,82,N/A
1766481318,82,N/A
1766481319,82,N/A
1766481320,82,N/A
1766481321,82,N/A
1766481323,82,N/A
1766481324,82,N/A
1766481325,83,N/A
1766481326,82,N/A
1766481327,82,N/A
1766481328,82,N/A
1766481329,82,N/A
1766481330,82,N/A
1766481331,82,N/A
1766481332,83,N/A
1766481333,82,N/A
1766481334,83,N/A
1766481335,82,N/A
1766481336,82,N/A
1766481337,83,N/A
1766481338,82,N/A
1766481339,82,N/A
1766481340,82,N/A
1766481341,83,N/A
1766481342,83,N/A
1766481343,82,N/A
1766481344,82,N/A
1766481345,82,N/A
1766481346,83,N/A
1766481347,83,N/A
1766481348,83,N/A
1766481349,83,N/A
1766481350,83,N/A
1766481351,83,N/A
1766481352,82,N/A
1766481353,83,N/A
1766481354,83,N/A
1766481355,82,N/A
1766481356,82,N/A
1766481357,83,N/A
1766481358,83,N/A
1766481359,83,N/A
1766481360,82,N/A
