timestamp,gpu_util_percent,memory_util_percent
1766425932,2,1
1766425933,4,3
1766425934,13,7
1766425935,13,7
1766425936,13,7
1766425937,3,1
1766425938,13,7
1766425939,13,7
1766425940,13,7
1766425941,13,6
1766425942,13,7
1766425943,14,7
1766425944,14,7
1766425945,14,7
1766425946,2,1
1766425947,2,1
1766425948,13,7
1766425949,14,7
1766425950,13,7
1766425951,13,7
1766425952,13,7
1766425953,13,7
1766425955,13,7
1766425956,13,7
1766425957,13,7
1766425958,13,6
1766425959,11,6
1766425960,7,4
1766425961,2,1
1766425962,2,1
1766425963,3,2
1766425964,9,5
1766425965,7,4
1766425966,7,4
1766425967,7,4
1766425969,7,4
1766425970,7,4
1766425971,7,4
1766425972,7,4
1766425973,7,4
1766425974,7,4
1766425975,7,4
1766425976,7,4
1766425977,7,4
1766425979,7,4
1766425980,8,4
1766425981,7,4
1766425982,7,4
1766425983,7,4
1766425984,7,4
1766425985,8,4
1766425986,2,1
1766425987,2,1
1766425989,8,4
1766425990,8,4
1766425991,8,4
1766425992,8,4
1766425993,9,4
1766425994,8,4
1766425995,4,2
1766425997,4,2
1766425998,4,2
1766425999,3,2
1766426000,4,2
1766426001,5,3
1766426002,6,3
1766426004,6,3
1766426005,4,2
1766426006,4,2
1766426007,5,2
1766426008,4,2
1766426009,4,2
1766426010,4,2
1766426012,3,2
1766426013,5,3
1766426014,4,2
1766426015,3,2
1766426016,5,2
1766426017,4,2
1766426019,4,2
1766426020,0,0
1766426021,2,1
1766426022,2,1
1766426023,0,0
1766426024,0,0
1766426026,5,2
1766426027,4,2
1766426028,7,4
1766426029,7,4
1766426030,5,2
1766426031,4,2
1766426033,6,3
1766426034,4,2
1766426035,3,2
1766426036,3,2
1766426037,5,3
1766426038,4,2
1766426040,7,3
1766426041,7,4
1766426042,7,4
1766426043,4,2
1766426044,5,2
1766426045,5,3
1766426047,7,4
1766426048,5,2
1766426049,6,3
1766426050,4,2
1766426051,5,2
1766426052,4,2
1766426054,4,2
1766426055,4,2
1766426056,6,3
1766426057,0,0
1766426058,2,1
1766426059,0,0
1766426061,0,0
1766426062,0,0
1766426063,0,0
1766426064,3,2
1766426066,3,2
1766426067,3,1
1766426068,3,2
1766426069,3,2
1766426071,3,1
1766426072,3,2
1766426073,3,2
1766426075,4,2
1766426076,3,2
1766426077,4,2
1766426078,5,2
1766426080,3,2
1766426081,3,2
1766426082,4,2
1766426083,3,2
1766426085,3,2
1766426086,3,1
1766426087,4,2
1766426088,4,2
1766426090,4,2
1766426091,3,2
1766426092,3,1
1766426093,3,2
1766426095,3,1
1766426096,3,1
1766426097,3,2
1766426098,3,2
1766426100,4,2
1766426101,3,2
1766426102,3,1
1766426104,3,1
1766426105,4,2
1766426106,4,2
1766426107,3,2
1766426109,3,1
1766426110,3,2
1766426111,3,2
1766426112,3,2
1766426114,4,2
1766426115,0,0
1766426116,0,0
1766426117,0,0
1766426119,0,0
1766426120,2,1
1766426121,0,0
1766426122,3,2
1766426124,3,2
1766426125,3,1
1766426126,3,1
1766426127,3,2
1766426129,3,2
1766426130,3,2
1766426131,3,2
1766426133,3,2
1766426134,3,2
1766426135,4,2
1766426136,6,3
1766426138,3,1
1766426139,3,2
1766426140,3,2
1766426141,3,2
1766426143,3,2
1766426144,5,3
1766426145,5,2
1766426146,4,2
1766426147,4,2
1766426149,4,2
1766426150,4,2
1766426151,4,2
1766426152,4,2
1766426153,5,3
1766426154,6,3
1766426156,7,4
1766426157,4,2
1766426158,4,2
1766426159,3,2
1766426160,3,2
1766426162,4,2
1766426163,3,2
1766426164,4,2
1766426165,4,2
1766426166,2,1
1766426168,0,0
1766426169,2,1
1766426170,0,0
1766426171,0,0
1766426173,2,1
1766426174,3,2
1766426175,4,2
1766426176,3,1
1766426178,3,2
1766426179,2,1
1766426180,3,1
1766426182,3,1
1766426183,3,1
1766426184,2,1
1766426185,3,2
1766426187,3,2
1766426188,3,1
1766426189,3,2
1766426190,3,1
1766426192,3,2
1766426193,3,2
1766426194,3,2
1766426196,3,2
1766426197,3,2
1766426198,3,2
1766426199,3,2
1766426201,3,2
1766426202,3,2
1766426203,3,1
1766426204,3,2
1766426206,3,1
1766426207,3,2
1766426208,3,2
1766426209,3,2
1766426211,4,2
1766426212,3,2
1766426213,4,2
1766426214,3,2
1766426216,3,1
1766426217,3,2
1766426218,3,2
1766426219,3,2
1766426221,3,1
1766426222,3,2
1766426223,3,1
1766426225,2,1
1766426226,3,2
1766426227,3,2
1766426228,0,0
1766426230,0,0
1766426231,2,1
1766426232,0,0
1766426233,0,0
1766426235,0,0
1766426236,0,0
1766426237,3,2
1766426238,3,2
1766426240,3,2
1766426241,2,1
1766426242,3,2
1766426244,3,2
1766426245,3,2
1766426246,3,2
1766426247,4,2
1766426249,4,2
1766426250,4,2
1766426251,3,2
1766426252,3,2
1766426254,6,3
1766426255,3,2
1766426256,3,2
1766426258,5,2
1766426259,4,2
1766426260,6,3
1766426261,7,4
1766426262,7,4
1766426263,7,4
1766426265,3,2
1766426266,2,1
1766426267,3,2
1766426268,3,2
1766426269,4,2
1766426271,4,2
1766426272,4,2
1766426273,3,2
1766426274,3,2
1766426276,3,2
1766426277,3,2
1766426278,4,2
1766426279,4,2
1766426281,0,0
1766426282,0,0
1766426283,0,0
1766426284,2,1
1766426286,2,1
1766426287,0,0
1766426288,0,0
1766426289,3,2
1766426291,3,2
1766426292,3,2
1766426293,3,2
1766426294,3,2
1766426296,2,1
1766426297,3,1
1766426298,3,2
1766426299,3,2
1766426301,3,1
1766426302,3,2
1766426303,3,2
1766426304,3,1
1766426306,3,1
1766426307,3,1
1766426308,3,2
1766426310,3,2
1766426311,3,2
1766426312,4,2
1766426313,3,2
1766426315,3,2
1766426316,3,2
1766426317,3,2
1766426318,3,2
1766426320,3,2
1766426321,3,1
1766426322,3,2
1766426323,3,2
1766426325,3,2
1766426326,4,2
1766426327,3,1
1766426329,3,2
1766426330,3,2
1766426331,3,2
1766426332,3,2
1766426334,4,2
1766426335,3,2
1766426336,3,2
1766426337,3,1
1766426339,3,2
1766426340,3,1
1766426341,2,1
1766426342,0,0
1766426344,0,0
1766426345,0,0
1766426346,2,1
