timestamp,power_draw_w
1767765123,90.40
1767765124,91.81
1767765125,97.18
1767765126,97.75
1767765127,97.78
1767765128,97.77
1767765129,97.82
1767765130,97.69
1767765131,98.42
1767765132,99.39
1767765133,160.97
1767765134,273.18
1767765135,280.53
1767765136,281.39
1767765137,282.04
1767765138,284.14
1767765139,277.39
1767765140,280.48
1767765141,276.69
1767765142,275.20
1767765143,273.72
1767765144,287.82
1767765145,279.61
1767765146,280.33
1767765147,287.53
1767765148,282.58
1767765149,284.77
1767765151,288.05
1767765152,289.87
1767765153,280.41
1767765154,284.36
1767765155,284.23
1767765156,282.65
1767765157,281.94
1767765158,283.11
1767765159,282.30
1767765160,288.97
1767765161,286.52
1767765162,286.10
1767765163,287.01
1767765164,284.80
1767765165,288.70
1767765166,283.67
1767765167,280.92
1767765168,280.73
1767765169,275.53
1767765170,274.98
1767765171,277.90
1767765172,280.55
1767765173,274.04
1767765174,283.17
1767765175,281.98
1767765176,280.75
1767765177,280.76
1767765178,271.12
1767765179,289.48
1767765180,282.80
1767765181,284.55
1767765182,280.33
1767765183,281.57
1767765184,282.22
1767765185,280.51
1767765186,282.31
1767765187,276.92
1767765188,276.07
1767765190,279.28
1767765191,280.15
1767765192,273.34
1767765193,277.55
1767765194,280.66
1767765195,279.25
1767765196,278.04
1767765197,270.44
1767765198,277.93
1767765199,279.75
1767765200,273.55
1767765201,271.80
1767765202,275.85
1767765203,268.37
1767765204,269.81
1767765205,271.21
1767765206,280.45
1767765207,285.44
1767765208,280.96
1767765209,268.53
1767765210,271.65
1767765211,267.57
1767765212,273.28
1767765213,274.23
1767765214,276.43
1767765215,274.93
1767765216,269.18
1767765217,270.23
1767765218,273.45
1767765219,272.89
1767765220,269.87
1767765221,273.63
1767765222,278.55
1767765223,272.49
1767765224,272.97
1767765225,272.90
1767765226,268.88
1767765227,269.15
1767765228,270.70
1767765230,267.34
1767765231,270.67
1767765232,273.36
1767765233,263.99
1767765234,272.71
1767765235,287.30
1767765236,264.96
1767765237,264.33
1767765238,268.88
1767765239,267.59
1767765240,270.12
1767765241,266.53
1767765242,268.67
1767765243,262.36
1767765244,264.68
1767765245,259.36
1767765246,260.84
1767765247,275.19
1767765248,277.72
1767765249,272.52
1767765250,266.89
1767765251,262.13
1767765252,262.39
1767765253,263.26
1767765254,258.19
1767765255,276.18
1767765256,261.42
1767765257,267.33
1767765258,257.56
1767765259,266.20
1767765260,268.47
1767765261,268.27
1767765262,269.93
1767765263,263.77
1767765264,256.62
1767765265,252.95
1767765266,259.85
1767765267,252.10
1767765269,256.34
1767765270,260.56
1767765271,262.59
1767765272,256.42
1767765273,265.59
1767765274,258.15
1767765275,252.03
1767765276,267.20
1767765277,262.09
1767765278,254.01
1767765279,252.86
1767765280,257.83
1767765281,256.36
1767765282,256.05
1767765283,257.68
1767765284,252.28
1767765285,256.26
1767765286,255.78
1767765287,257.81
1767765288,255.93
1767765289,260.99
1767765290,257.77
1767765291,240.72
1767765292,236.47
1767765293,237.63
1767765294,235.68
1767765295,236.85
1767765296,243.13
1767765297,249.65
1767765298,251.89
1767765299,253.65
1767765300,251.85
1767765301,254.56
1767765302,254.25
1767765303,252.15
1767765304,253.80
1767765305,253.15
1767765306,253.55
1767765308,251.57
1767765309,252.33
1767765310,249.78
1767765311,240.86
1767765312,242.72
1767765313,242.05
1767765314,242.01
1767765315,241.55
1767765316,241.67
1767765317,242.56
1767765318,242.18
1767765319,242.79
1767765320,242.47
1767765321,240.87
1767765322,240.96
1767765323,238.13
1767765324,241.27
1767765325,243.41
1767765326,242.34
1767765327,242.66
1767765328,239.60
1767765329,239.49
1767765330,241.01
1767765331,242.69
1767765332,240.41
1767765333,240.04
1767765334,240.31
1767765335,240.48
1767765336,242.55
1767765337,242.96
1767765338,242.16
1767765339,241.63
1767765340,242.13
1767765341,242.30
1767765342,241.26
1767765343,241.88
1767765344,242.44
1767765345,242.77
1767765347,242.42
1767765348,241.81
1767765349,240.56
1767765350,241.91
1767765351,240.86
1767765352,243.76
1767765353,240.80
1767765354,243.28
1767765355,242.36
1767765356,242.70
1767765357,242.36
1767765358,243.10
1767765359,242.06
1767765360,242.19
1767765361,242.15
