timestamp,gpu_temp_c,memory_temp_c
1767821717,68,N/A
1767821718,68,N/A
1767821719,68,N/A
1767821720,68,N/A
1767821721,68,N/A
1767821722,68,N/A
1767821723,68,N/A
1767821724,75,N/A
1767821725,76,N/A
1767821726,77,N/A
1767821727,77,N/A
1767821728,78,N/A
1767821729,78,N/A
1767821730,79,N/A
1767821731,78,N/A
1767821732,79,N/A
1767821733,80,N/A
1767821734,80,N/A
1767821735,80,N/A
1767821736,81,N/A
1767821737,81,N/A
1767821738,81,N/A
1767821739,82,N/A
1767821740,81,N/A
1767821741,82,N/A
1767821742,82,N/A
1767821743,82,N/A
1767821744,82,N/A
1767821745,82,N/A
1767821746,82,N/A
1767821747,82,N/A
1767821748,83,N/A
1767821749,83,N/A
1767821750,82,N/A
1767821752,83,N/A
1767821753,83,N/A
1767821754,83,N/A
1767821755,83,N/A
1767821756,82,N/A
1767821757,82,N/A
1767821758,83,N/A
1767821759,83,N/A
1767821760,83,N/A
1767821761,83,N/A
1767821762,83,N/A
1767821763,82,N/A
1767821764,83,N/A
1767821765,83,N/A
1767821766,83,N/A
1767821767,83,N/A
1767821768,82,N/A
1767821769,83,N/A
1767821770,84,N/A
1767821771,83,N/A
1767821772,83,N/A
1767821773,84,N/A
1767821774,83,N/A
1767821775,83,N/A
1767821776,84,N/A
1767821777,82,N/A
1767821778,84,N/A
1767821779,83,N/A
1767821780,84,N/A
1767821781,83,N/A
1767821782,81,N/A
1767821783,83,N/A
1767821784,84,N/A
1767821785,83,N/A
1767821786,83,N/A
1767821787,83,N/A
1767821788,84,N/A
1767821789,84,N/A
1767821791,84,N/A
1767821792,83,N/A
1767821793,83,N/A
1767821794,83,N/A
1767821795,83,N/A
1767821796,83,N/A
1767821797,84,N/A
1767821798,83,N/A
1767821799,83,N/A
1767821800,83,N/A
1767821801,83,N/A
1767821802,82,N/A
1767821803,82,N/A
1767821804,82,N/A
1767821805,82,N/A
1767821806,82,N/A
1767821807,81,N/A
1767821808,81,N/A
1767821809,81,N/A
1767821810,81,N/A
1767821811,81,N/A
1767821812,81,N/A
1767821813,81,N/A
1767821814,81,N/A
1767821815,80,N/A
1767821816,80,N/A
1767821817,80,N/A
