timestamp,power_draw_w
1767841471,93.47
1767841472,89.46
1767841473,94.43
1767841474,96.75
1767841475,96.97
1767841476,96.67
1767841477,98.68
1767841478,203.45
1767841479,283.08
1767841480,282.43
1767841481,277.95
1767841482,276.16
1767841483,278.02
1767841484,279.32
1767841485,277.19
1767841486,281.81
1767841487,277.01
1767841488,279.66
1767841489,279.28
1767841490,279.84
1767841491,279.80
1767841492,282.04
1767841493,279.49
1767841494,278.76
1767841495,280.77
1767841496,280.94
1767841497,279.33
1767841498,265.96
1767841499,279.74
1767841500,278.52
1767841501,267.07
1767841502,285.13
1767841504,286.64
1767841505,286.25
1767841506,283.84
1767841507,283.38
1767841508,284.43
1767841509,282.45
1767841510,279.85
1767841511,280.66
1767841512,284.89
1767841513,288.03
1767841514,285.52
1767841515,285.62
1767841516,287.42
1767841517,288.67
1767841518,288.81
1767841519,288.51
1767841520,287.99
1767841521,287.18
1767841522,288.91
1767841523,289.43
1767841524,287.93
1767841525,288.08
1767841526,287.83
1767841527,288.52
1767841528,283.00
1767841529,280.58
1767841530,287.11
1767841531,289.12
1767841532,284.24
1767841533,279.57
1767841534,287.17
1767841535,281.90
1767841536,249.15
1767841537,289.05
1767841538,287.45
1767841539,289.82
1767841540,288.30
1767841541,287.99
1767841543,274.15
1767841544,275.40
1767841545,279.53
1767841546,278.96
1767841547,278.02
1767841548,275.26
1767841549,277.33
1767841550,278.11
1767841551,277.76
1767841552,285.46
1767841553,282.99
1767841554,280.95
1767841555,276.53
1767841556,280.89
1767841557,282.48
1767841558,282.68
1767841559,284.48
1767841560,286.79
1767841561,288.01
1767841562,278.87
1767841563,281.08
1767841564,280.32
1767841565,281.54
1767841566,283.87
1767841567,283.95
1767841568,282.44
1767841569,281.68
1767841570,281.86
1767841571,282.89
1767841572,278.25
1767841573,262.78
1767841574,272.00
1767841575,269.19
1767841576,276.85
1767841577,278.10
1767841578,280.08
1767841579,279.20
1767841580,279.14
1767841582,274.99
1767841583,274.63
1767841584,270.28
1767841585,247.76
1767841586,244.69
1767841587,247.00
1767841588,248.55
1767841589,248.75
1767841590,249.00
1767841591,248.70
1767841592,251.98
1767841593,251.03
1767841594,239.80
1767841595,232.84
1767841596,229.66
1767841597,222.98
1767841598,233.16
1767841599,233.54
1767841600,233.06
1767841601,230.40
1767841602,230.09
1767841603,228.58
1767841604,228.85
1767841605,228.85
1767841606,228.31
1767841607,227.88
1767841608,228.03
1767841609,226.82
1767841610,227.86
1767841611,225.77
1767841612,224.87
1767841613,224.12
1767841614,225.46
1767841615,228.46
1767841616,227.67
1767841617,227.91
1767841618,227.87
1767841620,227.19
1767841621,225.54
1767841622,228.30
1767841623,229.19
1767841624,228.76
1767841625,228.42
1767841626,228.69
1767841627,227.60
1767841628,227.16
1767841629,224.91
1767841630,225.29
1767841631,228.23
1767841632,227.56
1767841633,227.62
1767841634,228.09
1767841635,227.63
1767841636,226.38
1767841637,227.69
1767841638,227.46
1767841639,227.64
1767841640,228.11
