timestamp,gpu_util_percent,memory_util_percent
1767708487,0,0
1767708489,0,0
1767708491,0,0
1767708493,0,0
1767708494,6,3
1767708495,73,39
1767708496,68,33
1767708497,65,31
1767708498,63,30
1767708499,61,29
1767708500,62,32
1767708501,61,33
1767708502,62,35
1767708503,73,39
1767708504,71,36
1767708505,69,33
1767708506,67,32
1767708507,65,31
1767708508,62,30
1767708509,61,30
1767708510,71,39
1767708511,72,39
1767708512,73,40
1767708513,74,40
1767708514,74,40
1767708515,75,41
1767708516,75,41
1767708517,74,40
1767708518,63,32
1767708519,62,32
1767708520,62,32
1767708521,62,33
1767708522,61,33
1767708523,61,33
1767708524,62,34
1767708525,76,41
1767708526,75,41
1767708527,63,30
1767708529,62,30
1767708530,62,29
1767708531,62,30
1767708532,62,31
1767708533,62,32
1767708534,73,39
1767708535,73,40
1767708536,74,40
1767708537,74,40
1767708538,74,40
1767708539,75,41
1767708540,76,41
1767708541,75,41
1767708542,63,30
1767708543,39,19
1767708544,62,32
1767708545,62,32
1767708546,61,33
1767708547,63,35
1767708548,63,35
1767708549,74,39
1767708550,72,37
1767708551,69,34
1767708552,68,32
1767708553,66,31
1767708554,63,30
1767708555,62,29
1767708556,62,31
1767708557,74,40
1767708558,76,41
1767708559,75,40
1767708560,62,29
1767708561,63,31
1767708562,55,26
1767708563,58,28
1767708564,64,35
1767708565,66,36
1767708566,69,37
1767708568,71,38
1767708569,73,39
1767708570,76,41
1767708571,75,40
1767708572,74,39
1767708573,62,33
1767708574,62,34
1767708575,63,35
1767708576,65,36
1767708577,66,36
1767708578,68,37
1767708579,70,38
1767708580,71,38
1767708581,66,31
1767708582,66,31
1767708583,66,31
1767708584,65,31
1767708585,64,30
1767708586,63,30
1767708587,62,29
1767708588,70,38
1767708589,70,38
1767708590,71,39
1767708591,72,39
1767708592,74,40
1767708593,67,32
1767708594,62,34
1767708595,63,35
1767708596,75,40
1767708597,74,39
1767708598,74,39
1767708599,73,38
1767708600,71,35
1767708601,69,33
1767708602,67,32
1767708603,66,31
1767708604,67,37
1767708605,68,37
1767708606,68,37
1767708608,69,38
1767708609,70,38
1767708610,71,38
1767708611,72,39
1767708612,64,30
1767708613,64,30
1767708614,63,30
1767708615,62,30
1767708616,61,31
1767708617,61,33
1767708618,63,35
1767708619,66,36
1767708620,70,34
1767708621,68,32
1767708622,66,31
1767708623,64,30
1767708624,62,29
1767708625,63,31
1767708626,72,39
1767708627,74,40
1767708628,62,30
1767708629,63,32
1767708630,61,33
1767708631,66,36
1767708632,56,26
1767708633,22,10
1767708634,62,31
1767708635,75,41
1767708636,74,39
1767708637,73,38
1767708638,71,35
1767708639,68,32
1767708640,65,31
1767708641,63,30
1767708642,62,29
1767708643,73,39
1767708644,75,41
1767708645,74,39
1767708646,70,34
1767708648,66,31
1767708649,62,32
1767708650,61,33
1767708651,74,39
1767708652,71,35
1767708653,68,32
1767708654,65,31
1767708655,62,30
1767708656,62,31
1767708657,61,32
1767708658,63,35
1767708659,62,30
1767708660,62,31
1767708661,61,32
1767708662,61,33
1767708663,63,35
1767708664,64,35
1767708665,65,36
1767708666,66,36
1767708667,72,37
1767708668,71,35
1767708669,69,33
1767708670,68,32
1767708671,67,32
1767708672,65,31
1767708673,64,31
1767708674,68,37
1767708675,69,38
1767708676,70,38
1767708677,71,38
1767708678,71,39
1767708679,73,39
1767708680,74,40
1767708681,74,40
1767708682,63,30
1767708683,62,29
1767708684,63,31
1767708685,62,32
1767708687,61,33
1767708688,63,35
1767708689,65,36
1767708690,70,34
1767708691,69,33
1767708692,62,33
1767708693,62,33
1767708694,62,35
1767708695,63,35
1767708696,65,36
1767708697,67,37
1767708698,69,33
1767708699,68,32
1767708700,67,32
1767708701,73,36
1767708702,57,28
1767708703,75,40
1767708704,74,39
1767708705,72,37
1767708706,62,34
1767708707,64,35
1767708708,66,36
1767708709,68,37
1767708710,70,38
1767708711,72,39
1767708712,75,40
1767708713,62,29
1767708714,62,32
1767708715,61,32
1767708716,63,35
1767708717,66,36
1767708718,69,37
1767708719,71,39
1767708720,75,40
1767708721,62,32
1767708722,61,33
1767708723,65,36
1767708724,74,39
1767708725,71,35
1767708727,68,32
1767708728,64,30
1767708729,70,38
1767708730,73,39
1767708731,76,41
1767708732,75,40
1767708733,73,38
1767708734,70,34
1767708735,68,32
1767708736,66,31
1767708737,67,37
1767708738,69,37
1767708739,70,38
1767708740,72,39
1767708741,73,39
1767708742,75,41
1767708743,75,41
1767708744,74,39
1767708745,62,32
1767708746,62,33
1767708747,62,34
1767708748,63,35
1767708749,65,36
1767708750,67,36
1767708751,68,37
1767708752,68,32
1767708753,67,32
1767708754,66,31
1767708755,64,30
1767708756,63,30
1767708757,66,36
1767708758,68,37
1767708759,70,38
1767708760,67,32
1767708761,65,31
1767708762,64,30
1767708763,62,29
1767708764,63,30
1767708766,62,31
1767708767,61,33
1767708768,77,41
1767708769,76,41
1767708770,75,40
1767708771,50,27
1767708772,56,26
1767708773,66,36
1767708774,67,37
1767708775,69,37
1767708776,68,32
1767708777,66,31
1767708778,65,31
1767708779,63,30
1767708780,62,30
1767708781,61,31
1767708782,62,34
1767708783,66,36
