timestamp,gpu_temp_c,memory_temp_c
1767721968,71,N/A
1767721970,71,N/A
1767721972,71,N/A
1767721973,71,N/A
1767721974,71,N/A
1767721975,77,N/A
1767721976,77,N/A
1767721977,77,N/A
1767721978,78,N/A
1767721979,78,N/A
1767721980,79,N/A
1767721982,79,N/A
1767721983,79,N/A
1767721984,79,N/A
1767721985,78,N/A
1767721986,80,N/A
1767721987,80,N/A
1767721988,80,N/A
1767721989,80,N/A
1767721990,80,N/A
1767721991,81,N/A
1767721992,81,N/A
1767721993,81,N/A
1767721994,81,N/A
1767721995,81,N/A
1767721996,81,N/A
1767721997,82,N/A
1767721998,82,N/A
1767721999,82,N/A
1767722000,82,N/A
1767722001,82,N/A
1767722002,82,N/A
1767722003,83,N/A
1767722004,83,N/A
1767722005,83,N/A
1767722006,82,N/A
1767722007,82,N/A
1767722008,82,N/A
1767722009,82,N/A
1767722010,83,N/A
1767722011,83,N/A
1767722012,82,N/A
1767722013,82,N/A
1767722014,83,N/A
1767722015,82,N/A
1767722016,82,N/A
1767722017,82,N/A
1767722018,82,N/A
1767722019,82,N/A
1767722021,82,N/A
1767722022,83,N/A
1767722023,83,N/A
1767722024,82,N/A
1767722025,82,N/A
1767722026,82,N/A
1767722027,83,N/A
1767722028,83,N/A
1767722029,83,N/A
1767722030,83,N/A
1767722031,82,N/A
1767722032,82,N/A
1767722033,83,N/A
1767722034,83,N/A
1767722035,83,N/A
1767722036,82,N/A
1767722037,82,N/A
1767722038,82,N/A
1767722039,82,N/A
1767722040,82,N/A
1767722041,83,N/A
1767722042,82,N/A
1767722043,82,N/A
1767722044,82,N/A
1767722045,82,N/A
1767722046,82,N/A
1767722047,82,N/A
1767722048,82,N/A
1767722049,82,N/A
1767722050,81,N/A
1767722051,82,N/A
1767722052,82,N/A
1767722053,82,N/A
1767722054,82,N/A
1767722055,82,N/A
1767722056,82,N/A
1767722057,82,N/A
1767722058,83,N/A
1767722060,82,N/A
1767722061,82,N/A
1767722062,82,N/A
1767722063,82,N/A
1767722064,82,N/A
1767722065,82,N/A
1767722066,82,N/A
1767722067,81,N/A
1767722068,82,N/A
1767722069,81,N/A
1767722070,82,N/A
1767722071,82,N/A
1767722072,82,N/A
1767722073,82,N/A
1767722074,82,N/A
1767722075,82,N/A
1767722076,81,N/A
1767722077,82,N/A
1767722078,82,N/A
1767722079,82,N/A
1767722080,82,N/A
1767722081,82,N/A
1767722082,82,N/A
1767722083,82,N/A
1767722084,82,N/A
1767722085,82,N/A
1767722086,82,N/A
1767722087,82,N/A
1767722088,81,N/A
1767722089,81,N/A
1767722090,82,N/A
1767722091,82,N/A
1767722092,82,N/A
1767722093,82,N/A
1767722094,82,N/A
1767722095,82,N/A
1767722096,81,N/A
1767722097,82,N/A
1767722098,82,N/A
1767722100,83,N/A
1767722101,82,N/A
1767722102,82,N/A
1767722103,82,N/A
1767722104,82,N/A
1767722105,81,N/A
1767722106,82,N/A
1767722107,82,N/A
1767722108,82,N/A
1767722109,82,N/A
1767722110,82,N/A
1767722111,81,N/A
1767722112,82,N/A
1767722113,82,N/A
1767722114,82,N/A
1767722115,81,N/A
1767722116,81,N/A
1767722117,82,N/A
1767722118,82,N/A
1767722119,82,N/A
1767722120,82,N/A
1767722121,82,N/A
1767722122,82,N/A
1767722123,82,N/A
1767722124,82,N/A
1767722125,82,N/A
1767722126,82,N/A
1767722127,82,N/A
1767722128,82,N/A
1767722129,82,N/A
1767722130,82,N/A
1767722131,82,N/A
1767722132,81,N/A
1767722133,81,N/A
1767722134,82,N/A
1767722135,82,N/A
1767722136,82,N/A
1767722137,82,N/A
1767722139,82,N/A
1767722140,81,N/A
1767722141,82,N/A
1767722142,82,N/A
1767722143,82,N/A
1767722144,82,N/A
1767722145,82,N/A
1767722146,82,N/A
1767722147,81,N/A
1767722148,82,N/A
1767722149,82,N/A
1767722150,82,N/A
1767722151,82,N/A
1767722152,82,N/A
1767722153,82,N/A
1767722154,82,N/A
1767722155,83,N/A
1767722156,82,N/A
1767722157,82,N/A
1767722158,82,N/A
1767722159,82,N/A
1767722160,82,N/A
1767722161,82,N/A
1767722162,82,N/A
1767722163,82,N/A
1767722164,82,N/A
1767722165,82,N/A
1767722166,82,N/A
1767722167,83,N/A
1767722168,83,N/A
1767722169,82,N/A
1767722170,82,N/A
1767722171,82,N/A
1767722172,82,N/A
1767722173,82,N/A
1767722174,83,N/A
1767722175,83,N/A
1767722176,82,N/A
1767722178,82,N/A
1767722179,82,N/A
1767722180,82,N/A
1767722181,82,N/A
1767722182,82,N/A
1767722183,82,N/A
1767722184,82,N/A
1767722185,82,N/A
1767722186,82,N/A
1767722187,82,N/A
1767722188,82,N/A
1767722189,82,N/A
1767722190,81,N/A
1767722191,81,N/A
1767722192,82,N/A
1767722193,83,N/A
1767722194,83,N/A
1767722195,82,N/A
1767722196,82,N/A
1767722197,82,N/A
1767722198,82,N/A
1767722199,81,N/A
1767722200,82,N/A
1767722201,82,N/A
1767722202,82,N/A
1767722203,82,N/A
1767722204,82,N/A
1767722205,82,N/A
1767722206,83,N/A
1767722207,82,N/A
1767722208,82,N/A
1767722209,82,N/A
1767722210,82,N/A
1767722211,83,N/A
1767722212,82,N/A
1767722213,83,N/A
1767722214,82,N/A
1767722215,82,N/A
1767722217,80,N/A
1767722218,82,N/A
1767722219,82,N/A
1767722220,82,N/A
1767722221,82,N/A
1767722222,81,N/A
1767722223,82,N/A
1767722224,82,N/A
1767722225,82,N/A
1767722226,82,N/A
1767722227,83,N/A
1767722228,83,N/A
1767722229,82,N/A
1767722230,81,N/A
1767722231,82,N/A
1767722232,82,N/A
1767722233,82,N/A
1767722234,83,N/A
1767722235,83,N/A
1767722236,82,N/A
1767722237,81,N/A
1767722238,82,N/A
1767722239,82,N/A
1767722240,83,N/A
1767722241,83,N/A
1767722242,82,N/A
1767722243,82,N/A
1767722244,82,N/A
1767722245,82,N/A
1767722246,83,N/A
1767722247,82,N/A
1767722248,82,N/A
1767722249,82,N/A
1767722250,82,N/A
1767722251,82,N/A
1767722252,82,N/A
1767722253,80,N/A
1767722254,82,N/A
1767722256,83,N/A
1767722257,83,N/A
1767722258,82,N/A
1767722259,82,N/A
1767722260,82,N/A
1767722261,82,N/A
1767722262,82,N/A
1767722263,81,N/A
1767722264,82,N/A
1767722265,82,N/A
1767722266,82,N/A
1767722267,82,N/A
1767722268,82,N/A
1767722269,81,N/A
1767722270,82,N/A
1767722271,81,N/A
1767722272,82,N/A
1767722273,82,N/A
1767722274,83,N/A
1767722275,83,N/A
1767722276,82,N/A
1767722277,81,N/A
1767722278,82,N/A
1767722279,82,N/A
1767722280,82,N/A
1767722281,83,N/A
1767722282,83,N/A
1767722283,81,N/A
1767722284,81,N/A
1767722285,82,N/A
1767722286,82,N/A
1767722287,83,N/A
1767722288,82,N/A
1767722289,82,N/A
1767722290,82,N/A
1767722291,81,N/A
1767722292,82,N/A
1767722293,83,N/A
1767722294,83,N/A
1767722296,82,N/A
1767722297,82,N/A
1767722298,82,N/A
1767722299,82,N/A
1767722300,82,N/A
1767722301,83,N/A
1767722302,83,N/A
1767722303,82,N/A
1767722304,82,N/A
1767722305,82,N/A
1767722306,81,N/A
1767722307,83,N/A
1767722308,83,N/A
1767722309,82,N/A
1767722310,82,N/A
1767722311,82,N/A
1767722312,82,N/A
1767722313,83,N/A
1767722314,82,N/A
1767722315,82,N/A
1767722316,82,N/A
1767722317,82,N/A
1767722318,83,N/A
1767722319,83,N/A
1767722320,82,N/A
1767722321,82,N/A
1767722322,82,N/A
1767722323,82,N/A
1767722324,81,N/A
1767722325,82,N/A
1767722326,82,N/A
1767722327,82,N/A
1767722328,83,N/A
1767722329,83,N/A
1767722330,83,N/A
1767722331,82,N/A
1767722332,82,N/A
1767722333,82,N/A
1767722335,83,N/A
1767722336,83,N/A
1767722337,83,N/A
1767722338,82,N/A
1767722339,82,N/A
1767722340,82,N/A
1767722341,82,N/A
1767722342,83,N/A
1767722343,83,N/A
1767722344,83,N/A
1767722345,82,N/A
1767722346,82,N/A
1767722347,82,N/A
1767722348,82,N/A
1767722349,82,N/A
1767722350,82,N/A
1767722351,82,N/A
1767722352,82,N/A
1767722353,82,N/A
1767722354,82,N/A
1767722355,83,N/A
1767722356,83,N/A
1767722357,82,N/A
1767722358,83,N/A
1767722359,82,N/A
1767722360,82,N/A
1767722361,83,N/A
1767722362,83,N/A
1767722363,83,N/A
1767722364,83,N/A
1767722365,82,N/A
1767722366,82,N/A
1767722367,82,N/A
1767722368,82,N/A
1767722369,83,N/A
1767722370,83,N/A
1767722371,83,N/A
1767722373,82,N/A
1767722374,82,N/A
1767722375,82,N/A
1767722376,83,N/A
1767722377,83,N/A
1767722378,81,N/A
1767722379,82,N/A
1767722380,83,N/A
1767722381,82,N/A
1767722382,81,N/A
1767722383,81,N/A
1767722384,82,N/A
1767722385,82,N/A
1767722386,83,N/A
1767722387,83,N/A
1767722388,82,N/A
1767722389,82,N/A
1767722390,82,N/A
1767722391,82,N/A
1767722392,82,N/A
1767722393,80,N/A
1767722394,82,N/A
1767722395,82,N/A
1767722396,83,N/A
1767722397,83,N/A
1767722398,82,N/A
1767722399,82,N/A
1767722400,82,N/A
1767722401,82,N/A
1767722402,82,N/A
1767722403,83,N/A
1767722404,82,N/A
1767722405,82,N/A
1767722406,82,N/A
1767722407,82,N/A
1767722408,83,N/A
1767722409,81,N/A
1767722410,81,N/A
1767722411,82,N/A
1767722413,82,N/A
1767722414,82,N/A
1767722415,83,N/A
1767722416,82,N/A
1767722417,81,N/A
1767722418,82,N/A
1767722419,82,N/A
1767722420,82,N/A
1767722421,83,N/A
1767722422,82,N/A
1767722423,82,N/A
1767722424,82,N/A
1767722425,82,N/A
1767722426,83,N/A
1767722427,83,N/A
1767722428,82,N/A
1767722429,82,N/A
1767722430,82,N/A
1767722431,82,N/A
1767722432,82,N/A
1767722433,83,N/A
1767722434,83,N/A
1767722435,82,N/A
1767722436,82,N/A
1767722437,82,N/A
1767722438,82,N/A
1767722439,83,N/A
1767722440,82,N/A
1767722441,82,N/A
1767722442,82,N/A
1767722443,82,N/A
