timestamp,power_draw_w
1767725996,82.27
1767725998,81.94
1767726000,81.68
1767726001,90.14
1767726002,92.82
1767726003,164.01
1767726004,236.85
1767726005,238.04
1767726006,238.48
1767726007,239.98
1767726009,240.98
1767726010,241.07
1767726011,244.09
1767726012,244.90
1767726013,245.30
1767726014,244.51
1767726015,241.43
1767726016,214.38
1767726017,241.33
1767726018,241.29
1767726019,242.26
1767726020,242.83
1767726021,243.13
1767726022,243.35
1767726023,245.81
1767726024,245.96
1767726025,246.69
1767726026,245.26
1767726027,245.35
1767726028,244.89
1767726029,244.56
1767726030,245.41
1767726031,245.60
1767726032,245.25
1767726033,240.98
1767726034,244.09
1767726035,243.39
1767726036,246.16
1767726037,240.91
1767726038,246.73
1767726039,245.35
1767726040,238.92
1767726041,241.58
1767726042,243.28
1767726043,241.96
1767726044,236.35
1767726045,239.75
1767726046,244.69
1767726048,244.26
1767726049,244.61
1767726050,240.97
1767726051,226.22
1767726052,239.97
1767726053,228.42
1767726054,240.88
1767726055,246.32
1767726056,252.45
1767726057,252.61
1767726058,245.27
1767726059,246.15
1767726060,246.74
1767726061,241.74
1767726062,244.58
1767726063,249.01
1767726064,250.05
1767726065,246.16
1767726066,247.78
1767726067,248.07
1767726068,242.80
1767726069,244.45
1767726070,250.18
1767726071,237.57
1767726072,237.20
1767726073,226.95
1767726074,247.49
1767726075,245.92
1767726076,246.57
1767726077,245.17
1767726078,249.59
1767726079,248.23
1767726080,244.66
1767726081,247.84
1767726082,244.43
1767726083,233.42
1767726084,247.54
1767726085,248.58
1767726086,247.09
1767726088,247.69
1767726089,249.56
1767726090,249.85
1767726091,250.15
1767726092,246.20
1767726093,246.21
1767726094,247.60
1767726095,247.21
1767726096,247.51
1767726097,248.13
1767726098,247.67
1767726099,244.48
1767726100,247.72
1767726101,248.49
1767726102,245.62
1767726103,226.49
1767726104,248.24
1767726105,248.49
1767726106,248.89
1767726107,249.05
1767726108,250.60
1767726109,249.15
1767726110,246.94
1767726111,245.14
1767726112,248.03
1767726113,246.79
1767726114,247.49
1767726115,246.73
1767726116,234.52
1767726117,248.86
1767726118,249.71
1767726119,249.73
1767726120,250.60
1767726121,249.84
1767726122,247.00
1767726123,242.85
1767726124,247.04
1767726125,243.33
1767726127,247.36
1767726128,249.10
1767726129,248.69
1767726130,247.22
1767726131,250.00
1767726132,250.54
1767726133,250.83
1767726134,249.30
1767726135,247.47
1767726136,247.20
1767726137,241.82
1767726138,244.24
1767726139,248.39
1767726140,248.16
1767726141,243.25
1767726142,237.69
1767726143,234.15
1767726144,247.10
1767726145,247.29
1767726146,247.47
1767726147,248.40
1767726148,242.65
1767726149,237.91
1767726150,249.58
1767726151,249.93
