timestamp,gpu_util_percent,memory_util_percent
1767884587,2,1
1767884588,2,1
1767884589,14,7
1767884590,14,7
1767884591,13,7
1767884592,14,7
1767884593,12,6
1767884594,31,12
1767884595,78,35
1767884596,76,33
1767884597,78,35
1767884598,76,34
1767884599,85,45
1767884600,82,42
1767884601,75,39
1767884602,67,33
1767884603,89,44
1767884604,82,42
1767884605,80,35
1767884606,88,41
1767884607,81,36
1767884608,89,43
1767884609,83,43
1767884610,79,35
1767884611,87,40
1767884612,87,45
1767884613,86,44
1767884614,78,34
1767884615,71,39
1767884617,87,41
1767884618,88,41
1767884619,85,44
1767884620,78,36
1767884621,83,38
1767884622,88,43
1767884623,80,36
1767884624,80,35
1767884625,78,35
1767884626,78,35
1767884627,81,36
1767884628,87,40
1767884629,87,45
1767884630,67,37
1767884631,86,39
1767884632,89,42
1767884633,85,43
1767884634,78,37
1767884635,78,35
1767884636,84,37
1767884637,87,40
1767884638,80,36
1767884639,78,34
1767884640,84,38
1767884641,88,40
1767884642,87,40
1767884643,89,42
1767884644,62,32
1767884645,77,36
1767884646,85,39
1767884647,88,43
1767884648,84,43
1767884649,82,40
1767884650,78,36
1767884651,79,35
1767884652,76,33
1767884653,87,44
1767884654,84,42
1767884656,79,36
1767884657,80,35
1767884658,81,36
1767884659,69,38
1767884660,78,40
1767884661,84,37
1767884662,89,43
1767884663,86,44
1767884664,81,39
1767884665,80,35
1767884666,86,39
1767884667,87,43
1767884668,86,42
1767884669,79,36
1767884670,80,36
1767884671,84,43
1767884672,76,35
1767884673,71,38
1767884674,89,41
1767884675,85,43
1767884676,88,41
1767884677,89,41
1767884678,85,39
1767884679,82,37
1767884680,87,40
1767884681,87,44
1767884682,83,42
1767884683,79,35
1767884684,88,45
1767884685,81,42
1767884686,66,32
1767884687,70,38
1767884688,80,36
1767884689,82,37
1767884690,82,38
1767884691,83,38
1767884692,83,43
1767884693,81,42
1767884694,79,39
1767884696,78,38
1767884697,79,37
1767884698,77,36
1767884699,77,35
1767884700,88,42
1767884701,68,37
1767884702,76,40
1767884703,83,43
1767884704,78,36
1767884705,79,34
1767884706,80,36
1767884707,87,39
1767884708,79,37
1767884709,78,36
1767884710,77,36
1767884711,79,36
1767884712,79,36
1767884713,79,35
1767884714,78,34
1767884715,72,34
1767884716,76,41
1767884717,84,43
1767884718,78,36
1767884719,81,36
1767884720,85,38
1767884721,88,43
1767884722,86,44
1767884723,86,38
1767884724,88,42
1767884725,88,45
1767884726,81,40
1767884727,79,36
1767884728,82,36
1767884729,68,38
1767884730,86,40
1767884731,78,35
1767884732,82,36
1767884733,47,24
1767884735,86,39
1767884736,89,41
1767884737,87,45
1767884738,83,43
1767884739,86,40
1767884740,87,43
1767884741,87,43
1767884742,84,44
1767884743,74,40
1767884744,64,31
1767884745,85,37
1767884746,80,36
1767884747,31,14
1767884748,84,43
1767884749,80,39
1767884750,78,35
1767884751,78,35
1767884752,79,35
1767884753,81,36
1767884754,85,43
1767884755,82,41
1767884756,79,35
1767884757,73,35
1767884758,64,30
1767884759,67,36
1767884760,60,34
1767884761,74,39
1767884762,61,31
1767884763,67,36
1767884764,79,38
1767884765,83,42
1767884766,78,35
1767884767,86,39
1767884768,87,44
1767884769,82,37
1767884770,88,39
1767884771,89,44
1767884772,85,44
1767884774,79,37
1767884775,79,35
