timestamp,power_draw_w
1767908807,91.65
1767908808,91.47
1767908809,97.85
1767908810,97.85
1767908811,98.08
1767908812,97.89
1767908813,97.89
1767908814,107.25
1767908815,222.47
1767908816,241.73
1767908817,243.33
1767908818,244.06
1767908819,242.24
1767908820,240.68
1767908821,240.92
1767908822,240.90
1767908823,247.08
1767908824,247.65
1767908825,248.03
1767908826,246.81
1767908827,248.66
1767908828,249.06
1767908829,250.02
1767908831,250.41
1767908832,249.56
1767908833,247.93
1767908834,248.44
1767908835,244.18
1767908836,232.98
1767908837,238.17
1767908838,243.59
1767908839,246.81
1767908840,251.16
1767908841,251.35
1767908842,249.05
1767908843,250.30
1767908844,251.79
1767908845,250.38
1767908846,252.16
1767908847,251.83
1767908848,250.75
1767908849,238.80
1767908850,240.83
1767908851,250.21
1767908852,241.98
1767908853,249.25
1767908854,243.18
1767908855,247.15
1767908856,247.79
1767908857,244.96
1767908858,242.04
1767908859,245.94
1767908860,250.32
1767908861,249.66
1767908862,237.58
1767908863,234.72
1767908864,236.41
1767908865,245.16
1767908866,242.63
1767908867,235.68
1767908868,230.97
1767908870,242.47
1767908871,240.16
1767908872,241.20
1767908873,238.60
1767908874,240.27
1767908875,239.03
1767908876,241.26
1767908877,243.67
1767908878,244.24
1767908879,234.94
1767908880,246.79
1767908881,246.10
1767908882,249.75
1767908883,245.25
1767908884,241.39
1767908885,248.03
1767908886,245.88
1767908887,249.68
1767908888,248.79
1767908889,232.99
1767908890,229.59
1767908891,246.09
1767908892,239.87
1767908893,249.93
1767908894,249.17
1767908895,249.36
1767908896,251.43
1767908897,250.37
1767908898,239.66
1767908899,242.48
1767908900,249.91
1767908901,250.39
1767908902,248.94
1767908903,240.66
1767908904,247.76
1767908905,247.42
1767908906,249.61
1767908907,241.05
1767908909,240.37
1767908910,250.90
1767908911,249.26
1767908912,249.69
1767908913,243.54
1767908914,240.34
1767908915,247.90
1767908916,247.68
1767908917,252.54
1767908918,250.03
1767908919,243.21
1767908920,240.97
1767908921,241.54
1767908922,250.40
1767908923,251.42
1767908924,247.11
1767908925,251.74
1767908926,248.08
1767908927,247.54
1767908928,236.62
1767908929,246.67
1767908930,244.56
1767908931,251.55
1767908932,240.35
1767908933,242.19
1767908934,240.30
1767908935,241.12
1767908936,244.42
1767908937,244.09
1767908938,250.48
1767908939,246.87
1767908940,243.34
1767908941,240.47
1767908942,245.42
1767908943,249.22
1767908944,238.30
1767908945,245.62
1767908946,247.97
1767908947,238.49
1767908949,236.98
1767908950,249.31
1767908951,248.13
1767908952,241.96
1767908953,231.01
1767908954,246.51
1767908955,246.32
1767908956,248.65
1767908957,250.92
1767908958,250.03
1767908959,245.91
1767908960,239.32
1767908961,248.25
1767908962,239.08
1767908963,240.51
1767908964,244.60
1767908965,237.65
1767908966,234.83
1767908967,245.07
1767908968,246.04
1767908969,244.41
1767908970,237.51
1767908971,244.87
1767908972,247.77
1767908973,241.44
1767908974,246.13
1767908975,244.26
1767908976,240.47
1767908977,237.23
1767908978,230.50
1767908979,228.12
1767908980,236.10
1767908981,241.36
1767908982,238.66
1767908983,241.74
1767908984,244.03
1767908985,249.96
1767908986,240.95
1767908987,244.30
1767908989,244.96
1767908990,246.04
1767908991,244.97
1767908992,244.63
1767908993,241.40
1767908994,244.51
1767908995,246.04
1767908996,243.59
1767908997,231.07
1767908998,241.84
1767908999,242.13
1767909000,241.92
1767909001,238.87
1767909002,240.16
1767909003,251.15
1767909004,244.92
1767909005,243.56
1767909006,245.00
1767909007,245.99
1767909008,240.61
1767909009,239.95
1767909010,232.36
1767909011,244.37
1767909012,242.26
1767909013,248.02
1767909014,235.33
1767909015,244.57
1767909016,241.53
1767909017,246.60
1767909018,239.41
1767909019,248.20
1767909020,243.07
1767909021,236.76
1767909022,243.72
1767909023,244.53
1767909024,232.02
1767909025,239.41
1767909026,245.83
1767909028,241.69
1767909029,238.82
1767909030,248.99
1767909031,238.45
1767909032,250.12
1767909033,235.27
1767909034,240.44
1767909035,241.03
1767909036,239.31
1767909037,241.96
1767909038,241.05
1767909039,234.10
1767909040,240.68
1767909041,231.96
1767909042,223.43
1767909043,243.62
1767909044,241.30
1767909045,242.24
1767909046,239.01
1767909047,245.09
1767909048,239.24
1767909049,238.21
1767909050,235.00
1767909051,241.95
1767909052,232.10
1767909053,238.58
1767909054,235.30
1767909055,246.99
1767909056,236.18
1767909057,238.93
1767909058,234.58
1767909059,240.31
1767909060,237.39
1767909061,240.84
1767909062,242.97
1767909063,229.88
1767909064,240.52
1767909065,238.68
1767909067,229.60
1767909068,234.15
1767909069,233.39
1767909070,238.85
1767909071,237.35
1767909072,242.04
1767909073,241.37
1767909074,239.04
1767909075,240.72
1767909076,239.43
1767909077,239.72
1767909078,245.86
1767909079,242.54
1767909080,234.39
1767909081,229.80
1767909082,235.46
1767909083,243.75
1767909084,245.37
1767909085,234.20
1767909086,241.33
1767909087,241.21
1767909088,237.95
1767909089,245.24
1767909090,237.83
1767909091,238.76
1767909092,238.22
1767909093,235.96
1767909094,233.60
1767909095,234.11
1767909096,233.39
1767909097,237.19
1767909098,234.02
1767909099,230.23
1767909100,242.24
1767909101,246.00
1767909102,238.00
1767909103,239.06
1767909104,239.50
1767909105,237.91
1767909107,238.87
1767909108,238.74
1767909109,238.55
1767909110,226.39
1767909111,235.46
1767909112,244.12
1767909113,241.76
1767909114,236.66
1767909115,242.73
1767909116,236.80
1767909117,236.13
1767909118,231.20
1767909119,234.23
1767909120,233.84
1767909121,236.85
1767909122,243.17
1767909123,231.03
1767909124,228.97
1767909125,235.16
1767909126,242.37
1767909127,237.06
1767909128,233.39
1767909129,241.61
1767909130,241.38
1767909131,242.61
1767909132,230.67
1767909133,233.00
1767909134,244.03
1767909135,244.33
1767909136,243.20
1767909137,234.29
1767909138,229.37
1767909139,233.62
1767909140,242.11
1767909141,244.23
1767909142,231.81
1767909143,236.20
1767909144,238.92
1767909145,239.78
1767909147,237.15
1767909148,243.66
1767909149,232.59
1767909150,236.85
1767909151,233.59
1767909152,230.55
1767909153,232.74
1767909154,236.74
1767909155,238.19
1767909156,241.49
1767909157,239.39
1767909158,238.56
1767909159,240.64
1767909160,237.35
1767909161,228.62
1767909162,237.60
1767909163,245.13
1767909164,236.55
1767909165,231.67
1767909166,230.40
1767909167,235.71
1767909168,232.95
1767909169,241.60
1767909170,236.86
1767909171,233.54
1767909172,234.28
1767909173,235.81
1767909174,240.52
1767909175,233.76
1767909176,240.94
1767909177,231.00
1767909178,240.30
1767909179,228.36
1767909180,232.02
1767909181,225.15
1767909182,233.43
1767909183,230.30
1767909185,224.38
1767909186,233.50
1767909187,228.55
1767909188,240.29
1767909189,242.68
1767909190,238.00
1767909191,233.57
1767909192,242.16
1767909193,238.74
1767909194,225.21
1767909195,226.97
1767909196,240.14
1767909197,240.87
1767909198,235.59
1767909199,241.09
1767909200,234.20
1767909201,236.40
1767909202,231.89
1767909203,239.99
1767909204,233.85
1767909205,242.62
1767909206,239.76
1767909207,240.08
1767909208,229.90
1767909209,235.81
1767909210,244.38
1767909211,240.76
1767909212,238.63
1767909213,238.63
1767909214,224.93
1767909215,240.82
1767909216,238.28
1767909217,233.39
1767909218,243.10
1767909219,235.73
1767909220,236.66
1767909221,233.32
1767909222,240.33
1767909224,235.93
1767909225,234.09
1767909226,234.31
1767909227,246.94
1767909228,232.68
1767909229,232.49
1767909230,240.48
1767909231,232.24
1767909232,242.70
1767909233,241.36
1767909234,237.00
1767909235,230.09
1767909236,240.72
1767909237,241.61
1767909238,237.57
1767909239,237.27
1767909240,227.14
1767909241,237.62
1767909242,230.00
1767909243,228.22
1767909244,226.73
1767909245,236.95
1767909246,233.85
1767909247,241.79
1767909248,231.37
1767909249,239.57
1767909250,227.52
1767909251,234.61
1767909252,240.88
1767909253,235.49
1767909254,238.61
1767909255,229.97
1767909256,231.78
1767909257,233.83
1767909258,234.70
1767909259,230.71
1767909260,235.84
1767909261,242.73
1767909262,224.08
1767909264,232.07
1767909265,233.89
1767909266,230.46
1767909267,225.45
1767909268,240.10
1767909269,238.07
1767909270,226.62
1767909271,220.77
1767909272,218.79
1767909273,235.54
1767909274,237.74
1767909275,236.45
1767909276,238.51
1767909277,239.95
1767909278,237.28
1767909279,229.77
1767909280,239.53
1767909281,242.70
1767909282,229.40
1767909283,240.31
1767909284,232.96
1767909285,232.21
1767909286,232.96
1767909287,242.72
1767909288,242.87
1767909289,232.21
1767909290,234.13
1767909291,238.84
1767909292,234.22
1767909293,235.01
1767909294,236.91
1767909295,229.47
1767909296,237.58
1767909297,239.49
1767909298,236.26
1767909299,231.95
1767909300,236.47
1767909301,233.83
1767909303,236.52
1767909304,237.78
1767909305,233.68
1767909306,228.86
1767909307,242.31
1767909308,232.67
1767909309,230.18
1767909310,233.64
1767909311,229.59
1767909312,238.50
1767909313,233.06
1767909314,225.66
1767909315,223.01
1767909316,234.82
1767909317,234.96
1767909318,232.27
1767909319,224.93
1767909320,235.56
1767909321,243.32
1767909322,232.01
1767909323,240.54
1767909324,229.32
1767909325,232.40
1767909326,231.42
1767909327,239.68
1767909328,220.33
1767909329,234.93
1767909330,242.59
1767909331,239.87
1767909332,227.88
1767909333,239.99
1767909334,242.14
1767909335,240.56
1767909336,228.94
1767909337,236.89
1767909338,241.35
1767909339,233.74
1767909340,240.17
1767909341,229.21
1767909343,221.36
1767909344,234.90
1767909345,235.32
1767909346,231.35
1767909347,225.91
1767909348,223.10
1767909349,238.03
1767909350,234.32
1767909351,237.00
1767909352,234.86
1767909353,237.30
1767909354,241.71
1767909355,233.75
1767909356,231.51
1767909357,235.92
1767909358,230.67
1767909359,223.75
1767909360,239.83
1767909361,237.42
1767909362,234.12
1767909363,221.21
1767909364,234.11
1767909365,238.02
1767909366,243.10
1767909367,231.34
1767909368,233.05
1767909369,234.54
1767909370,234.42
1767909371,227.45
1767909372,242.18
1767909373,231.24
1767909374,235.21
1767909375,231.47
1767909376,231.63
1767909377,241.16
1767909378,238.09
1767909379,224.85
1767909380,232.56
1767909382,237.39
1767909383,241.49
1767909384,230.95
1767909385,227.47
1767909386,231.46
1767909387,221.05
1767909388,224.63
1767909389,222.88
1767909390,224.77
1767909391,222.25
1767909392,238.38
1767909393,236.38
1767909394,234.31
1767909395,230.17
1767909396,233.10
1767909397,237.80
1767909398,234.95
1767909399,231.71
1767909400,239.02
1767909401,238.12
1767909402,236.54
1767909403,238.23
1767909404,235.52
