timestamp,gpu_util_percent,memory_util_percent
1767738829,0,0
1767738831,0,0
1767738833,0,0
1767738834,0,0
1767738835,5,0
1767738836,99,73
1767738837,99,70
1767738838,99,63
1767738840,99,71
1767738841,98,71
1767738842,99,63
1767738843,99,65
1767738844,99,69
1767738845,99,62
1767738846,98,68
1767738847,98,71
1767738848,99,67
1767738849,99,61
1767738850,99,68
1767738851,98,71
1767738852,99,63
1767738853,99,65
1767738854,99,72
1767738855,98,71
1767738856,99,65
1767738857,99,62
1767738858,99,64
1767738859,98,70
1767738860,99,64
1767738861,99,62
1767738862,99,63
1767738863,99,69
1767738864,98,69
1767738865,98,70
1767738866,99,65
1767738867,99,62
1767738868,99,67
1767738869,99,71
1767738870,98,69
1767738871,98,68
1767738872,99,65
1767738873,99,62
1767738874,99,62
1767738875,99,67
1767738876,99,70
1767738877,99,69
1767738879,98,69
1767738880,98,69
1767738881,98,66
1767738882,99,63
1767738883,99,63
1767738884,99,66
1767738885,99,68
1767738886,99,69
1767738887,99,69
1767738888,99,69
1767738889,99,69
1767738890,99,67
1767738891,99,67
1767738892,99,67
1767738893,98,66
1767738894,98,65
1767738895,99,62
1767738896,99,58
1767738897,99,61
1767738898,99,66
1767738899,99,65
1767738900,99,59
1767738901,99,59
1767738902,8,7
1767738903,98,59
1767738904,99,58
1767738905,99,59
1767738906,99,62
1767738907,99,65
1767738908,99,62
1767738909,99,59
1767738910,99,59
1767738911,98,64
1767738912,99,65
1767738913,98,62
1767738914,99,58
1767738915,99,60
1767738916,98,64
1767738918,99,64
1767738919,99,59
1767738920,99,59
1767738921,99,60
1767738922,98,64
1767738923,99,64
1767738924,99,59
1767738925,99,59
1767738926,98,65
1767738927,99,66
1767738928,99,60
1767738929,99,59
1767738930,99,59
1767738931,98,65
1767738932,99,66
1767738933,99,61
1767738934,99,59
1767738935,99,62
1767738936,99,65
1767738937,99,66
1767738938,99,62
1767738939,99,59
1767738940,99,60
1767738941,98,64
1767738942,99,65
1767738943,99,59
1767738944,99,59
1767738945,99,60
1767738946,98,65
1767738947,99,65
1767738948,99,59
1767738949,99,59
1767738950,99,64
1767738951,99,65
1767738952,99,67
1767738953,99,61
1767738954,99,59
1767738955,99,61
1767738957,98,65
1767738958,99,64
1767738959,99,59
1767738960,99,59
1767738961,99,60
1767738962,98,65
1767738963,99,66
1767738964,99,60
1767738965,99,59
1767738966,99,63
1767738967,99,66
1767738968,99,66
1767738969,99,62
1767738970,99,59
1767738971,99,60
1767738972,98,64
1767738973,99,65
1767738974,84,53
1767738975,41,24
1767738976,99,69
1767738977,98,72
1767738978,99,65
1767738979,99,63
