timestamp,power_draw_w
1767939697,96.98
1767939698,90.52
1767939699,93.46
1767939700,98.38
1767939701,98.57
1767939702,97.73
1767939703,98.06
1767939704,138.29
1767939705,286.73
1767939706,289.89
1767939707,291.35
1767939708,293.35
1767939709,294.53
1767939710,295.54
1767939711,300.88
1767939713,312.35
1767939714,306.76
1767939715,301.09
1767939716,302.11
1767939717,298.49
1767939718,290.47
1767939719,292.03
1767939720,285.91
1767939721,280.87
1767939722,284.88
1767939723,288.51
1767939724,288.77
1767939725,283.73
1767939726,283.98
1767939727,277.72
1767939728,274.01
1767939729,280.31
1767939730,278.29
1767939731,277.58
1767939732,277.69
1767939733,278.66
1767939734,278.86
1767939735,275.25
1767939736,273.24
1767939737,267.61
1767939738,270.08
1767939739,267.95
1767939740,271.69
1767939741,273.55
1767939742,273.97
1767939743,268.80
1767939744,266.25
1767939745,272.89
1767939746,267.77
1767939747,268.89
1767939748,264.63
1767939749,263.96
1767939750,262.92
1767939752,262.95
1767939753,263.26
1767939754,262.64
1767939755,270.24
1767939756,270.67
1767939757,267.11
1767939758,270.27
1767939759,266.92
1767939760,271.08
1767939761,269.66
1767939762,268.78
1767939763,269.15
1767939764,263.18
1767939765,265.62
1767939766,270.08
1767939767,268.19
1767939768,268.11
1767939769,265.46
1767939770,268.49
1767939771,230.82
1767939772,229.56
1767939773,229.47
1767939774,231.04
1767939775,228.80
1767939776,228.82
1767939777,227.83
1767939778,228.52
1767939779,228.28
1767939780,232.27
1767939781,235.34
1767939782,232.12
1767939783,237.63
1767939784,220.64
1767939785,230.78
1767939786,213.09
1767939788,232.09
1767939789,232.93
1767939790,231.61
1767939791,233.46
1767939792,232.24
1767939793,231.95
1767939794,233.46
1767939795,236.07
1767939796,234.64
1767939797,235.71
1767939798,236.83
1767939799,233.25
1767939800,226.00
1767939801,226.31
1767939802,225.83
1767939803,226.29
1767939804,225.75
1767939805,226.14
1767939806,225.57
1767939807,225.58
1767939808,226.35
1767939809,226.41
1767939810,225.37
1767939811,227.27
1767939812,221.55
1767939813,215.08
1767939814,213.31
1767939815,213.02
1767939816,212.93
1767939817,212.98
1767939818,213.04
1767939819,213.22
1767939820,212.95
1767939821,212.83
1767939822,212.97
1767939823,213.47
1767939824,212.21
1767939825,214.66
1767939827,215.19
1767939828,212.32
1767939829,212.73
1767939830,212.91
1767939831,212.74
1767939832,212.83
1767939833,212.41
1767939834,212.76
1767939835,213.01
1767939836,213.56
1767939837,212.65
1767939838,212.93
1767939839,212.61
1767939840,214.94
1767939841,214.48
1767939842,212.54
1767939843,212.87
1767939844,213.50
1767939845,213.03
1767939846,213.04
1767939847,213.20
1767939848,213.38
1767939849,213.25
1767939850,212.73
1767939851,212.54
1767939852,212.89
1767939853,213.82
1767939854,215.26
1767939855,214.34
1767939856,212.58
1767939857,212.65
1767939858,213.21
1767939859,213.62
1767939860,212.91
1767939861,213.30
1767939862,213.35
1767939863,214.03
1767939864,213.08
