timestamp,gpu_util_percent,memory_util_percent
1767960912,2,1
1767960913,10,5
1767960914,13,7
1767960915,13,7
1767960916,14,7
1767960917,13,5
1767960918,13,6
1767960919,45,24
1767960920,99,65
1767960921,99,64
1767960922,99,63
1767960923,99,64
1767960924,99,63
1767960925,99,65
1767960926,99,72
1767960927,99,64
1767960928,99,63
1767960929,99,64
1767960930,99,63
1767960931,99,64
1767960932,99,64
1767960933,99,63
1767960934,99,63
1767960935,99,63
1767960936,99,63
1767960937,99,63
1767960938,99,63
1767960939,99,63
1767960940,99,63
1767960941,99,63
1767960943,99,64
1767960944,99,63
1767960945,99,63
1767960946,99,63
1767960947,99,63
1767960948,99,63
1767960949,99,63
1767960950,99,63
1767960951,99,63
1767960952,99,61
1767960953,99,61
1767960954,99,68
1767960955,98,68
1767960956,99,61
1767960957,99,63
1767960958,99,63
1767960959,99,62
1767960960,99,62
1767960961,99,62
1767960962,99,62
1767960963,99,63
1767960964,99,62
1767960965,99,63
1767960966,99,62
1767960967,99,62
1767960968,99,62
1767960969,99,67
1767960970,99,62
1767960971,99,60
1767960972,99,62
1767960973,99,62
1767960974,99,62
1767960975,99,61
1767960976,99,62
1767960977,99,62
1767960978,99,61
1767960979,99,61
1767960980,99,60
1767960982,99,62
1767960983,99,62
1767960984,99,61
1767960985,99,62
1767960986,99,61
1767960987,99,60
1767960988,99,60
1767960989,99,61
1767960990,99,62
1767960991,99,62
1767960992,99,62
1767960993,99,61
1767960994,99,61
1767960995,99,61
1767960996,99,61
1767960997,99,68
1767960998,99,67
1767960999,99,32
1767961000,99,38
1767961001,100,42
1767961002,99,62
1767961003,99,61
1767961004,100,62
1767961005,99,63
1767961006,99,62
1767961007,99,63
1767961008,99,62
1767961009,99,61
1767961010,99,61
1767961011,99,64
1767961012,99,61
1767961013,99,60
1767961014,99,61
1767961015,99,61
1767961016,99,61
1767961017,99,61
1767961018,99,60
1767961019,99,60
1767961021,99,60
1767961022,99,62
1767961023,99,61
1767961024,99,60
1767961025,99,60
1767961026,98,67
1767961027,99,64
1767961028,99,58
1767961029,99,59
1767961030,99,61
1767961031,99,60
1767961032,99,58
1767961033,99,61
1767961034,99,60
1767961035,100,58
1767961036,99,59
1767961037,99,61
1767961038,99,60
1767961039,99,59
1767961040,99,62
1767961041,99,60
1767961042,99,58
1767961043,99,61
1767961044,99,61
1767961045,100,59
1767961046,99,59
1767961047,99,61
1767961048,99,58
1767961049,99,59
1767961050,99,60
1767961051,99,61
1767961052,99,58
1767961053,99,60
1767961054,99,60
1767961055,99,61
1767961056,99,61
1767961057,99,60
1767961059,99,58
1767961060,99,60
1767961061,99,60
1767961062,100,59
1767961063,99,59
1767961064,99,61
1767961065,99,58
1767961066,99,58
1767961067,100,61
1767961068,99,61
1767961069,99,61
1767961070,99,65
1767961071,99,60
1767961072,99,58
1767961073,99,61
1767961074,99,60
1767961075,99,58
1767961076,99,60
1767961077,99,61
1767961078,99,58
1767961079,99,59
1767961080,99,61
1767961081,99,58
1767961082,100,58
1767961083,99,61
1767961084,46,32
1767961085,98,64
1767961086,99,59
1767961087,99,59
1767961088,99,60
1767961089,99,63
1767961090,99,61
1767961091,99,60
1767961092,99,61
1767961093,99,58
1767961094,99,59
1767961095,99,61
1767961096,99,60
1767961098,99,58
1767961099,99,60
1767961100,99,61
1767961101,99,59
1767961102,99,60
1767961103,99,60
1767961104,98,65
1767961105,99,61
1767961106,99,61
1767961107,99,58
1767961108,99,60
1767961109,99,61
1767961110,100,60
1767961111,99,60
1767961112,99,60
1767961113,99,60
1767961114,99,59
1767961115,99,58
1767961116,99,60
1767961117,99,61
1767961118,98,65
1767961119,99,60
1767961120,99,60
1767961121,100,58
1767961122,100,60
1767961123,99,61
1767961124,100,60
1767961125,99,59
1767961126,99,61
1767961127,99,58
1767961128,99,58
1767961129,99,61
1767961130,99,61
1767961131,98,66
1767961132,99,65
1767961133,99,58
1767961134,99,59
1767961135,99,61
1767961136,99,59
1767961138,99,58
1767961139,99,61
1767961140,99,61
1767961141,99,58
1767961142,99,61
1767961143,99,60
1767961144,100,60
1767961145,99,59
1767961146,98,65
1767961147,99,63
1767961148,99,60
1767961149,99,61
1767961150,99,57
1767961151,100,58
1767961152,99,61
1767961153,99,61
1767961154,99,58
1767961155,99,59
1767961156,99,61
1767961157,99,59
1767961158,99,58
1767961159,99,61
1767961160,99,67
1767961161,99,62
1767961162,99,61
1767961163,99,59
1767961164,99,59
1767961165,99,60
1767961166,99,60
1767961167,99,58
1767961168,47,33
1767961169,99,58
1767961170,90,51
1767961171,99,61
1767961172,99,61
1767961173,99,61
1767961174,99,62
1767961176,99,61
1767961177,100,59
1767961178,99,59
1767961179,99,61
1767961180,99,57
1767961181,99,59
1767961182,99,61
1767961183,99,60
1767961184,99,58
1767961185,99,60
1767961186,99,60
1767961187,99,58
1767961188,99,66
1767961189,99,60
1767961190,99,59
1767961191,99,60
1767961192,99,61
1767961193,100,60
1767961194,99,59
1767961195,99,61
1767961196,99,57
1767961197,99,58
1767961198,99,61
1767961199,99,61
1767961200,100,59
1767961201,99,59
1767961202,99,65
1767961203,99,60
1767961204,99,61
1767961205,100,61
1767961206,99,59
1767961207,100,58
1767961208,99,61
1767961209,99,60
