timestamp,power_draw_w
1767756093,78.89
1767756095,78.58
1767756097,84.09
1767756098,93.44
1767756099,95.76
1767756100,95.83
1767756101,95.99
1767756102,96.02
1767756103,96.07
1767756104,96.02
1767756105,96.18
1767756106,96.05
1767756107,96.33
1767756108,91.65
1767756109,89.07
1767756110,94.50
1767756111,95.99
1767756112,95.85
1767756113,95.97
1767756114,95.93
1767756115,95.80
1767756116,96.05
1767756117,96.04
1767756118,96.26
1767756119,95.46
1767756120,93.45
1767756121,89.01
1767756122,94.29
1767756123,96.13
1767756125,95.94
1767756126,95.80
1767756127,96.00
1767756128,96.03
1767756129,95.92
1767756130,96.13
1767756131,96.04
1767756132,96.08
1767756133,91.95
1767756134,88.64
1767756135,94.64
1767756136,95.63
1767756137,95.75
1767756138,95.67
1767756139,95.70
1767756140,95.96
1767756141,95.81
1767756142,95.75
1767756143,95.90
1767756144,95.66
1767756145,92.91
1767756146,88.85
1767756147,93.52
1767756148,95.89
1767756149,96.01
1767756150,96.00
1767756151,95.88
1767756152,96.11
1767756153,95.99
1767756154,95.99
1767756155,95.86
1767756156,95.85
1767756157,94.08
1767756158,89.06
1767756159,93.00
1767756160,95.75
1767756161,96.12
1767756162,96.11
1767756164,96.14
1767756165,96.03
1767756166,96.26
1767756167,96.21
1767756168,96.31
1767756169,96.13
1767756170,93.71
1767756171,88.76
1767756172,92.95
1767756173,96.44
1767756174,96.53
1767756175,96.40
1767756176,96.36
1767756177,96.15
1767756178,96.19
1767756179,96.05
1767756180,96.07
1767756181,96.38
1767756182,95.12
1767756183,88.90
1767756184,93.14
1767756185,96.20
1767756186,96.18
1767756187,96.14
1767756188,96.27
1767756189,96.30
1767756190,96.28
1767756191,96.60
1767756192,96.21
1767756193,96.25
1767756194,94.15
1767756195,89.14
1767756196,93.39
1767756197,96.39
1767756198,96.50
1767756199,96.46
1767756200,96.40
1767756202,96.26
1767756203,96.47
1767756204,96.42
1767756205,96.39
1767756206,96.32
1767756207,93.71
1767756208,89.37
1767756209,93.96
1767756210,96.47
1767756211,96.51
1767756212,96.46
1767756213,96.25
1767756214,96.52
1767756215,96.45
1767756216,96.40
1767756217,96.22
1767756218,96.02
1767756219,93.02
1767756220,89.16
1767756221,94.72
1767756222,96.32
1767756223,96.34
1767756224,96.45
1767756225,96.56
1767756226,96.40
1767756227,96.47
1767756228,96.37
1767756229,96.38
1767756230,96.33
1767756231,93.38
1767756232,89.42
