timestamp,power_draw_w
1767984394,182.52
1767984395,178.36
1767984396,178.57
1767984397,178.98
1767984398,172.98
1767984399,170.53
1767984401,175.20
1767984402,172.09
1767984403,172.28
1767984404,171.73
1767984405,171.40
1767984406,172.22
1767984407,171.98
1767984408,175.01
1767984409,171.52
1767984410,176.11
1767984411,172.68
1767984412,173.23
1767984413,171.53
1767984414,171.73
1767984415,175.10
1767984416,176.28
1767984417,181.48
1767984418,183.25
1767984419,177.75
1767984420,178.43
1767984421,172.26
1767984422,178.12
1767984423,182.08
1767984424,181.94
1767984425,181.96
1767984426,181.98
1767984427,180.62
1767984428,175.42
1767984429,175.30
1767984430,173.55
1767984431,173.99
1767984432,174.75
1767984433,177.17
1767984434,168.67
1767984435,174.63
1767984437,179.26
1767984438,184.65
1767984439,182.32
1767984440,173.49
1767984441,176.28
1767984442,173.83
1767984443,177.16
1767984444,182.73
1767984445,181.27
1767984446,181.31
1767984447,183.99
1767984448,181.00
1767984449,179.19
1767984450,179.37
1767984451,175.74
1767984452,174.81
1767984453,175.51
1767984454,179.92
1767984455,180.35
1767984456,180.30
1767984457,176.00
1767984458,185.83
1767984459,182.17
1767984460,178.57
1767984461,175.41
1767984462,176.89
1767984463,175.62
1767984464,179.44
1767984465,183.01
1767984466,179.40
1767984467,180.79
1767984468,175.65
1767984469,171.07
1767984470,176.15
1767984472,180.21
1767984473,182.97
1767984474,182.77
1767984475,184.33
1767984476,180.77
1767984477,179.73
1767984478,181.93
1767984479,186.76
1767984480,182.40
1767984481,180.96
1767984482,182.56
1767984483,182.83
1767984484,183.30
1767984485,183.56
1767984486,181.02
1767984487,182.98
1767984488,179.95
1767984489,180.00
1767984490,179.98
1767984491,175.26
1767984492,175.80
1767984493,179.44
1767984494,181.25
1767984495,180.36
1767984496,180.81
1767984497,182.53
1767984498,185.74
1767984499,184.04
1767984500,182.00
1767984501,178.33
1767984502,181.97
1767984503,174.63
1767984504,171.45
1767984505,178.44
1767984506,177.91
1767984508,173.40
1767984509,180.59
1767984510,183.27
1767984511,182.77
1767984512,174.82
1767984513,173.58
1767984514,173.57
1767984515,178.30
1767984516,178.40
1767984517,177.83
1767984518,175.33
1767984519,182.01
1767984520,184.90
1767984521,177.43
1767984522,175.31
1767984523,174.70
1767984524,174.75
1767984525,174.81
1767984526,174.47
1767984527,176.91
1767984528,178.04
1767984529,176.27
1767984530,174.78
1767984531,173.38
1767984532,173.51
1767984533,172.24
1767984534,172.93
1767984535,175.20
1767984536,173.07
1767984537,173.53
1767984538,174.97
1767984539,177.84
1767984540,182.02
1767984541,174.79
1767984543,174.20
1767984544,173.75
1767984545,178.23
1767984546,173.81
1767984547,176.38
1767984548,179.55
1767984549,178.05
1767984550,182.62
1767984551,181.04
1767984552,176.13
1767984553,175.04
1767984554,175.12
1767984555,175.20
1767984556,176.82
1767984557,177.95
1767984558,177.14
1767984559,178.78
1767984560,185.35
1767984561,180.18
1767984562,174.37
1767984563,178.44
1767984564,176.52
1767984565,175.82
1767984566,178.65
1767984567,182.91
1767984568,182.26
1767984569,183.48
1767984570,182.90
1767984571,180.28
1767984572,177.65
1767984573,179.00
1767984574,169.43
1767984575,174.77
1767984576,173.49
1767984577,173.44
1767984579,173.15
1767984580,177.27
1767984581,183.86
1767984582,176.98
1767984583,173.32
1767984584,176.40
1767984585,177.24
1767984586,177.74
1767984587,180.17
1767984588,179.08
1767984589,173.86
1767984590,173.65
1767984591,174.49
1767984592,179.05
1767984593,181.71
1767984594,180.11
1767984595,179.46
1767984596,179.83
1767984597,175.49
1767984598,171.88
1767984599,174.04
1767984600,182.64
1767984601,183.66
1767984602,174.83
1767984603,175.07
1767984604,178.55
1767984605,177.11
1767984606,177.58
1767984607,176.02
1767984608,177.51
1767984609,172.20
1767984610,175.80
1767984611,179.16
1767984612,179.12
1767984613,179.87
1767984615,179.57
1767984616,176.08
1767984617,177.10
1767984618,174.04
1767984619,174.41
1767984620,176.57
1767984621,185.00
1767984622,180.25
1767984623,177.40
1767984624,178.19
1767984625,181.80
1767984626,170.12
1767984627,170.43
1767984628,175.35
1767984629,178.05
1767984630,176.79
1767984631,172.42
1767984632,175.08
1767984633,176.03
1767984634,177.77
1767984635,177.53
1767984636,176.25
1767984637,173.03
1767984638,174.40
1767984639,176.00
1767984640,180.73
1767984641,182.80
1767984642,178.46
1767984643,171.01
1767984644,179.40
1767984645,171.25
1767984646,177.54
1767984647,174.72
1767984648,177.80
1767984650,177.91
1767984651,174.73
1767984652,173.49
1767984653,175.43
1767984654,173.54
1767984655,175.35
1767984656,176.18
1767984657,179.15
1767984658,175.94
1767984659,174.38
1767984660,177.56
1767984661,183.91
1767984662,183.99
1767984663,179.25
1767984664,180.12
1767984665,178.74
1767984666,179.12
1767984667,174.76
1767984668,176.33
1767984669,179.06
1767984670,177.30
1767984671,176.57
1767984672,177.29
1767984673,176.98
1767984674,180.36
1767984675,182.74
1767984676,179.44
1767984677,179.24
1767984678,176.48
1767984679,174.46
1767984680,173.39
1767984681,182.97
1767984682,183.75
