timestamp,gpu_util_percent,memory_util_percent
1767986104,51,24
1767986105,41,19
1767986106,50,23
1767986107,49,23
1767986108,32,11
1767986109,39,19
1767986110,39,18
1767986111,40,19
1767986112,39,18
1767986113,39,19
1767986114,38,18
1767986115,38,18
1767986116,41,19
1767986117,40,19
1767986118,40,19
1767986119,39,19
1767986120,38,18
1767986121,39,18
1767986122,39,18
1767986123,40,18
1767986124,40,18
1767986125,40,18
1767986126,40,19
1767986127,39,18
1767986128,43,20
1767986130,38,17
1767986131,38,18
1767986132,38,18
1767986133,49,23
1767986134,46,21
1767986135,38,18
1767986136,38,18
1767986137,40,19
1767986138,39,18
1767986139,40,19
1767986140,38,18
1767986141,41,19
1767986142,43,20
1767986143,40,19
1767986144,41,19
1767986145,37,17
1767986146,43,20
1767986147,26,12
1767986148,40,19
1767986149,39,18
1767986150,40,18
1767986151,39,18
1767986152,41,20
1767986153,38,17
1767986154,46,21
1767986155,39,18
1767986156,43,20
1767986157,38,17
1767986158,39,19
1767986159,50,24
1767986160,50,23
1767986161,42,20
1767986163,48,23
1767986164,39,18
1767986165,42,20
1767986166,42,20
1767986167,42,19
1767986168,43,20
1767986169,38,18
1767986170,40,19
1767986171,38,18
1767986172,40,19
1767986173,39,19
1767986174,39,19
1767986175,41,19
1767986176,39,19
1767986177,39,19
1767986178,40,19
1767986179,39,19
1767986180,39,19
1767986181,49,23
1767986182,39,19
1767986183,39,18
1767986184,24,10
1767986185,43,20
1767986186,49,24
1767986187,49,23
1767986188,38,18
1767986189,37,17
1767986190,42,20
1767986191,37,18
1767986192,42,20
1767986193,39,19
1767986194,39,18
1767986195,37,17
1767986197,39,18
1767986198,40,19
1767986199,39,18
1767986200,39,19
1767986201,36,17
1767986202,39,18
1767986203,43,21
1767986204,39,18
1767986205,38,18
1767986206,39,18
1767986207,38,18
1767986208,39,18
1767986209,41,19
1767986210,40,19
1767986211,39,18
1767986212,39,18
1767986213,40,18
1767986214,49,23
1767986215,38,18
1767986216,41,19
1767986217,39,18
1767986218,49,23
1767986219,38,17
1767986220,48,23
1767986221,38,18
1767986222,30,11
1767986223,38,18
1767986224,38,18
1767986225,38,18
1767986226,38,18
1767986227,35,17
1767986228,49,23
1767986229,43,20
1767986231,42,20
1767986232,40,19
1767986233,43,20
1767986234,39,18
1767986235,39,18
1767986236,40,19
1767986237,42,20
1767986238,38,19
1767986239,42,20
1767986240,39,18
1767986241,49,23
1767986242,49,23
1767986243,41,19
1767986244,39,18
1767986245,39,19
1767986246,39,18
1767986247,38,18
1767986248,40,19
1767986249,42,19
1767986250,40,19
1767986251,38,18
1767986252,41,19
1767986253,38,18
1767986254,38,18
1767986255,38,18
1767986256,43,21
1767986257,39,18
1767986258,37,17
1767986259,49,23
1767986260,29,12
1767986261,39,18
1767986262,39,18
1767986263,39,19
1767986265,37,18
1767986266,41,19
1767986267,39,19
1767986268,49,23
1767986269,41,19
