timestamp,gpu_util_percent,memory_util_percent
1767757208,0,0
1767757210,0,0
1767757212,3,0
1767757213,1,0
1767757214,62,31
1767757215,63,31
1767757216,62,30
1767757217,62,30
1767757218,63,31
1767757219,63,32
1767757220,63,32
1767757221,63,31
1767757222,63,31
1767757223,62,31
1767757224,64,31
1767757225,64,31
1767757226,63,32
1767757227,63,32
1767757228,63,32
1767757229,62,31
1767757230,40,18
1767757231,62,31
1767757232,64,32
1767757233,43,22
1767757234,62,31
1767757235,62,31
1767757236,63,31
1767757237,62,31
1767757238,39,14
1767757239,64,31
1767757240,64,32
1767757241,63,32
1767757242,62,31
1767757243,64,31
1767757244,64,31
1767757245,63,31
1767757246,31,11
1767757247,63,32
1767757248,63,31
1767757249,62,31
1767757251,62,31
1767757252,62,31
1767757253,62,31
1767757254,63,31
1767757255,40,14
1767757256,63,31
1767757257,64,32
1767757258,64,31
1767757259,64,31
1767757260,63,31
1767757261,62,31
1767757262,62,31
1767757263,29,12
1767757264,0,0
