timestamp,power_draw_w
1767757268,73.98
1767757270,73.69
1767757272,81.54
1767757273,123.45
1767757274,195.98
1767757275,196.33
1767757276,196.97
1767757277,197.24
1767757278,197.46
1767757279,198.33
1767757280,184.72
1767757281,180.05
1767757282,198.80
1767757283,199.02
1767757284,199.59
1767757285,199.41
1767757286,200.05
1767757287,200.12
1767757288,188.16
1767757289,192.79
1767757290,201.95
1767757291,203.92
1767757292,204.43
1767757293,204.42
1767757294,204.97
1767757295,205.36
1767757296,185.70
1767757297,205.10
1767757299,192.83
1767757300,201.18
1767757301,204.73
1767757302,206.45
1767757303,207.08
1767757304,206.40
1767757305,186.53
1767757306,206.10
1767757307,206.26
1767757308,206.42
1767757309,206.75
1767757310,206.56
1767757311,207.23
1767757312,207.58
1767757313,187.63
1767757314,207.41
1767757315,207.62
1767757316,207.67
1767757317,207.87
1767757318,207.36
1767757319,207.30
1767757320,205.11
1767757321,190.53
1767757322,208.48
1767757323,208.25
1767757324,207.79
1767757325,205.98
1767757326,208.15
1767757327,209.02
1767757328,197.06
1767757329,199.23
1767757330,209.52
1767757331,205.31
1767757332,209.27
1767757333,209.52
1767757334,209.51
1767757335,209.31
1767757336,189.88
1767757338,204.25
1767757339,209.21
1767757340,210.49
1767757341,210.05
1767757342,210.54
1767757343,210.36
1767757344,210.84
1767757345,162.99
