timestamp,power_draw_w
1767988617,96.24
1767988618,89.85
1767988619,90.04
1767988620,95.99
1767988621,136.59
1767988622,202.74
1767988623,204.06
1767988624,204.51
1767988625,204.96
1767988626,205.54
1767988627,205.70
1767988628,203.57
1767988629,197.52
1767988630,204.66
1767988631,203.96
1767988632,195.55
1767988633,189.11
1767988634,202.85
1767988635,211.59
1767988636,208.69
1767988637,211.28
1767988638,211.19
1767988639,212.01
1767988640,210.69
1767988641,210.41
1767988642,210.54
1767988643,210.60
1767988644,211.49
1767988645,207.83
1767988646,188.26
1767988647,208.51
1767988648,213.62
1767988649,211.15
1767988650,210.77
1767988651,212.20
1767988652,212.47
1767988653,214.83
1767988654,214.63
1767988656,213.90
1767988657,212.67
1767988658,212.59
1767988659,205.59
1767988660,195.94
1767988661,202.06
1767988662,210.76
1767988663,213.04
1767988664,212.73
1767988665,215.85
1767988666,210.46
1767988667,214.47
1767988668,214.78
1767988669,215.51
1767988670,215.28
1767988671,215.75
1767988672,205.02
1767988673,209.89
1767988674,205.49
1767988675,204.81
1767988676,213.39
1767988677,215.12
1767988678,216.34
1767988679,216.38
1767988680,216.44
1767988681,213.02
1767988682,212.56
1767988683,212.70
1767988684,212.93
1767988685,200.51
1767988686,215.00
1767988687,215.54
1767988688,206.88
1767988689,205.94
1767988690,214.37
1767988691,214.63
1767988692,214.07
1767988694,213.31
1767988695,214.67
1767988696,215.45
1767988697,215.97
1767988698,215.26
1767988699,202.63
1767988700,214.72
1767988701,215.96
1767988702,216.10
1767988703,206.96
1767988704,207.08
1767988705,218.66
1767988706,217.64
1767988707,218.66
1767988708,218.40
1767988709,218.25
1767988710,218.29
1767988711,203.90
1767988712,210.80
1767988713,214.39
1767988714,214.85
1767988715,215.78
1767988716,213.20
1767988717,204.42
1767988718,206.75
1767988719,213.46
1767988720,214.60
1767988721,214.63
1767988722,216.30
1767988723,216.21
1767988724,201.82
1767988725,216.86
1767988726,214.43
1767988727,216.32
1767988728,216.00
1767988729,216.17
1767988730,212.62
1767988731,204.76
1767988733,211.00
1767988734,216.72
1767988735,216.22
1767988736,216.35
1767988737,204.48
