timestamp,gpu_util_percent,memory_util_percent
1767990861,2,1
1767990862,2,1
1767990863,13,7
1767990864,14,7
1767990865,77,31
1767990866,76,31
1767990867,76,31
1767990868,77,31
1767990869,78,32
1767990870,77,31
1767990871,77,32
1767990872,77,32
1767990873,78,31
1767990874,77,31
1767990875,57,26
1767990876,57,26
1767990877,75,30
1767990878,77,31
1767990879,75,31
1767990880,77,31
1767990881,76,31
1767990882,76,31
1767990884,77,30
1767990885,75,31
1767990886,76,31
1767990887,77,32
1767990888,78,32
1767990889,78,32
1767990890,59,27
1767990891,68,29
1767990892,78,32
1767990893,77,32
1767990894,77,32
1767990895,79,32
1767990896,78,32
1767990897,77,32
1767990898,78,32
1767990899,78,32
1767990900,79,32
1767990901,77,32
1767990902,77,32
1767990903,39,16
1767990904,59,26
1767990905,78,32
1767990906,77,31
1767990907,77,31
1767990908,78,32
1767990909,69,28
1767990910,77,32
1767990911,77,32
1767990912,77,32
1767990913,77,31
1767990914,77,32
1767990915,77,32
1767990916,77,32
1767990917,58,27
1767990918,59,27
1767990919,77,31
1767990920,78,32
1767990921,77,32
1767990923,63,26
1767990924,77,31
1767990925,78,32
1767990926,77,31
1767990927,77,31
1767990928,76,31
1767990929,76,31
1767990930,76,30
1767990931,78,32
1767990932,58,27
1767990933,58,27
1767990934,77,32
1767990935,76,32
1767990936,78,32
1767990937,78,32
1767990938,78,32
1767990939,78,32
1767990940,77,32
1767990941,77,32
1767990942,77,31
1767990943,77,32
1767990944,77,32
1767990945,77,32
1767990946,58,27
1767990947,76,31
1767990948,77,32
1767990949,77,32
1767990950,77,31
1767990951,76,32
1767990952,77,32
1767990953,77,31
1767990954,77,31
1767990955,77,32
1767990956,78,32
1767990957,78,32
1767990958,77,32
1767990959,59,27
1767990960,38,15
1767990962,76,31
1767990963,77,31
1767990964,76,31
1767990965,76,31
1767990966,75,31
1767990967,76,31
1767990968,77,32
1767990969,77,32
1767990970,78,32
1767990971,76,30
1767990972,75,31
1767990973,76,30
1767990974,54,24
1767990975,56,26
1767990976,75,30
1767990977,75,31
1767990978,74,30
1767990979,73,30
1767990980,56,21
1767990981,75,31
1767990982,76,31
1767990983,76,31
1767990984,78,31
1767990985,76,31
1767990986,76,31
1767990987,75,30
1767990988,58,27
1767990989,57,26
1767990990,78,32
1767990991,76,31
1767990992,76,31
1767990993,76,31
1767990994,76,31
1767990995,76,31
1767990996,76,31
1767990997,76,31
1767990998,75,31
1767990999,48,18
1767991001,74,30
1767991002,77,31
1767991003,68,28
1767991004,58,27
1767991005,76,31
1767991006,78,32
1767991007,78,32
1767991008,78,31
1767991009,77,31
1767991010,75,31
1767991011,76,30
1767991012,78,31
1767991013,77,31
1767991014,75,30
1767991015,73,29
1767991016,75,30
1767991017,65,27
1767991018,57,26
1767991019,21,9
