timestamp,power_draw_w
1768004723,91.46
1768004724,90.42
1768004726,97.22
1768004727,97.73
1768004728,97.50
1768004729,111.91
1768004730,229.07
1768004731,235.33
1768004732,235.88
1768004733,230.79
1768004734,231.97
1768004735,173.83
1768004736,239.57
1768004737,245.46
1768004738,246.12
1768004739,240.17
1768004740,210.91
1768004741,203.89
1768004742,242.65
1768004743,244.81
1768004744,246.70
1768004745,248.83
1768004746,212.86
1768004747,216.26
1768004748,243.53
1768004749,253.42
1768004750,253.46
1768004751,257.02
1768004752,203.89
1768004753,225.69
1768004754,252.25
1768004755,248.82
1768004756,242.74
1768004757,247.78
1768004758,189.75
1768004759,244.96
1768004760,256.92
1768004761,245.35
1768004762,255.49
1768004763,256.29
1768004765,185.02
1768004766,241.62
1768004767,255.21
1768004768,256.18
1768004769,255.46
1768004770,235.34
1768004771,196.87
1768004772,257.78
1768004773,257.94
1768004774,254.35
1768004775,260.62
1768004776,228.86
1768004777,212.33
1768004778,257.56
1768004779,257.24
1768004780,251.88
1768004781,248.97
1768004782,216.18
1768004783,221.84
1768004784,253.90
1768004785,248.20
1768004786,244.16
1768004787,250.51
1768004788,200.66
1768004789,244.35
1768004790,250.22
1768004791,248.08
1768004792,252.03
1768004793,248.16
1768004794,191.04
1768004795,252.28
1768004796,252.82
1768004797,251.40
1768004798,253.60
1768004799,233.86
1768004800,207.49
1768004801,253.72
1768004802,244.84
1768004804,251.96
1768004805,255.12
1768004806,230.04
1768004807,226.56
1768004808,258.79
1768004809,252.09
1768004810,254.43
1768004811,254.83
1768004812,223.37
1768004813,227.81
1768004814,261.54
1768004815,257.37
1768004816,251.02
1768004817,239.81
1768004818,222.38
1768004819,231.59
1768004820,261.04
1768004821,260.51
1768004822,259.67
1768004823,262.15
1768004824,203.17
1768004825,254.64
1768004826,262.53
1768004827,258.38
1768004828,257.21
1768004829,243.28
1768004830,207.01
1768004831,255.29
1768004832,258.56
1768004833,257.80
1768004834,263.48
1768004835,225.48
1768004836,220.98
1768004837,259.72
1768004838,259.78
1768004839,257.48
1768004841,259.17
1768004842,215.52
1768004843,235.49
1768004844,255.77
1768004845,251.23
1768004846,259.66
1768004847,257.27
1768004848,211.06
1768004849,229.23
1768004850,262.96
1768004851,257.74
1768004852,258.50
1768004853,256.93
1768004854,196.63
1768004855,245.21
1768004856,259.88
1768004857,257.98
1768004858,258.91
1768004859,257.24
1768004860,199.37
1768004861,262.06
1768004862,258.84
1768004863,256.63
1768004864,253.41
1768004865,226.46
1768004866,221.68
1768004867,260.97
1768004868,256.02
1768004869,258.06
1768004870,260.35
1768004871,222.50
1768004872,240.00
1768004873,253.98
1768004874,259.99
1768004875,254.06
1768004876,258.14
1768004877,204.92
1768004878,232.90
1768004880,252.70
1768004881,258.03
1768004882,256.10
1768004883,259.68
1768004884,203.42
1768004885,258.58
1768004886,258.68
1768004887,258.74
1768004888,257.16
1768004889,237.95
1768004890,204.03
1768004891,257.69
1768004892,257.00
1768004893,254.51
1768004894,252.01
1768004895,223.65
1768004896,225.90
1768004897,256.95
1768004898,258.67
1768004899,256.44
1768004900,247.80
1768004901,222.99
1768004902,225.37
1768004903,258.23
1768004904,256.98
1768004905,244.17
1768004906,249.34
1768004907,217.06
1768004908,230.57
1768004909,257.36
1768004910,250.29
1768004911,250.05
1768004912,247.45
1768004913,187.37
1768004914,246.99
1768004915,251.99
1768004916,253.46
1768004917,253.98
1768004919,227.75
1768004920,228.05
1768004921,260.20
1768004922,262.82
1768004923,254.21
1768004924,250.44
1768004925,222.68
1768004926,233.18
1768004927,258.22
1768004928,257.39
1768004929,254.93
1768004930,257.14
1768004931,196.06
1768004932,243.91
1768004933,250.48
1768004934,258.45
1768004935,252.77
1768004936,241.72
1768004937,197.49
1768004938,259.00
1768004939,258.93
1768004940,257.50
1768004941,257.03
1768004942,232.79
1768004943,217.90
1768004944,258.86
1768004945,255.75
1768004946,253.30
1768004947,251.51
1768004948,214.34
1768004949,237.05
1768004950,255.81
1768004951,257.39
1768004952,255.58
1768004953,254.58
1768004954,199.25
1768004955,238.54
1768004956,248.16
1768004958,256.40
1768004959,257.76
1768004960,257.71
1768004961,200.77
1768004962,253.73
1768004963,249.40
1768004964,254.36
1768004965,256.18
1768004966,232.38
1768004967,221.19
1768004968,255.43
1768004969,253.34
1768004970,257.30
1768004971,254.94
1768004972,220.40
1768004973,224.59
1768004974,255.28
1768004975,258.36
1768004976,253.01
1768004977,252.63
1768004978,205.79
1768004979,240.50
1768004980,254.39
1768004981,252.63
1768004982,254.68
1768004983,251.32
1768004984,198.53
1768004985,247.72
1768004986,255.76
1768004987,252.82
1768004988,253.35
1768004989,246.40
1768004990,200.27
1768004991,256.21
1768004992,254.14
1768004993,249.35
1768004994,250.85
1768004996,231.07
1768004997,217.97
1768004998,250.12
1768004999,257.55
1768005000,258.67
1768005001,253.65
1768005002,220.79
1768005003,227.94
1768005004,250.87
1768005005,253.39
1768005006,252.21
1768005007,256.82
1768005008,212.67
1768005009,233.10
1768005010,249.87
1768005011,254.64
1768005012,255.28
1768005013,249.08
1768005014,195.40
1768005015,249.17
1768005016,251.64
1768005017,255.78
1768005018,254.74
1768005019,239.19
1768005020,209.21
1768005021,256.62
1768005022,252.11
1768005023,254.03
1768005024,236.04
1768005025,233.78
1768005026,206.49
1768005027,258.29
1768005028,255.71
1768005029,251.87
1768005030,252.85
1768005031,224.58
1768005032,212.26
1768005034,247.84
1768005035,252.93
1768005036,254.61
1768005037,255.32
1768005038,227.04
1768005039,213.61
1768005040,243.73
1768005041,253.89
1768005042,257.24
1768005043,252.30
1768005044,217.75
1768005045,228.71
1768005046,247.19
1768005047,253.42
1768005048,253.75
1768005049,253.03
1768005050,216.09
1768005051,240.70
1768005052,256.20
1768005053,250.13
1768005054,252.33
1768005055,234.29
1768005056,194.36
1768005057,257.72
1768005058,251.67
1768005059,250.31
1768005060,252.18
1768005061,237.68
1768005062,215.01
1768005063,255.13
1768005064,251.03
1768005065,251.58
1768005066,252.24
1768005067,219.90
1768005068,226.77
1768005069,249.93
1768005070,252.12
1768005072,248.71
1768005073,250.13
1768005074,195.24
1768005075,251.09
1768005076,253.39
1768005077,254.39
1768005078,254.33
1768005079,240.96
1768005080,195.69
1768005081,254.43
1768005082,254.92
1768005083,250.30
1768005084,250.10
1768005085,227.41
1768005086,213.96
1768005087,249.35
1768005088,249.15
1768005089,250.78
1768005090,251.94
1768005091,223.34
1768005092,221.61
1768005093,247.27
1768005094,248.56
1768005095,246.34
1768005096,253.61
1768005097,215.68
1768005098,225.73
1768005099,248.36
1768005100,252.69
1768005101,247.34
1768005102,243.84
1768005103,212.10
1768005104,238.31
1768005105,248.80
1768005106,251.12
1768005107,252.63
1768005108,251.27
1768005109,196.01
1768005111,246.45
1768005112,250.34
1768005113,251.48
1768005114,249.69
1768005115,248.95
1768005116,199.50
1768005117,251.29
1768005118,250.66
1768005119,248.30
1768005120,250.36
1768005121,228.62
1768005122,217.23
1768005123,252.65
1768005124,249.16
1768005125,250.11
1768005126,253.81
1768005127,219.68
1768005128,222.80
1768005129,251.99
1768005130,251.45
1768005131,252.51
1768005132,245.88
1768005133,211.88
1768005134,227.60
1768005135,246.19
1768005136,240.71
1768005137,242.70
1768005138,227.10
1768005139,208.75
1768005140,251.73
1768005141,255.62
1768005142,257.08
1768005143,251.30
1768005144,219.24
1768005145,220.15
1768005147,253.14
1768005148,252.19
1768005149,249.48
1768005150,249.82
