timestamp,gpu_util_percent,memory_util_percent
1768007018,2,1
1768007019,0,0
1768007020,13,6
1768007021,15,7
1768007022,13,7
1768007023,86,42
1768007024,79,41
1768007025,84,43
1768007026,83,43
1768007027,84,44
1768007028,50,26
1768007029,51,26
1768007030,86,44
1768007031,78,39
1768007032,81,42
1768007033,71,40
1768007034,32,18
1768007035,72,37
1768007036,70,35
1768007037,84,44
1768007038,86,44
1768007039,85,44
1768007040,46,23
1768007041,78,39
1768007042,82,43
1768007043,82,41
1768007044,86,44
1768007045,85,44
1768007046,45,22
1768007047,86,44
1768007048,72,41
1768007049,70,40
1768007050,82,42
1768007051,83,42
1768007052,43,21
1768007053,84,43
1768007054,77,40
1768007055,85,44
1768007057,86,44
1768007058,86,44
1768007059,21,11
1768007060,83,43
1768007061,84,43
1768007062,82,42
1768007063,80,41
1768007064,25,14
1768007065,72,39
1768007066,87,45
1768007067,84,43
1768007068,86,44
1768007069,86,44
1768007070,42,21
1768007071,82,42
1768007072,83,43
1768007073,83,43
1768007074,85,44
1768007075,85,44
1768007076,25,12
1768007077,86,44
1768007078,84,44
1768007079,71,40
1768007080,71,40
1768007081,41,21
1768007082,64,33
1768007083,84,43
1768007084,86,44
1768007085,85,44
1768007086,87,44
1768007087,40,18
1768007088,81,41
1768007089,84,43
1768007090,74,37
1768007091,84,43
1768007092,87,44
1768007093,43,21
1768007094,65,37
1768007096,72,40
1768007097,83,42
1768007098,87,44
1768007099,69,35
1768007100,48,23
1768007101,88,44
1768007102,85,43
1768007103,86,44
1768007104,86,43
1768007105,84,43
1768007106,45,22
1768007107,85,43
1768007108,84,43
1768007109,83,42
1768007110,66,37
1768007111,63,36
1768007112,34,17
1768007113,85,44
1768007114,81,42
1768007115,82,41
1768007116,85,43
1768007117,28,13
1768007118,84,43
1768007119,85,43
1768007120,86,44
1768007121,85,42
1768007122,86,44
1768007123,48,23
1768007124,85,43
1768007125,72,41
1768007126,70,40
1768007127,82,42
1768007128,83,43
1768007129,43,20
1768007130,86,44
1768007131,75,38
1768007132,83,42
1768007134,87,44
1768007135,82,42
1768007136,42,21
1768007137,85,43
1768007138,86,44
1768007139,86,44
1768007140,88,44
1768007141,71,40
1768007142,35,20
1768007143,83,42
1768007144,76,39
1768007145,80,41
1768007146,85,44
1768007147,36,18
1768007148,75,37
1768007149,86,44
1768007150,81,42
1768007151,79,41
1768007152,87,44
1768007153,46,22
1768007154,77,39
1768007155,83,41
1768007156,75,42
1768007157,73,41
1768007158,82,41
1768007159,44,21
1768007160,85,44
1768007161,86,44
1768007162,85,44
1768007163,84,43
1768007164,84,43
1768007165,44,22
1768007166,84,42
1768007167,86,43
1768007168,86,44
1768007169,83,43
1768007170,85,44
1768007171,10,6
1768007173,71,40
1768007174,83,42
1768007175,86,44
1768007176,87,44
1768007177,33,17
1768007178,87,44
1768007179,85,44
1768007180,85,44
1768007181,83,43
1768007182,83,42
1768007183,40,20
1768007184,83,42
1768007185,85,44
1768007186,86,44
1768007187,54,30
1768007188,73,41
1768007189,45,22
1768007190,81,41
1768007191,80,41
1768007192,81,41
1768007193,84,43
1768007194,86,44
1768007195,31,15
1768007196,83,42
1768007197,86,44
1768007198,87,44
1768007199,81,42
1768007200,67,34
1768007201,57,29
1768007202,85,43
1768007203,71,40
1768007204,70,39
1768007205,64,36
1768007206,31,17
1768007207,68,38
1768007208,69,38
1768007209,67,38
1768007210,68,37
1768007211,86,44
1768007213,29,14
1768007214,85,43
1768007215,85,43
1768007216,85,43
1768007217,86,44
1768007218,24,12
1768007219,77,38
1768007220,85,44
1768007221,84,43
1768007222,82,42
1768007223,85,44
1768007224,44,22
1768007225,73,41
1768007226,71,40
1768007227,87,43
1768007228,78,39
1768007229,81,41
1768007230,43,21
1768007231,85,44
1768007232,85,44
1768007233,83,42
1768007234,86,44
1768007235,78,39
1768007236,43,21
1768007237,87,44
1768007238,84,43
1768007239,80,41
1768007240,71,40
1768007241,68,38
1768007242,24,12
1768007243,87,44
1768007244,80,41
1768007245,82,42
1768007246,78,38
1768007247,85,43
1768007248,23,11
1768007249,84,42
1768007251,84,43
1768007252,78,40
1768007253,83,41
1768007254,57,29
1768007255,43,21
1768007256,70,39
1768007257,72,41
1768007258,87,44
1768007259,88,45
1768007260,36,16
1768007261,85,44
1768007262,85,43
1768007263,85,44
1768007264,85,44
1768007265,85,44
1768007266,44,22
1768007267,87,44
1768007268,82,42
1768007269,87,44
1768007270,85,44
1768007271,67,38
1768007272,30,17
1768007273,83,42
1768007274,86,44
1768007275,85,43
1768007276,85,43
1768007277,84,43
1768007278,25,12
1768007279,85,43
1768007280,86,44
1768007281,83,42
1768007282,84,42
1768007283,39,20
1768007284,83,43
1768007285,83,42
1768007286,70,39
1768007287,68,38
1768007288,82,42
1768007290,33,17
1768007291,83,43
1768007292,84,42
1768007293,83,42
1768007294,86,44
1768007295,82,42
1768007296,46,22
1768007297,81,41
1768007298,86,44
1768007299,87,44
1768007300,81,41
1768007301,78,39
1768007302,22,12
1768007303,67,38
1768007304,78,40
1768007305,82,42
1768007306,79,40
1768007307,86,43
1768007308,37,18
1768007309,85,43
1768007310,86,44
1768007311,78,39
1768007312,85,44
1768007313,85,44
1768007314,76,38
1768007315,85,44
1768007316,86,44
1768007317,74,42
1768007318,67,38
1768007319,40,18
1768007320,79,38
1768007321,81,41
1768007322,87,44
1768007323,79,40
1768007324,85,43
1768007325,46,22
1768007326,83,43
1768007327,81,41
1768007329,78,39
1768007330,84,42
1768007331,82,42
1768007332,45,22
1768007333,70,39
1768007334,70,39
1768007335,87,44
1768007336,83,43
1768007337,82,42
1768007338,37,18
1768007339,87,44
1768007340,83,42
1768007341,86,44
1768007342,87,44
1768007343,88,44
1768007344,29,14
1768007345,83,42
1768007346,86,44
1768007347,80,40
1768007348,73,41
1768007349,38,21
1768007350,75,38
1768007351,86,44
1768007352,81,42
1768007353,86,44
1768007354,85,43
1768007355,44,21
1768007356,87,44
1768007357,82,41
1768007358,86,44
1768007359,84,43
1768007360,85,44
1768007361,43,21
1768007362,85,43
1768007363,72,41
1768007365,66,37
1768007366,86,43
1768007367,86,44
1768007368,26,12
1768007369,82,42
1768007370,85,44
1768007371,81,41
1768007372,85,43
1768007373,85,43
1768007374,36,18
1768007375,73,37
1768007376,84,42
1768007377,85,43
1768007378,87,44
1768007379,74,41
1768007380,37,21
1768007381,82,42
1768007382,83,42
1768007383,82,41
1768007384,83,42
1768007385,49,25
1768007386,50,24
1768007387,85,44
1768007388,87,44
1768007389,85,44
1768007390,81,42
1768007391,32,16
1768007392,83,42
1768007393,88,43
1768007394,71,40
1768007395,72,40
1768007396,86,43
1768007397,44,22
1768007398,75,38
1768007399,85,43
1768007400,84,42
1768007401,85,43
1768007402,87,44
1768007404,44,21
1768007405,87,44
1768007406,85,44
1768007407,83,42
1768007408,86,44
1768007409,81,41
1768007410,22,13
1768007411,72,41
1768007412,85,42
1768007413,86,43
1768007414,86,44
1768007415,53,27
1768007416,70,34
1768007417,85,43
1768007418,81,41
1768007419,86,43
1768007420,86,44
1768007421,35,17
1768007422,80,41
1768007423,87,44
1768007424,83,42
1768007425,74,41
1768007426,70,39
1768007427,29,16
1768007428,69,39
1768007429,70,39
1768007430,66,37
1768007431,69,39
1768007432,67,37
1768007433,79,41
1768007434,83,43
1768007435,86,44
1768007436,86,43
1768007437,81,41
1768007438,32,16
1768007439,79,41
1768007440,85,44
1768007442,82,41
1768007443,77,38
1768007444,74,37
1768007445,39,20
1768007446,49,25
1768007447,71,40
1768007448,60,34
1768007449,82,41
1768007450,87,44
1768007451,44,21
1768007452,86,44
1768007453,85,42
1768007454,85,43
1768007455,86,43
1768007456,87,43
1768007457,42,19
1768007458,78,39
1768007459,75,38
1768007460,85,43
1768007461,87,44
1768007462,75,42
1768007463,31,18
1768007464,81,41
1768007465,85,43
1768007466,86,43
1768007467,83,42
1768007468,84,42
1768007469,43,21
1768007470,80,40
1768007471,85,43
1768007472,81,41
1768007473,83,42
1768007474,84,42
1768007475,20,10
1768007476,85,44
1768007477,67,38
1768007478,70,40
1768007479,85,42
1768007481,37,19
1768007482,81,41
1768007483,84,42
1768007484,85,43
1768007485,86,44
1768007486,82,41
1768007487,61,30
1768007488,85,43
1768007489,82,42
1768007490,85,43
1768007491,84,43
1768007492,84,43
1768007493,19,10
1768007494,71,40
1768007495,84,43
1768007496,86,43
1768007497,86,43
1768007498,84,43
1768007499,43,22
1768007500,77,38
1768007501,83,43
1768007502,87,44
1768007503,87,44
1768007504,85,43
1768007505,31,15
1768007506,85,44
1768007507,80,40
1768007508,86,44
1768007509,70,39
1768007510,50,26
1768007511,49,25
1768007512,85,44
1768007513,83,41
1768007514,87,44
1768007515,84,43
1768007516,76,38
1768007517,85,44
1768007519,86,44
1768007520,80,40
1768007521,85,43
1768007522,87,44
1768007523,27,13
1768007524,76,39
1768007525,59,34
1768007526,87,44
1768007527,88,44
1768007528,84,42
1768007529,46,22
1768007530,83,42
1768007531,85,43
1768007532,84,43
1768007533,85,43
1768007534,86,44
1768007535,46,23
1768007536,84,43
1768007537,87,43
1768007538,87,44
1768007539,86,44
1768007540,73,41
1768007541,38,20
1768007542,87,45
1768007543,83,42
1768007544,87,44
1768007545,88,44
1768007546,23,12
1768007547,80,41
1768007548,85,43
1768007549,79,41
1768007550,82,41
1768007551,87,44
1768007552,42,21
1768007553,83,43
1768007554,85,43
1768007555,71,40
1768007556,77,40
1768007558,78,39
1768007559,47,23
1768007560,86,43
1768007561,86,43
1768007562,86,43
1768007563,79,40
1768007564,88,44
1768007565,12,6
1768007566,87,44
1768007567,84,43
1768007568,85,44
1768007569,84,43
1768007570,83,43
1768007571,72,41
1768007572,70,39
1768007573,80,40
1768007574,83,42
1768007575,85,43
1768007576,38,17
1768007577,84,43
1768007578,86,44
1768007579,79,40
1768007580,86,44
1768007581,87,44
1768007582,44,22
1768007583,86,44
1768007584,86,43
1768007585,82,42
1768007586,58,32
1768007587,71,39
1768007588,41,20
1768007589,86,43
1768007590,83,42
1768007591,85,43
1768007592,84,43
1768007593,84,43
1768007594,44,22
1768007596,86,43
1768007597,88,44
1768007598,86,44
1768007599,84,41
1768007600,83,43
1768007601,38,19
1768007602,73,40
1768007603,74,40
1768007604,86,44
1768007605,87,43
1768007606,35,17
1768007607,78,39
1768007608,88,44
1768007609,82,42
1768007610,82,41
1768007611,86,43
1768007612,46,22
1768007613,80,40
1768007614,80,41
1768007615,80,40
1768007616,85,43
1768007617,83,43
1768007618,33,18
1768007619,78,42
1768007620,83,42
1768007621,85,43
1768007622,85,43
1768007623,85,44
1768007624,43,20
1768007625,86,42
1768007626,85,42
1768007627,86,43
1768007628,80,41
1768007629,88,44
1768007630,43,21
1768007631,86,44
1768007632,86,44
1768007633,74,41
1768007635,71,40
1768007636,28,14
1768007637,85,44
1768007638,86,43
1768007639,83,41
1768007640,87,44
1768007641,85,44
1768007642,43,21
1768007643,86,44
1768007644,84,43
1768007645,86,43
1768007646,84,42
1768007647,83,42
1768007648,48,23
1768007649,71,40
1768007650,72,40
1768007651,72,39
1768007652,71,39
1768007653,35,19
1768007654,63,35
1768007655,69,38
1768007656,66,33
1768007657,88,44
1768007658,86,44
1768007659,45,22
1768007660,86,43
1768007661,81,41
1768007662,84,42
1768007663,81,41
1768007664,79,40
1768007665,42,21
1768007666,84,43
1768007667,85,43
1768007668,86,44
1768007669,85,43
1768007670,72,40
1768007671,21,11
1768007672,82,42
1768007674,85,44
1768007675,83,42
1768007676,79,41
1768007677,86,44
1768007678,21,11
1768007679,79,41
1768007680,87,44
1768007681,73,35
1768007682,85,43
1768007683,83,42
1768007684,35,18
1768007685,80,41
1768007686,72,40
1768007687,71,40
1768007688,87,44
1768007689,44,22
1768007690,80,41
1768007691,86,44
1768007692,86,44
1768007693,82,42
1768007694,82,42
1768007695,47,23
1768007696,82,42
1768007697,86,43
1768007698,82,42
1768007699,83,42
1768007700,85,43
1768007701,33,18
1768007702,72,37
1768007703,86,43
1768007704,86,43
1768007705,84,42
1768007706,87,44
1768007707,43,21
1768007708,86,42
1768007709,85,44
1768007710,86,44
1768007711,82,41
1768007713,82,42
1768007714,42,21
1768007715,85,43
1768007716,81,41
1768007717,71,40
1768007718,85,43
1768007719,42,21
1768007720,86,44
1768007721,82,41
1768007722,84,43
1768007723,85,43
1768007724,85,43
1768007725,43,20
1768007726,85,43
1768007727,80,41
1768007728,75,38
1768007729,86,43
1768007730,87,44
1768007731,47,23
1768007732,72,41
1768007733,84,43
1768007734,84,43
1768007735,85,43
1768007736,85,43
1768007737,33,16
1768007738,86,43
1768007739,83,41
1768007740,87,44
1768007741,87,44
1768007742,82,41
1768007743,13,7
1768007744,83,43
1768007745,83,43
1768007746,76,38
1768007747,71,40
1768007748,58,32
1768007749,17,9
1768007750,81,41
1768007752,82,41
1768007753,88,44
1768007754,87,44
1768007755,77,39
1768007756,46,23
1768007757,83,41
1768007758,84,42
1768007759,87,44
1768007760,86,43
1768007761,80,40
1768007762,80,41
1768007763,70,39
1768007764,71,41
1768007765,85,42
1768007766,86,43
1768007767,40,19
1768007768,85,42
1768007769,86,43
1768007770,86,43
1768007771,86,43
1768007772,83,41
1768007773,43,21
1768007774,81,41
1768007775,79,40
1768007776,86,43
1768007777,85,43
1768007778,71,40
1768007779,18,10
1768007780,80,40
1768007781,87,44
