timestamp,gpu_temp_c,memory_temp_c
1768010881,68,N/A
1768010882,68,N/A
1768010883,68,N/A
1768010884,68,N/A
1768010885,68,N/A
1768010886,72,N/A
1768010887,74,N/A
1768010888,75,N/A
1768010889,75,N/A
1768010890,76,N/A
1768010891,74,N/A
1768010892,76,N/A
1768010893,76,N/A
1768010894,77,N/A
1768010895,77,N/A
1768010896,77,N/A
1768010897,75,N/A
1768010898,78,N/A
1768010899,78,N/A
1768010900,79,N/A
1768010901,79,N/A
1768010902,79,N/A
1768010903,77,N/A
1768010904,79,N/A
1768010905,80,N/A
1768010906,80,N/A
1768010907,80,N/A
1768010908,80,N/A
1768010909,79,N/A
1768010910,79,N/A
1768010911,80,N/A
1768010912,81,N/A
1768010913,81,N/A
1768010914,79,N/A
1768010915,80,N/A
1768010917,81,N/A
1768010918,81,N/A
1768010919,82,N/A
1768010920,81,N/A
1768010921,80,N/A
1768010922,81,N/A
1768010923,82,N/A
1768010924,82,N/A
1768010925,82,N/A
1768010926,82,N/A
1768010927,79,N/A
1768010928,82,N/A
1768010929,82,N/A
1768010930,83,N/A
1768010931,82,N/A
1768010932,82,N/A
1768010933,80,N/A
1768010934,82,N/A
1768010935,83,N/A
1768010936,82,N/A
1768010937,83,N/A
1768010938,81,N/A
1768010939,82,N/A
1768010940,83,N/A
1768010941,82,N/A
1768010942,82,N/A
1768010943,83,N/A
1768010944,82,N/A
1768010945,83,N/A
1768010946,83,N/A
1768010947,83,N/A
1768010948,83,N/A
1768010949,83,N/A
1768010950,81,N/A
1768010951,82,N/A
1768010952,83,N/A
1768010953,83,N/A
1768010954,83,N/A
1768010956,83,N/A
1768010957,81,N/A
1768010958,82,N/A
1768010959,82,N/A
1768010960,83,N/A
1768010961,82,N/A
1768010962,82,N/A
1768010963,82,N/A
1768010964,82,N/A
1768010965,83,N/A
1768010966,83,N/A
1768010967,83,N/A
1768010968,81,N/A
1768010969,82,N/A
1768010970,82,N/A
1768010971,82,N/A
1768010972,82,N/A
1768010973,82,N/A
1768010974,81,N/A
1768010975,82,N/A
1768010976,82,N/A
1768010977,82,N/A
1768010978,82,N/A
1768010979,83,N/A
1768010980,81,N/A
1768010981,82,N/A
1768010982,82,N/A
1768010983,82,N/A
1768010984,83,N/A
1768010985,82,N/A
1768010986,81,N/A
1768010987,82,N/A
1768010988,82,N/A
1768010989,82,N/A
1768010990,83,N/A
1768010991,82,N/A
1768010992,80,N/A
1768010993,82,N/A
1768010995,82,N/A
1768010996,83,N/A
1768010997,82,N/A
1768010998,83,N/A
1768010999,81,N/A
1768011000,82,N/A
1768011001,83,N/A
1768011002,82,N/A
1768011003,82,N/A
1768011004,80,N/A
1768011005,82,N/A
1768011006,82,N/A
1768011007,82,N/A
1768011008,83,N/A
1768011009,82,N/A
1768011010,81,N/A
1768011011,82,N/A
1768011012,82,N/A
1768011013,82,N/A
1768011014,82,N/A
1768011015,83,N/A
1768011016,81,N/A
1768011017,82,N/A
1768011018,82,N/A
1768011019,82,N/A
1768011020,82,N/A
1768011021,83,N/A
1768011022,81,N/A
1768011023,83,N/A
1768011024,82,N/A
1768011025,82,N/A
1768011026,83,N/A
1768011027,82,N/A
1768011028,81,N/A
1768011029,82,N/A
1768011030,83,N/A
1768011031,83,N/A
1768011032,82,N/A
1768011034,83,N/A
1768011035,80,N/A
1768011036,82,N/A
1768011037,82,N/A
1768011038,82,N/A
1768011039,83,N/A
1768011040,82,N/A
1768011041,80,N/A
1768011042,82,N/A
1768011043,83,N/A
1768011044,82,N/A
1768011045,83,N/A
1768011046,81,N/A
1768011047,82,N/A
1768011048,82,N/A
1768011049,83,N/A
1768011050,82,N/A
1768011051,83,N/A
1768011052,81,N/A
1768011053,82,N/A
1768011054,83,N/A
1768011055,83,N/A
1768011056,82,N/A
1768011057,82,N/A
1768011058,81,N/A
1768011059,83,N/A
1768011060,83,N/A
1768011061,83,N/A
1768011062,83,N/A
1768011063,83,N/A
1768011064,81,N/A
1768011065,82,N/A
1768011066,83,N/A
1768011067,82,N/A
1768011068,82,N/A
1768011069,82,N/A
1768011071,79,N/A
1768011072,82,N/A
1768011073,83,N/A
1768011074,83,N/A
1768011075,83,N/A
1768011076,81,N/A
1768011077,83,N/A
1768011078,83,N/A
1768011079,82,N/A
1768011080,83,N/A
1768011081,82,N/A
1768011082,81,N/A
1768011083,83,N/A
1768011084,83,N/A
1768011085,83,N/A
1768011086,83,N/A
1768011087,83,N/A
1768011088,81,N/A
1768011089,83,N/A
1768011090,83,N/A
1768011091,83,N/A
1768011092,83,N/A
1768011093,81,N/A
1768011094,82,N/A
1768011095,83,N/A
1768011096,83,N/A
1768011097,83,N/A
1768011098,83,N/A
1768011099,81,N/A
1768011100,82,N/A
1768011101,82,N/A
1768011102,82,N/A
1768011103,82,N/A
1768011104,83,N/A
1768011105,81,N/A
1768011106,82,N/A
1768011107,82,N/A
1768011108,83,N/A
1768011110,83,N/A
1768011111,82,N/A
1768011112,81,N/A
1768011113,82,N/A
1768011114,83,N/A
1768011115,82,N/A
1768011116,82,N/A
1768011117,83,N/A
1768011118,81,N/A
1768011119,83,N/A
1768011120,83,N/A
1768011121,83,N/A
1768011122,82,N/A
1768011123,83,N/A
1768011124,80,N/A
1768011125,82,N/A
1768011126,82,N/A
1768011127,83,N/A
1768011128,83,N/A
1768011129,83,N/A
1768011130,81,N/A
1768011131,83,N/A
1768011132,83,N/A
1768011133,83,N/A
1768011134,83,N/A
1768011135,81,N/A
1768011136,82,N/A
1768011137,83,N/A
1768011138,83,N/A
1768011139,82,N/A
1768011140,82,N/A
1768011141,81,N/A
1768011142,83,N/A
1768011143,83,N/A
1768011144,83,N/A
1768011145,82,N/A
1768011146,83,N/A
1768011147,82,N/A
1768011149,83,N/A
1768011150,83,N/A
1768011151,82,N/A
1768011152,83,N/A
1768011153,82,N/A
1768011154,80,N/A
1768011155,81,N/A
1768011156,81,N/A
1768011157,83,N/A
1768011158,83,N/A
1768011159,81,N/A
1768011160,80,N/A
1768011161,81,N/A
1768011162,83,N/A
1768011163,83,N/A
1768011164,82,N/A
1768011165,81,N/A
1768011166,81,N/A
1768011167,83,N/A
1768011168,83,N/A
1768011169,81,N/A
1768011170,82,N/A
1768011171,83,N/A
1768011172,82,N/A
1768011173,83,N/A
1768011174,81,N/A
1768011175,81,N/A
1768011176,81,N/A
1768011177,81,N/A
1768011178,80,N/A
1768011179,82,N/A
1768011180,82,N/A
1768011181,81,N/A
1768011182,82,N/A
1768011183,81,N/A
1768011184,82,N/A
1768011185,82,N/A
1768011186,82,N/A
1768011188,82,N/A
1768011189,82,N/A
1768011190,81,N/A
1768011191,81,N/A
1768011192,82,N/A
1768011193,82,N/A
1768011194,82,N/A
1768011195,82,N/A
1768011196,81,N/A
1768011197,81,N/A
1768011198,82,N/A
1768011199,82,N/A
1768011200,82,N/A
1768011201,81,N/A
1768011202,81,N/A
1768011203,83,N/A
1768011204,82,N/A
1768011205,81,N/A
1768011206,82,N/A
1768011207,82,N/A
1768011208,81,N/A
1768011209,81,N/A
1768011210,82,N/A
1768011211,82,N/A
1768011212,83,N/A
1768011213,81,N/A
1768011214,82,N/A
1768011215,81,N/A
1768011216,81,N/A
1768011217,82,N/A
1768011218,81,N/A
1768011219,81,N/A
1768011220,82,N/A
1768011221,82,N/A
1768011222,82,N/A
1768011223,81,N/A
1768011224,83,N/A
1768011225,81,N/A
1768011227,83,N/A
1768011228,81,N/A
1768011229,82,N/A
1768011230,81,N/A
1768011231,81,N/A
1768011232,81,N/A
1768011233,81,N/A
1768011234,82,N/A
1768011235,81,N/A
1768011236,81,N/A
1768011237,82,N/A
1768011238,81,N/A
1768011239,83,N/A
1768011240,81,N/A
1768011241,83,N/A
